abstract-quality;['osobnosť'];Osobnosť definícií existuje okolo 110.
abstract-region;['tenzor', 'tensor', 'tenzory'];Tenzor je v matematike objekt, ktorý je zovšeobecnením pojmu vektor.
abstract-region;['polynóm', 'mnohočlen', 'multinomické', 'polynomickej', 'polynomickej funkcie', 'polynómov'];Mnohočlen alebo polynóm je súčet alebo rozdiel jednočlenov.
abstract-region;['limita', 'bod akumulácie', 'limit', 'obmedziť bod'];Limita je v matematike hodnota, ku ktorej sa "približuje" premenlivá hodnota.
abstract-region;['kvadratická funkcia', 'kvadratickej funkcie', 'kvadratický polynóm'];Kvadratická funkcia je funkcia daná rovnicou: y = a x 2 + b x + c {\displaystyle y=ax^{2}+bx+c} kde a, b a c sú reálne konštanty, a ≠ 0.
abstract-region;['dvojčlen', 'dvojslovný'];Dvojčlen alebo binóm alebo mnohočlen s dvoma členmi je mnohočlen, ktorý má dva členy. súčet dvoch jednočlenov.
abstract-region;['operand', 'operandy'];Operand je element, člen, údaj, ktorý sa zúčastňuje na operácii, pomocou ktorého sa uskutočňuje operácia s operantom.
abstract-region;['vektorový súčin', 'kríž produkt'];Vektorový súčin je v matematike označenie binárnej operácie medzi dvoma vektormi v trojrozmernom vektorovom priestore.
abstract-region;['najmenší spoločný násobok', 'nsn', 'lcm', 'najnižšia spoločný násobok'];Najmenší spoločný násobok dvoch prirodzených čísel m {\displaystyle m} a n {\displaystyle n} je najmenšie prirodzené číslo, ktoré je deliteľné oboma číslami m {\displaystyle m} a n {\displaystyle n}.
abstract-region;['fourierov rad', 'fourierovej koeficienty', 'fourierovej radu'];Fourierov rad je pomenovaný po francúzskom fyzikovi a matematikovi Josephovi Fourierovi.
abstract-region;['volebná účasť na slovensku', 'volebná účasť'];Volebná účasť je podľa Štatistického úradu Slovenskej republiky podiel voličov, ktorí sa zúčastnili na hlasovaní k celkovému počtu oprávnených voličov, teda voličov zapísaných v zoznamoch oprávnených voličov.
activity;['ragby', 'rugby', 'rugby football', 'rugby futbal'];Ragby je skupina kolektívnych loptových športov, ktoré vznikli postupným rozdelením pôvodnej rovnomennej futbalovej hry, ktorá vznikla na zač.
activity;['akupunktúra', 'stylostixis'];Akupunktúra je alternatívna a tradičná medicínska metóda pochádzajúca z Číny.
activity;['e-mail', 'elektronická pošta', 'mail', 'e-mailová správa', 'e-pošta', 'e-poštová správa', 'elektronický list', 'emailová správa', 'mailová správa', 'majl', 'meil', 'mejlová správa', 'e-maily', 'elektronickej pošty', 'email', 'internetovej pošty'];E-mail môže byť: elektronický list, t.j. adresovaná elektronická správa pri elektronickej komunikácii medzi používateľmi počítačov pripojených do počítačovej siete, ktorá obsahuje v tele obyčajne samotný text a prípadné netextové prílohy. súhrn elektronických listov. súhrn softvéru počítača na výmenu elektronických listov, alebo metóda na takúto výmenu elektronických listov, alebo samotná táto výmena elektronických listov.Väčšina dnešných e-mailových systémov používa na prenos správ internet, a zároveň e-mail je popri www jedným z najčastejších spôsobov použitia internetu.
activity;['desktop publishing', 'dtp', 'digitálnej typografie', 'stolný edičný systém'];Desktop publishing je označenie pre celý proces spracovania grafického návrhu na počítači až po export súboru pre ofsetovú, hárkovú a digitálnu tlač.
activity;['modulácia', 'modulovaný', 'modulátor'];Modulácia je proces ovplyvňovania nosného signálu, typicky sínusového, s cieľom prenesenia informácie.
activity;['trójska vojna', 'trojánska vojna'];Trójska vojna alebo zastarano trojánska vojna je v gréckej mytológii najslávnejší vojnový konflikt medzi maloázijským mestom Trója a Achájcami.
activity;['go', 'go hra'];Go je strategická dosková hra pre dvoch hráčov pochádzajúca zo starej Číny medzi rokmi 2000 pred Kr.
activity;['šógi', 'shogi', 'japonský šach', 'šogi'];Šógi alebo japonský šach je dosková hra pre dvoch hráčov.
activity;['súdne konanie', 'súdny proces', 'kauza', 'súdny spor', 'žaloba', 'causa', 'právneho sporu', 'právny spor', 'príčiny', 'sporu', 'spôsobujú systému', 'strany sporu', 'žaloval'];Súdne konanie je procesná činnosť súdu, účastníkov a zúčastnených osôb v čase od podania návrhu po jeho právoplatné vybavenie.
activity;['číslo', 'gramatické číslo', 'menné číslo', 'paucal', 'čísla'];Číslo alebo gramatické číslo
activity;['tlaková níž', 'cyklón', 'cyklóna', 'cyclonic', 'cyklóny'];Tlaková níž alebo cyklóna alebo depresia je oblasť nízkeho tlaku vzduchu.
activity;['tlaková výš', 'anticyklón', 'anticyklóna', 'anti-cyklón', 'anticyklonální'];Tlaková výš alebo anticyklóna je oblasť vysokého tlaku vzduchu.
activity;['mandát'];Mandát je zmocnenie/príkaz daný osobe/orgánu voličmi, delegujúcimi osobami a podobne ohľadom obsahu jej/jeho funkcie, v prenesenom zmysle samotná táto funkcia.
activity;['krížová cesta', 'krížová', 'stanica', 'via crucis'];Krížová cesta je starobylá a stále používaná modlitba rímskokatolíckej cirkvi, v ktorej veriaci rozjíma o utrpení Ježiša Krista obvykle konkretizovanom v jednotlivých zastaveniach Jeho krížovej cesty z Pilátovho domu až na horu Golgota po Via Dolorosa.
activity;['blahorečenie', 'blahoreèenie', 'beatifikácia', 'blahoslavený', 'blažený', 'blahorečenia', 'blahorečený'];Blahorečenie alebo beatifikácia
activity;['foxtrot', 'tanec foxtrot', 'tanec', 'slowfox'];Foxtrot je spoločenský tanec, ktorého názov vznikol údajne podľa mena jeho autora a propagátora, estrádneho herca Harryho Foxa.
activity;['valčík', 'vals', 'valčíky'];O českom protifašistickom bojovníkovi pozri Josef Valčík Valčík je hudobná forma, ako aj párový spoločenský tanec v 3/4 takte a rýchlom tempe, ktorý sa tancuje na tento rytmus.
activity;['quickstep'];Quickstep je druh štandardného tanca.
activity;['homerun', 'homer'];Homerun je typ bejzbalového odpalu, pri ktorom pálkar odpáli takým spôsobom, že bez chyby poliarov obehne všetky méty a pre svoj tím získa bod.
activity;['bitka pri isse', 'bitka issus', 'issus'];Bitka pri Isse bola bitka, ktorá sa odohrala v novembri roku 333 pred Kr.
activity;['bitka pri maratóne', 'bitka pri maratone', 'bitka u marathon'];Bitka pri Maratóne
activity;['bitka v teutoburskom lese', 'bitka v teutoburgskom lese', 'varova bitka', 'varusova bitka', 'bitka teutoburger wald', 'teutoburger wald'];Bitka v Teutoburskom lese alebo Varova bitka, po latinsky Clades Variana bola bitka medzi rímskou armádou pod vedením Publia Quinctilia Vara a aliancie germánskych kmeňov s hlavným slovom Cheruskov pod vedením Arminia.
activity;['bitka pri tannenbergu', 'bitka tannenberg', 'tannenberg'];Bitka pri Tannenbergu bolo ozbrojené stretnutie ruskej a nemeckej armády, ktoré sa odohralo počas prvej svetovej vojny od 23.
activity;['bitka o verdun', 'verdun'];Bitka o Verdun niekedy tiež označovaná ako Verdunský mlynček na mäso bola jedna z najkrvavejších bitiek prvej svetovej vojny na západnom fronte.
activity;['bitka o guadalcanal', 'guadalcanal', 'operácia watchtower', 'bitka guadalcanal'];Bitka o Guadalcanal, známa pod krycím názvom operácia Watchtower, zahŕňa sériu ozbrojených stretnutí počas druhej svetovej vojny, ktoré prebiehali od 7. augusta 1942 až do 7. februára 1943 medzi vojskami Spojených štátov a Cisárskeho Japonska.
activity;['bitka pri gettysburgu'];Bitka pri Gettysburgu
activity;['krvná pomsta', 'nepriateľstvo', 'hádka', 'léno', 'poručníctvo', 'spor', 'svár', 'vendeta', 'spory', 'súkromné vojny', 'zvar'];Nepriateľstvo je zlá vlastnosť, prvok zloby, opak priateľstva.
activity;['backgammon', 'vrhcáby'];Backgammon
activity;['čínska dáma'];Čínska dáma je strategická dosková hra určená pre 2 až 6 hráčov.
activity;['halma'];Halma je abstraktná dosková hra pre dvoch, alebo štyroch hráčov, ktorú v roku 1884 vymyslel americký chirurg George Howard Monks.
activity;['bitka o okinavu', 'bitka o okinawu', 'okinawa kampaň'];Bitka o Okinavu vybojovaná na japonskom ostrove Okinava bola najväčšou obojživelnou operáciou počas vojny v Pacifiku cez druhú svetovú vojnu.
activity;['remy', 'žolíky', 'žolík', 'rummy'];Remy
activity;['whist', 'dlho whist', 'kartová hra', 'krátke whist'];Whist je klasická kartová hra, patrí medzi zdvihové kartové hry, ktorá sa začala hrať v 18.
activity;['bozk', 'bozkávanie', 'pobozkať'];Bozk je cielené priloženie pier osoby k perám či inej časti tela inej osoby alebo k zvieraťu či veci.
activity;['sviatosť birmovania', 'birmovanie', 'birmovka', 'myropomazanie', 'potvrdenie'];Sviatosť birmovania alebo sväté tajomstvo myropomazania alebo sviatosť Zoslania Ducha Svätého
activity;['dáma', 'hra dáma'];Dáma je dosková strategická hra.
activity;['uhlíková metóda c14', 'rádiokarbónová metóda', 'rádiokarbónová metóda datovania', 'rádiokarbónové datovanie', 'uhlíková metóda', 'c14 datovania', 'datovania radiocarbon', 'datovania uhlíka', 'radio-uhlíkové datovania', 'radiokarbonové datovania', 'radiokarbonové dátum', 'uhlík-14 datovania', 'uhlík starý', 'uhlíka-14 datovania', 'uhlíkové datovania'];Uhlíková metóda C14 alebo rádiokarbónová metóda datovania je fyzikálny postup používaný na stanovenie veku organických zvyškov
activity;['hlasovanie', 'voľby', 'počet hlasov', 'hlasovacieho lístka', 'tajná voľba', 'voličov'];Hlasovanie je taký spôsob prijatia riešenia skupinou ľudí prostredníctvom odovzdania svojho hlasu pri voľbe či rozhodovaní, pri ktorom celkový výsledok sa tvorí sčítaním hlasov členov skupiny, pričom rozhodne názor väčšiny.
activity;['eucharistia', 'oltárna sviatosť', 'sviatosť oltárna', 'chápavý', 'communicants', 'eucharistickej', 'eucharistická liturgia', 'eucharistie', 'holy sacrament', 'most precious blood', 'najsvätejšej sviatosti', 'sviatosť eucharistie', 'sväté prijímanie', 'svätý eucharistie'];Oltárna sviatosť je názov sviatosti eucharistie u rímskokatolíkov.
activity;['eucharistia', 'oltárna sviatosť', 'sviatosť oltárna', 'chápavý', 'communicants', 'eucharistickej', 'eucharistická liturgia', 'eucharistie', 'holy sacrament', 'most precious blood', 'najsvätejšej sviatosti', 'sviatosť eucharistie', 'sväté prijímanie', 'svätý eucharistie'];Eucharistia
activity;['baptizmus', 'baptisti', 'babtistická cirkev', 'baptist', 'baptist church', 'baptist minister', 'novokrstenci'];Baptizmus je protestantská, evanjelikálna cirkev.
activity;['krivda'];Krivda je nespravodlivosť, príkorie, ublíženie, neprávosť.
activity;['krizma', 'chrisom', 'krizmou', 'sviatostnej olej', 'svätenia olejov', 'svätý olej'];Krizma je posvätný olej používaný pri niektorých obradoch.
activity;['prerušovaná súlož', 'odstúpenie metóda', 'postoj k prerušovanej súloži', 'súlož interruptus', 'vytiahnutím'];Prerušovaná súlož
activity;['polemika'];Polemika
activity;['morský vánok', 'sea breeze'];Morský vánok je typ vetra častý pri moriach, oceánoch alebo väčších vodných hladinách.
activity;['prvá križiacka výprava', 'výprava chudoby', 'prvá krížová výprava'];Prvá križiacka výprava bola vyhlásená pápežom Urbanom II. v roku 1095 v Clermonte s cieľom znovu získať vládu nad svätým územím Jeruzalema a Svätej zeme.
activity;['druhá križiacka výprava'];Druhá križiacka výprava bola vojenská výprava vedená francúzskym kráľom Ľudovítom VII. a nemeckým kráľom Konrádom III..
activity;['tretia križiacka výprava'];Tretia križiacka výprava bola vojenská výprava vyhlásená pápežom Gregorom VIII., ktorej cieľom bolo získať opätovnú kontrolu nad Jeruzalemom.
activity;['štvrtá križiacka výprava'];Štvrtá križiacka výprava bola vojenská výprava, ktorej pôvodným cieľom bolo obsadiť Jeruzalem najprv prevzatím kontroly nad Egyptom, ale v roku 1204 skončila dobytím Konštantínopola, hlavného mesta Byzantskej ríše.
activity;['šiesta križiacka výprava'];Šiesta križiacka výprava je v niektorých textoch názov siedmej križiackej výpravy.
activity;['siedma križiacka výprava'];Siedma križiacka výprava bola križiacka výprava v rokoch 1248 až 1254.
