abstract-region;['súčet', 'množstvo', 'celkom', 'výška'];Celkovo dva alebo viac v počte.
activity;['bojovať', 'hádať sa', 'pochytiť sa', 'prieť sa', 'ruvať sa', 'zápasiť', 'škriepiť sa', 'bitka', 'boj'];Týkajúci sa fyzickej konfrontácie.
activity;['basketbal', 'basket', 'basketballer', 'basketbalový klub', 'krinolína'];Šport, pri ktorom sa dva päťčlenné súperiace týmy snažia vhodiť loptu do koša.
activity;['opakovanie', 'repríza', 'opakuje', 'znovu spustiť', 'zopakovať'];Televízny program vysielaný znova po prvom vysielaní.
activity;['dobrodružstvo', 'eskapáda', 'dobrodruhovia', 'nebezpečné podnik', 'riskantné podnik'];Vzrušujúca neobvyklá udalosť často spojená s prvkom odvahy a nebezpečenstva.
activity;['vzdelávanie', 'vzdelanie', 'didaktika', 'vzdelávací systém', 'vyučovanie', 'výučba', 'vychovávanie', 'výchova', 'pedagóg', 'didaktiky', 'pedagógov', 'vzdelávacie', 'vzdelávaciu činnosť', 'vzdelávania', 'vzdelávať'];Činnosť alebo proces odovzdávania alebo nadobúdania vedomostí alebo schopností.
activity;['očkovanie', 'vakcinácia', 'štepenie', 'očkované', 'očkovať'];Štepenie vakcínou za účelom ochrany pred konkrétnou chorobou alebo epidémiou choroby.
activity;['nákup', 'získanie', 'akvizícia', 'kúpa'];Zakúpenie alebo činnosť kúpenia niečoho zaplatením protihodnoty napr. v peniazoch.
activity;['počet', 'zoznam', 'počítacie', 'číselná sústava', 'číslovanie'];Výsledok spočítania, ktorý znamená počet prvkov v množine.
activity;['česanie', 'hrebeň', 'vyčesávanie'];Nástroj so zubami na česanie vlasov.
activity;['vzdelávanie', 'vzdelanie', 'didaktika', 'vzdelávací systém', 'vyučovanie', 'výučba', 'vychovávanie', 'výchova', 'pedagóg', 'didaktiky', 'pedagógov', 'vzdelávacie', 'vzdelávaciu činnosť', 'vzdelávania', 'vzdelávať'];Činnosť alebo proces odovzdávania alebo nadobúdania vedomostí alebo schopností.
agentive-figure;['banka', 'banková spoločnosť', 'depozitárna finančná inštitúcia', 'bankovníctva sa týkajú', 'bankového systému', 'banky', 'bankári', 'depozitár finančné inštitúcie', 'medzinárodného bankovníctva'];Finančná inštitúcia, kde je možné si požičať peniaze (za ktoré sa vyberá úrok) a vložiť peniaze (za ktoré banka vyplatí urok).
agentive-figure;['nadácia', 'filantropické nadácie'];Druh filantropickej organizácie tvorenej buď jednotlivcami alebo inštitúciami ako právna entita za účelom podpory cieľov v súlade so stanovami nadácie.
agentive-physical-object;['počítač', 'počítacie zariadenie', 'procesor', 'systém spracovania informácií', 'systém spracovávania informácií', 'zariadenie na spracovanie dát', 'digitálnych počítačov', 'elektronický počítač', 'informačný systém spracovania', 'počítači', 'spracovateľ', 'výpočtovej stroj', 'výpočtovej techniky', 'výpočtové zariadenia,'];Programovateľné zariadenie, ktoré vykonáva matematické výpočty a logické operácie. obzvlášť také, ktoré je schopné spracúvť, ukladať a získavať veľké množstvá údajov veľmi rýchlo.
agentive-physical-object;['pes domáci', 'pes', 'canis lupus familiaris', 'psa', 'canis familiaris', 'domáci pes', 'familiaris', 'psa domáceho', 'psov'];Všeobecné štvornohé zviera. Zvyčajne je pri ľuďoch ako domáce zviera alebo sa požíva pri poľovačke alebo na stráženie objektov.
agentive-physical-object;['kvet', 'kvetina', 'kvety', 'kvetinové'];Reproduktívna štruktúra pri krytosemenných rastlinách (angiospermae), tvorená z tyčiniek a piestikov obklopená okvetnými a kališnými lístkami, ktoré sa všetky nachádzajú v ?okvetí.
agentive-physical-object;['zdochlina'];Telo mŕtveho zvieraťa, na ktorom si začali pochutnávať iné zvieratá.
agentive-physical-object;['samica', 'žena', 'ženy'];Dospelý človek pohlavia, ktoré tvorí vajíčka a rodí deti.
agentive-physical-object;['tulipán', 'tulipa', 'tulipány'];Ktorákoľvek z početných trvalých hruškovitých rastlín rodu Tulipa.
agentive-physical-object;['proso', 'pšeno', 'millets'];Skupina druhov obilnín s malým zrnom, ktorá sa hojne pestuje po celom svete pre potravu a krmivo.
agentive-physical-object;['jabloň'];Strom rodu ''Malus''. Rodí ovocie jablká.
agentive-physical-object;['kura', 'gallus gallus', 'sliepka', 'gallus gallus domesticus'];Druh zdomácneného vtáka z radu Galliformes, ktorý sa často chová ako druh hydiny (Gallus gallus domesticus).
agentive-physical-object;['mačka', 'mačka domáca', 'felis silvestris catus', 'felis catus', 'cica', 'domestic cat', 'housecat', 'mačky', 'pravda mačka'];Všeobecné štvornohé zviera (Felis silvestris) najčastejšie ako domácie zvieratko.
