activity;['iránsko-iracká vojna', 'prvá vojna v perzskom zálive', 'iracko-iránska vojna'];Pôvodne označovaná ako Vojna v Perzskom zálive a od roku 1991 ako Prvá vojna v Perzskom zálive.
functional-matter;['sedimentárna hornina', 'usadená hornina', 'sedimentovaná hornina', 'sedimentárne horniny', 'usadené horniny', 'sedimentárnych'];Nasledujúce po ich spevnení (litifikácii), pozri epigenéza (sedimentológia). významovo blízky termínu diagenéza
locative-role;['sparta', 'lacedaemon'];Starogrécky mestský štát
political-geographic-object;['anglicko', 'england', 'anglicku'];Pozri Bristol (mesto v Anglicku)
political-geographic-object;['austrália', 'austrálske súštátie', 'austrálsky zväz', 'commonwealth of australia'];Kód ISO
political-geographic-object;['sparta', 'lacedaemon'];Starogrécky mestský štát
political-geographic-object;['trinidad a tobago', 'republika trinidad a tobago', 'republika trinidadu a tobaga', 'republikou trinidad a tobago', 'trinidadian'];Kód krajiny ISO 3166-1 alpha-2
political-geographic-object;['praha', 'hlavné mesto praha', 'hlavní město praha', 'stovežatá', 'prag', 'český kapitál'];Vyrábaný spoločnosťou Siemens, pozri Súprava metra M1
political-geographic-object;['viedeň', 'wien', 'hlavné mesto rakúska'];Ktorá ním preteká
political-geographic-object;['san josé', 'san jose', 'hlavné mesto kostariky'];Hlavné mesto Kostariky
region;['si', 'medzinárodná sústava jednotiek', 'násobky veličín', 'predpony si', 'si predpona', 'si predpony', 'système international d’unités', 'sústava si', 'jednotka', 'jednotkách si', 'medzinárodnom systéme jednotiek', 'medzinárodný systém', 'medzinárodný systém jednotiek', 'metrických jednotkách', 'si jednotky', 'si systém', 'systeme international', "systeme international d'unites", 'systéme si'];Sústava metrických jednotiek
region;['watt', 'kw', 'w', 'kilowatt', 'mw', 'gigawatt', 'gigawattov', 'megawattov', 'petawatt', 'terawatt'];Fyzikálna jednotka výkonu podľa sústavy SI
socially-constructed-person;['napoleon bonaparte', 'napoleon i.', 'bonaparte', 'malý desiatnik', 'napoleon aj'];Cisár Francúzska (s prerušením)
socially-constructed-person;['henry ford'];Americký vynálezca a priemyselník
socially-constructed-person;['john bull', 'angláni', 'lime'];Postava, ktorá je personifikáciou Spojeného kráľovstva
socially-constructed-person;['siréna'];Mýtický tvor
socially-constructed-person;['heinrich rudolf hertz', 'heinrich hertz', 'heinrich rudolph hertz'];Nemecký fyzik, podľa ktorého je pomenovaná jednotka hertz
taxonomic-collective;['sirenia', 'sirény', 'rad sirenia', 'sirénotvaré', 'morská krava', 'morské panny', 'ochechule', 'aby sirenia', 'sirenians'];Rad vodných cicavcov vrátane dugong a manatee
taxonomic-collective;['balaena', 'rod balaena'];Eubalaena a Caperea
