activity;['dame'];Dame o lude de damas es un strategic tabul-lude por du lusores.
activity;['carnevale'];Carnevale es in cristianisme li customes queles eveni ante li six semanes de carema.
activity;['football'];Football es li maxim populari sport por truppes del munde.
activity;['chac', 'chac-lude', 'chacs'];Chac es un lude strategic e tactic ludet de du persones.
activity;['basketball'];Basketball es un sport por truppes.
activity;['tabul-lude'];Li significatori element de un tabul-lude es, que on move figuras sur un tabul.
activity;['hockey sur glacie'];Hockey sur glacie es un sport hivernal por equipes.
activity;['ténnis'];Ténnis es un sport por du o quar persones.
activity;['virtual realitá'];Virtual realitá es un simulat experientie quel posse esser simil a o totmen diferent quam li munde real.
activity;['homeopatie', 'homeopathie'];Homeopatie, metode de tractament de maladies u li malad prende medicamentes confectionat con quantitá infinitesimal de materie in liquid o sucre submisset a procede rythmic durant li fábrication.
activity;['netball'];Netball es un team-sport por féminas e puellas.
activity;['ballette'];Ballette es un forme de dansa.
activity;['hurling'];Hurling es un team-sport.
activity;['violentie'];Violentie es un término usat por descrir ataccas a persones.
activity;['sport'];Sport es un corporal activitá secun regules.
activity;['hockey sur terre'];Hockey sur terre o anc nóminat hockey sur gazon es un sport por truppes.
activity;['nive'];Nive es un forme de precipitate.
activity;['ski-saltation'];Ski-saltation es un sport hivernal.
activity;['teatre'];Teatre es un branche de artes in quel actores representa un spectacul por spectatores sur un scene.
activity;['turisme'];Li turisme es li activitá de viagear e albergar 80 kilometres ex su domicilie por plus de 24 horas e maximum un annu.
activity;['arte', 'artes'];Li notion arte durant li historie e secun divers culturas sempre changeat su signification e ancor change it.
activity;['orgasme'];Orgasme es li momente de culmination del sexual voluptá durant li coition o li mastubation.
activity;['té'];Té es un trincage.
activity;['francés revolution'];Li Francés Revolution esset un epoca de majori political e social changes in li political historie de Francia e Europa in tot, durante que li Francés guvernamental structura, antey un absolut monarchie con feudeal privilegies por li aristocratie e catolic clericallia, suffret radical change a formes fundet pri ideales de democratie, civitá, and ínalienabil jures.
activity;['guerre'];Guerre es un armat conflicte inter du gruppes.
agentive-figure;['ulisse', 'ulysse'];Odisseo o Ulisse esset un rey legendari de Itaca e un heróe del Odissé.
agentive-figure;['mundal organisation del sanitá'];Mundal Organisation del Sanitá es un specialilsat agenture international organisation quel es ligat con li Organisation del Unit Nationes por li sanitá.
agentive-figure;['unesco'];Li UNESCO, quel li abreviation por anglesi United Nations Educational, Scientific and Cultural Organization (Educational, Scientific e Cultural Organisation del Unit Nationes, es un special agentura del Organisation del Unit Nationes.
agentive-figure;['nato', 'organisation del pacte del atlántic nord'];Li Nord Atlantic Tractate Alliantie, curt NATO., es un international organisation por li militari defense.
agentive-figure;['comunitás europan', 'europan union', 'union europan', '🇪🇺', 'union european'];In li actualitá, li Europan Union es un gruppe de 27 states europan queles mantene inter se special relationes economic e politic de cooperation e integration.
agentive-figure;['comunitás europan', 'europan union', 'union europan', '🇪🇺', 'union european'];Li Comunitás europan es organisationes international regional quo have institutiones comun : li Comunitá europan del carbon e del stal, quo cessat de exister in 2002, li Comunitá europan, old Comunitá economic europan li Comunitá europan del energie atomic .Li Communitás europan forma ho-moment un del tri pilares del Union europan.
agentive-figure;['organisation del unit nationes'];Li Organisation del Unit Nationes es un international organisation de índependent states del munde.
agentive-figure;['political partise'];Un political partise es un asociation de cives quel tende ganiar political influentie e potentie, realisar political scopes o por ganiar personal avantages.
agentive-figure;['pandora'];Pandora es un figura in li Grec mitologie.
agentive-figure;['religion'];On nómina Religion un systema de credes pri li existentie de afferes trans li sensual experientie, quel es inradicat in plu grand gruppes de homes.
agentive-figure;['islam'];Li Islam es li duesim grand religion del mund.
agentive-figure;['hinduisme'];Li Hinduisme es li triesim grand religion del mund.
agentive-figure;['policie'];Li policie es un organ executiv del state.
