activity;['adéu', 'comiat'];Expressió de comiat. usat quan una o més persones en una situació, diàleg o lloc, marxen, mentre altres es queden.
agentive-figure;['banc', 'banca', 'banquer', 'entitat bancària', 'banc estranger', "banca d'empreses", 'banca internacional', 'banca preocupació', 'bancs estrangers', 'banquers', 'indústria bancària', 'institució financera dipositària', 'sistema bancari'];Institució financera on es pot demanar préxtecs de diners (a canvi d'interessos) o dipositar diners (per tal de rebre interessos).
agentive-physical-object;['animal', 'criatura', 'fauna', 'bèstia', 'animals', 'animalia', 'metazous', 'metazoa', 'metazoic', 'metazoos', 'metazou', 'regne animal', 'epifauna', 'infauna', 'macrofauna', 'ser animat'];Ésser viu, dotat de moviment i de sistemes de relació més o menys diferenciats. [not translated definition]
amount-of-matter;['proteïna', 'proteïnes', 'proteic', 'proteica', 'proteina', 'proteiques', 'proteínic', 'proteínica', 'pròtid', 'pròtids', 'poliproteïna', 'proteics', 'síntesi de proteïnes'];Classe de polímer orgànic compost, de gran pes molecular, constituït per una varietat d'alfa-aminoàcids units per enllaços pèptids.
biological-object;['fulla', 'fullatge', 'fullam', 'laphi', 'fulles', 'afil·l', 'fulle', 'nomofil·le', 'abaxial', 'adaxial', 'aixella', 'aixella del full', 'aixelles', 'beina de la fulla', 'crenats', 'foliar', 'full', 'full basal', 'fulles compostes', 'leafage', 'marge del full', 'nervadura central', 'pubescents'];Conjunt de fulles d'una planta.
biological-object;['ull', 'oculus', 'òptica', 'òcul', 'ulls', 'cavitat ocular', "funcionament de l'ull", 'globus ocular', "l'ull", 'segment anterior', "segment anterior de l'ull", 'segment posterior', "segment posterior de l'ull", 'oculi', 'ulls compostos', 'òptic'];Òrgan sensible a la llum, que la converteix en senyals elèctrics, capaços de formar imatges de l'objecte emissor o reflector de llum en el cervell.
chemical-object;['proteïna', 'proteïnes', 'proteic', 'proteica', 'proteina', 'proteiques', 'proteínic', 'proteínica', 'pròtid', 'pròtids', 'poliproteïna', 'proteics', 'síntesi de proteïnes'];Classe de polímer orgànic compost, de gran pes molecular, constituït per una varietat d'alfa-aminoàcids units per enllaços pèptids.
gestalt;['rectangle', 'rectangular', 'rectangles'];Figura plana amb 4 costats i 4 angles rectes.
information-object;['mesura', 'estàndard de mesura'];Valor numèric obtingut com a resultat d'una comparació entre una magnitud i una altra de la mateixa espècie elegida com a stàndard.
information-realization;['compàs', 'mesura', 'bar', 'barra de compàs'];Divisió del temps musical en parts iguals.
language;['llenguatge de signes', 'llengua de signes', 'mímica', 'llegua de signes', 'llengua dels signes', 'llenguatge dels signes', 'llenguatge gestual', 'llenguatge signat', 'llengües de signes', 'llenguatge de senyals sord', 'signatura'];Llenguatge en el qual la comunicació es produeix a través de gestos i expressions de la cara.
locative-role;['stuttgart'];Capital del Land alemany de Baden-Württemberg.
organized-collection;['bateria', 'banc'];Acumulació d'una mateixa substància, normalment en granz quantitats, que es considera com a una unitat, per exepmpre: banc de sorra, banc de boira, banc de gel.
parameter;['boirum', 'fum i boira', 'fumassola', 'usuari:ubqag1eov/boirum', 'boira fotoquímica', 'smog', 'boires fotoquímiques', 'boira amb fum', 'smog fotoquímic', 'smogginess'];Polució de l'aire consistent en fum i boira.
phenomenon;['boira', 'boirina', 'boirim', 'broma', 'bromitja', 'calima', 'calitja'];Minúscules gotetes d'aigua sospeses en l'aire, cosa que redueix la visibilitat. La boira es forma normalment de nit, quan la temperatura baixa perquè el cel està clar. Si la visibilitat disminueix a menys de 1.000 metres, la boirina o broma es transforma en boira.
phenomenon;['calitja', 'calina', 'calima', 'boira', 'broma seca', 'bromitja', 'boirina'];Fenomen meteorològic que consisteix en l'agrupació d'una gran quantitat de partícules seques extremadament petites (pols, sorra, fum) suspeses i arrastrades per l'aire, de forma que es redueix considerablement la visibilitat (aproximadament entre 1 i 5 kms). Es produeix quan la humitat relativa és inferior al 70-80%. Té un color opalescent.
physical-object;['caixa de cabals', 'banc', 'guardiola', 'banc de la moneda'];Lloc on s'emmagatzemen elements, normalment del mateix tipus, per a la seva consulta o posterior utilització, per exemple: banc de dades, banc d'imatges.
physical-object;['carrabina', 'carabina', 'carrabines'];Fusell curt i lleuger
political-geographic-object;['stuttgart'];Capital del Land alemany de Baden-Württemberg.
political-geographic-object;['països baixos', 'holanda', 'regne dels països baixos', 'països baixos europeus', 'els països baixos', 'holandesa', 'nederland'];País de Europa, al Nord de Bèlgica, oficialment anomenat "Regne dels Països Baixos". També integrat per les Antelles Neeslandeses i Aruba.
political-geographic-object;['bèlgica', 'regne de bèlgica', 'belgië', 'bélgica', 'estat belga', 'belgique', 'belga'];País de l'Oest d'Europa en el Mar del Nord, al Sud dels Països Baixos, al Nord de França, i a l'Oest d'Alemanya, la capiral del qual és Brussel·les.
political-geographic-object;['doha', 'capital de qatar', 'bida', 'el beda'];Capital de Qatar.
political-geographic-object;['katmandú', 'capital del nepal', 'kathmandu', 'kàtmandu'];Capital de Nepal.
political-geographic-object;['wellington', 'capital de nova zelanda'];Capital de Nova Zelanda.
quality;['blanc', 'blancor', 'color blanc', 'blanca'];Color de la claror que conté igual quantitat de totes les longitudes d'ona visibles.
simple-collective;['banc', 'mola de peix', 'bancs de peixos', 'escola'];Conjunt d'un gran nombre de peixos (o d'altres animals marins, com ara dofins o balenes), normalment de la mateixa expècie, que es desplacen junts.
situation;['adéu', 'adéu-siau', 'arreveure', 'fins ara', 'fins aviat', 'fins després', 'a reveure', 'passi-ho bé', 'arrivederci', 'auf wiedersehen', 'bon dia', 'bye-bye', 'comiat', 'sayonara', 'tant de temps', '¡a reveur'];Expressió de comiat. usat quan una o més persones en una situació, diàleg o lloc, marxen, mentre altres es queden.
