abstract-region;['khi̍t-han'];Khi̍t-han he hien-thoi Sú-ho̍k thi̍t-phe̍t he Fûn-sak-ho̍k chûng ke kî-chhú khói-ngiam chṳ̂-yit.
activity;['sên-sán'];Sên-sán he chṳ ́yit-chhiet Sa-fi chû-chṳt chiông sû-ngi̍p chón-von vì sû-chhut ke ko-chhàng.
activity;['sṳn-chhôn-lî', '圣餐', '聖餐', 'sṳn-chhôn', 'sṳn-tshôn-lî'];Sṳn-chhôn-lî he kî-tuk-thù ke tshung-yeu lî-ngì tsṳ̂-yit.
activity;['chim-sin-fi'];Chim-sin-fi he Kî-tuk Sîn-kau chú-yeu chûng-phai chṳ̂-yit.
activity;['chiuk-khiù', '足球', 'hia̍p-hōe kha-kiû', 'tsiuk-khiù'];Liá-piên "Chiuk-khiù" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"足球" ke ya̍p-mien chhai liá-hong tiám-chhut.
activity;['thien-yáng'];Thien-yáng he yit-tsúng sṳ-thâng ngi-su̍t, li-yung su-vi-thí tsiông yáng-siong lâu sâng-yîm pú-tsok tsai-lòi kâ-song heu-khì ke piên-sip kûng-tsok tso-sṳ̀n.
activity;['sî-yòng-khî'];Liá-piên "Sî-yòng-khî" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"西洋棋" ke ya̍p-mien chhai liá-hong tiám-chhut.
activity;['làm-khiù', '籃球'];Làm-khiù he yit-ke yù lióng-chhui chhâm-kâ ke khiù-lui yun-thung, mî-chhui chhut-chhòng ńg-miàng chhui-yèn.
activity;['yí-mô-khiù', 'bádminton', '羽毛球'];Yí-mô-khiù he yit-hong kak-tén khiù-mióng, sṳ́-yung chhòng-piang mióng chhong-khiù phok kit-tá phiàng-khiéu tôn-chap yû yit-khiên yí-mô ke pan-khiù chhòng-ngiôn muk ke sṳt-nui yun-thung.
activity;['yâ-khiù', 'phóng-khiù'];Yâ-khiù he yit-chúng thòn-thí khiù-lui yun-thûng, yù ngìn-sú chui-séu vì 9 ngìn ke lióng-kî chhui-ńg chṳ̂-kiên chhai yit-ke san-hìn ke khiù-chhòng chin-hàng “kit-khiù — phau-vi ” hìn-sṳt ke tui-khong.
activity;['mióng-khiù'];Mióng-khiù he yit-hong kak-tén khiù-mióng, yung khiù-phok kit-tá siong tsṳ-khung sîm-khiù ke yun-thung.
activity;['tsok-khiù', 'chok-khiù', '乒乓球'];Chok-khiù fe̍t-chá 乒乓球 he yit-chúng sṳ-kie liù-hàng ke khiù-lui thí-yuk hong-muk, Yîn-ngî kôn-fông miàng-chhṳ̂n he "Table tennis" yi-sṳ chhiu-he "Chok-song Mióng-khiù".
activity;['yen-tsong-fui'];Liá-piên "Yen-tsong-fui" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"演唱會" ke ya̍p-mien chhai liá-hong tiám-chhut.
activity;['khiet-sṳ̍t-é', 'khiet-sṳ̍t'];Khiet-sṳ̍t-é he chṳ́ chhai kiê-hong lâu ngìn pûn-fan sṳ̍t ke ngìn.
activity;['hòn chan'];Hòn Chan, ya hêm cho Chêu-siên Chan-chên, he chṳ́ Chêu-siên Mìn-chú-chú-ngi Ngìn-mìn Khiung-fò-koet lâu Thai-hòn Mìn-koet chhai 1950-ngièn chṳ 1953-ngièn chṳ̂-kiên fat-sâng ke nui-chan.
activity;['thi-ngi-chhṳ sṳ-kie thai-chan', 'ngi-chan', 'thi-ngi chhṳ sṳ-kie thai-chan', 'thi-ngi sṳ-kie chan-chên', 'thi-ngi tshṳ sṳ-kie thai-tsan', '第二世界大战'];file:wwmontagepngthumb230pthingichhoskiethaichan
activity;['kau-yuk'];Liá-piên "Kau-yuk" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"教育" ke ya̍p-mien chhai liá-hong tiám-chhut.
activity;['mà-chiok', 'mà-chiông', '麻雀'];Mà-chiok he yit-chúng Chûng-koet ngièn-thèu ke chhet-lio̍k yù-hi.
activity;['kô-tén kau-yuk', 'chôn-sông kau-yuk'];Kô-tén Kau-yuk, yu ham-cho Chôn-sông Kau-yuk he yit-chak kau-yuk chhèn-kip ke khói-ngiam, kóng-ngi sông chṳ́ yit-chhiet kien-li̍p chhai chûng-tén kau-yuk kî-chhú sông ke chon-ngia̍p kau-yuk.
activity;['siet', 'siet-fâ'];Siet he kong-súi hìn-sṳt ke yit-chúng, he chhiùng yùn chûng kong-lo̍k ke Kiet-chin-chhong ku-thí pên, sòng yî siet-fâ ke hìn-sṳt chhùn-chhai.
activity;['pho̍k'];Liá-piên "Pho̍k" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"雹" ke ya̍p-mien chhai liá-hong tiám-chhut.
activity;['ngiên-kiu', 'ngièn-kiu'];Ngiên-kiu he chú-thûng lâu ne-thúng fông-sṳt ke ko-chhàng, he vi-liáu fat-hien, kié-sṳt fe̍t-chá káu-chang sṳ-sṳ̍t, sṳ-khien, hàng-vì, fe̍t-he lî-lun.
activity;['yi-fòng chiap-chúng'];Yi-fòng Chiap-chúng, he li-yung yi̍t-mèu chṳ-chì to ngìn fe̍t-chá thung-vu̍t thí-nui ke kî-su̍t, sṳ́ chiap-su-fông tet-to tí-khong mêu-yit thi̍t-thin fe̍t lâu yi̍t-mèu siông-kôan phiang-ngièn ke miên-yi̍t-li̍t.
activity;['khî-ngia̍p'];Khî-ngia̍p he chhiùng-sṳ sên-sán, liù-thung, fu̍k-vu tén kîn-chi fa̍t-thung, yî sên-sán fe̍t-chá fu̍k-vu mân-chiuk sa-fi sî-yeu, sṳ̍t-hàng Chhṳ-chú Kîn-yìn, thu̍k-li̍p fu̍t-son, yî-fap sat-li̍p ke yit-chúng Yîn-li-sin ke kîn-chi chû-chṳt.
activity;['kâu-thûng'];Kâu-thûng he tsṳ́ só-yû theu-ko hi-khí, fe̍t-tsá tsṳ́-kho ngìn-li̍t tsin-hàng ke ngìn-liù, hak-liù, fo-liù ke kâu-liù yun-hàng, than-he kóng-ngi kié-sṳt ya pâu-hàm yṳ̂ thì, thien-sin tén ngìn-tsi tsṳ̂-siun fông-mien ke kâu-liù.
activity;['sṳ̍p-thiàu-kie', 'sṳ̍p-thiàu kie-min'];Sṳ̍p-thiàu Kie-min he Sṳn-kîn ki-chai ke Song-ti Yâ-fò-fà chia-khiéu Yî-set-lie̍t ke siên-tî lâu chung-phu chhu̍k liâng-siu Mô-sî hiong Yî-set-lie̍t mìn-chhu̍k pân-pu ke Sṳ̍p-thiàu kûi-thin.
activity;['ngi-su̍t'];Liá-piên "Ngi-su̍t" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"藝術" ke ya̍p-mien chhai liá-hong tiám-chhut.
activity;['thièn-piên-fú'];Thièn-piên-fú he Ye̍t-nàm Thièn-piên-sén sén-fi.
