genetic-collective;['dinastiya'];Iton dinastiya in sagunson nga mga pinuno nga kinokonsidera nga api hin pareho nga banay o pamilya
information-realization;['basahán han mga maghurukom', 'mga maghurukom', 'an basahán han mga maghurukom', 'book of judges'];Ikapito libro han Biblia, kompwesto han 21 mga kapitulo
information-realization;['basahán han deuteronomio', 'deuteronomio', 'an basahán han deuteronomio', 'book of deuteronomy'];An ikalima nga Mga Libro han Moises ha Daan nga Ginsabutan han Biblia, an ikalima nga libro ha Torah
information-realization;['basahán han mga numero', 'mga numero', 'an basahán han mga numero', 'book of numbers'];An ikaupat han Mga Libro ni Moises ha Daan nga Ginsabutan han Biblia, an ikaupat nga libro han Torah
locative-role;['florensya', 'florence'];Comune italyano
locative-role;['pisa'];Comune italyano
locative-role;['padua', 'padova'];Comune italyano
locative-role;['genova', 'genoa'];Comune italyano
locative-role;['light'];apelyidu
locative-role;['milan', 'milano'];Comune italyano
physical-body;['kalibutan', 'kalibotan', 'earth'];ikatulo nga planeta tikang han Adlaw ha Sistema Solar
political-geographic-object;['florensya', 'florence'];Comune italyano
political-geographic-object;['pisa'];Comune italyano
political-geographic-object;['padua', 'padova'];Comune italyano
political-geographic-object;['ecuador', 'ec', 'ecu', 'republika han ecuador'];Usa nga nasod nga nahamutang ha kanawayan o amihanan-katundan nga dapit han Salatan nga Amerika
political-geographic-object;['genova', 'genoa'];Comune italyano
political-geographic-object;['roma', 'rome'];Comune italyano
political-geographic-object;['milan', 'milano'];Comune italyano
region;['adlaw', 'day'];Oras
subject;['tektonika', 'plato tektoniko', 'plate techtonic', 'plate techtonics', 'plate tectonic', 'plate tectonics', 'tectonics'];pag-aram han kanan kalibutan istruktura
