language;["venän kel'", "venäkel'"];Päivnouzmslavine kel'
locative-role;['reding', 'reading'];Lidn Sures Britanijas
locative-role;['rahvahatoi ma'];Londuseline zon minimaližen kazvištanke da specifižen živatmail'manke
political-geographic-object;['reding', 'reading'];Lidn Sures Britanijas
political-geographic-object;['vaugedvenäma', 'vaugedvenä', 'vaugedvenäman tazovaldkund', 'vaugedvenän tazovaldkund'];Valdkund Päivnouzmpol'žes Evropas
political-geographic-object;['vanuatu', 'vanuatun tazovaldkund', 'uded gebridad'];valdkund Okeanijas
political-geographic-object;['tailand', 'tailandan kunigahuz', 'siam', 'tajanma'];valdkund Suvipäivnouzmaižes Azijas
political-geographic-object;["izrail'", 'evrejanma', 'izrailin valdkund', "medinat israel'", 'pühä ma'];valdkund Päivlaskmaižes Azijas
political-geographic-object;['afinad'];Grekanman pälidn dai sen kaikiš suremb lidn
political-geographic-object;['lüksemburg', 'lüksemburg-lidn'];Lüksemburgan pälidn
political-geographic-object;['varšav', 'aršav', 'warszawa'];Pol'šanman pälidn dai sen kaikiš suremb lidn
region;['1', "üks'", "uks'"];Naturaline lugu
socially-constructed-person;['vepsläižed', "vepsän kel'", 'vepsän kel’', 'vepsläine'];vähäluguine suomalaiž-ugrilaine rahvaz
socially-constructed-person;['muzikankirjutai', 'kompozitor'];Ristit, kudamb sädab muzikad
temporal-region;['raštvad', 'karačun'];üks' hristanuskondan kaikiš surembiš pühänikoišpäi
temporal-region;['stroicanpäiv', 'pühän hengen tulend taivhaspäi'];hristanuskondaline pühänik
temporal-region;["voznesen'jad"];rahvahaline hristanuskondaline pühänik
