abstract-region;['product', 'wiskundige product'];Wiskunde
activity;['bacteriecultuur', 'reincultuur', 'bacteriekweek', 'cultuur', 'kweek', 'microbiologische cultuur', 'microbiële cultuur', 'vloeibare kweek'];Microbiologie
activity;['rugby', 'rugby voetbalspel', 'rugby balspel', 'rugby football'];Balspel
activity;['tombola'];loterij met altijd prijs
activity;['modulatie', 'modulator', 'digitale modulatie', 'gemoduleerd'];Radio
activity;['getal', 'aantal', 'hoeveelheid', 'nummer', 'grammaticale nummer', 'paucal'];Taalkunde
activity;['proces', 'rechtszaak', 'rechtszitting', 'geding', 'gerechtszaak', 'pleit', 'pleitzaak', 'procedure', 'rechtsgeding', 'rechtshandel', 'strafgeding', 'zaak', 'strafproces', 'berecht', 'een', 'geprobeerd'];Juridische analyse van partijen of rechtsoordeel volgens de wet civiel of crimineel van de zaken tussen partijen, of wel wettelijk, dan wel feitelijk, voor een hof dat toepasselijke rechtspraak doet
activity;['therapy'];Muziekalbum van Jim Lea
activity;['mandaat', 'mandateren'];Autoriteit of opdracht tot politiek handelen
activity;['kruisweg', 'via crucis', 'kruiswegstatie', 'via dolorosa', 'staties van de kruisweg', 'stations', 'weg van het kruis'];Religie
activity;['wals', 'valse', 'walsen'];Dans
activity;['slag van karari', 'slag bij omdurman', 'slag van omdurman'];veldslag in Soedan
activity;['slag bij issos', 'issus', 'kinet höyük', 'issos', 'slag van issus'];333 v.Chr.
activity;['slag bij fontenoy', 'fontenoy', 'slag van fontenoy'];1745
activity;['slag bij de caudijnse passen', 'slag bij de pas van caudinum', 'caudijnse pas', 'caudijnse passen', 'caudine vorken'];Veldslag
activity;['slag bij saint-mihiel', 'slag om st. mihiel', 'saint-mihiel', 'slag van st mihiel', 'st mihiel'];Veldslag uit de eerste wereldoorlog
activity;['slag aan de boyne', 'slag om de boyne', 'boyne', 'slag van boyne'];Veldslag in Ierland
activity;['slag bij gettysburg', 'gettysburg'];Aflevering van The Outer Limits
activity;['halma', 'sterhalma', 'chinees dammen'];Bordspel
