abstract-region;['ຕຳລາຂັ້ນສອງ'];ຕຳລາຂັ້ນສອງ ແມ່ນ ຕຳລາພະຫຸພົດ ທີ່ມີຮູບຮ່າbhgnnhbb f = a x 2 + b x + c {\displaystyle f=ax^{2}+bx+c\,\!}, where a ≠ 0 {\displaystyle a\neq 0\,\!}.
activity;['ອີແມລ'];ອີແມລ(E-mail) ຫລື Electronic Mail ແມ່ນການຂຽນ, ສົ່ງ, ຮັບ, ຮັກສາ ຂໍ້ຄວາມຫລືຈົດຫມາຍ ທາງເອເລັກໂຕຣນິກ ຈາກເຄື່ອງອຸປະກອນຄອມພິວເຕີ ຫາເຄື່ອງອຸປະກອນຄອມພິວເຕີ ໂດຍຜ່ານລະບົບເຄືອຂ່າຍເນັດຕ໌ເວີກ.
activity;['ການຜະລິດ, ຕົ້ນທຶນ ແລະ ລາຄາ'];ໃນ ເສດຖະສາດຈຸນລະພາກ, ການຜະລິດແມ່ນ ການສ້າງສິ່ງໃດໜຶ່ງ, ໂດຍສະເພາະ ຈະໝາຍເຖິງ ການສ້າງ ຜະລິດຕະພັນ ເພື່ອ ແລກປ່ຽນ ຫຼື ຂາຍ ໃນທາງການຄ້າ.
activity;['ເຕະບານ'];ເຕະບານ(ອັງກິດ: Soccer) ແມ່ນກິລາ ມີຄົນຫຼິ້ນໃນລະຫວ່າງ 2 ທີມຂອງ 11 ຜູ້ນກັບຫນຶ່ງລູກບານ ຮູບກ້ອນມົນ.
activity;['ຮູບເງົາ', 'ຟີມ'];ຮູບເງົາ ຫຼື ໜັງ ໝາຍເຖິງ ພາບເຄື່ອນໄຫວທີ່ມີຄວາມຕໍ່ເນື່ອງກັນ ຂອງ ຮູບແທ້ ຫຼື ຮູບແຕ້ມ ທີ່ຖືກອັດໃສ່ ຕົວກາງເອີ້ນວ່າ ຟິມ ເຊິ່ງເປັນທີ່ນິຍົມຫລາຍ ໃນເມື່ອກ່ອນ, ແຕ່ໃນປະຈຸບັນ ມີການນຳໃຊ້ສື່ການບັນທຶກແບບທີ່ທັນສະໄຫມກວ່າເຊັ່ນ VCD, DVD ແທນ.
activity;['ເກມຄອມພິວເຕີ'];ເກມຄອມພິວເຕີ (ອັງກິດ: Personal computer game, ຝະລັ່ງ: jeu d'ordinateur) ຫມາຍເຖິງເກມທີ່ຫຼິ້ນເທິງຄອມພິວເຕີ ຫຼາຍກວ່າເຄື່່ອງເກມຄອນໂຊລ ຫຼືເຄື່ອງເກມອາເຂດ.
activity;['ບານບ້ວງ'];ບານບ້ວງ ແມ່ນກິລາຊະນິດໜຶ່ງເຊິ່ງແບ່ງຜູ້ຫຼິ້ນເປັນ 2 ທີມ.
activity;['ເບດບອນ'];ເບດບອນ(ອັງກິດ: Baseball) ແມ່ນກິລາ ມີຄົນຫຼິ້ນລະຫວ່າງ 2 ທີມຂອງ 9 ຜູ້ນແຕ່ລະຄົນທີ່ໃຊ້ເວລາບານສົ່ງ ແລະ ພາກສະຫນາມ.
activity;['ການຮ່ວມເພດ', 'ການນອນນຳກັນ'];ການຮ່ວມເພດ,ການມີເພດສຳພັນ ຫຼື ການເສບສົມ ໝາຍເຖິງ ການມີຄວາມສຳພັນທາງເພດລະຫວ່າງບຸກຄົນສອງຄົນ ມີຄວາມໝາຍຄວບຄຸມທັງລະຫວ່າງບຸກຄົນຕ່າງເພດ ແລະ ບຸກຄົນເພດດຽວກັນເພື່ອສະໜອງຄວາມຕ້ອງການທາງເພດຂອງທັງສອງຝ່າຍ ສ່ວນພຶດຕິກຳຂອງສັດຈະເອີ້ນວ່າ: ການປະສົມພັນ ການຮ່ວມເພກ ຫຼື ການປະສົມພັນເປັນກິດຈະກຳປົກກະຕິຂອງສັດທີ່ສືບພັນໂດຍອາໄສເພດເປັນກິດຈະກຳທີ່ເລີ່ມຕົ້ນການປະຕິສົນທິເພື່ອໃຫ້ກຳເນີດຊີວິດໃໝ່ ການຮ່ວມເພດລະຫວ່າງຊາຍກັບຍິງເກີດຂື້ນເມື່ອອະໄວຍະວະສືບພັນຊາຍເຂົ້າໄປໃນອະໄວຍະວະສືບພັນຍິງ ການສຽດສີລະຫວ່າງອະໄວຍະວະທັງສອງນຳໄປສູ່ຈຸດສຸດຍອດ ຝ່າຍຊາຍຈະຫຼັ່ງອະສຸຈິອອກມານອກຮ່າງກາຍ ຫາກອະສຸຈິເຂົ້າໄປໃນຊ່ອງຄອດຂອງຝ່າຍຍິງໃນພາວະທີ່ເໝາະສົມອາດເກີດການປະຕິສົນທິເຮັດໃຫ້ເກີດການຖືພາ ການຮ່ວມເພດ ຂໍ້ມູນທາງສະຖິຕິ ຈາກການສຶກສາຂອງສຳນັກຂ່າວເອບີຊີ ໂດຍເຮັດແບບສຳຫຼວດພົບວ່າຜູ້ຊາຍຄິດເຖິງເລື່ອງການຮ່ວມເພດທຸກມື້ 70% ສ່ວນຜູ້ຍິງ 34% ຈຳນວນສະເລ່ຍຄູ່ນອນຕະຫຼອດຊີວິດຂອງຜູ້ຊາຍແມ່ຍ 20 ຄົນ ສ່ວນຜູ້ຍິງແມ່ນ 6 ຄົນ ຮ່ວມທັງສອງເພດແມ່ນ 13 ຄົນ ການເຂົ້າໄປເບິ່ງເວບໄຊ໌ລາມົກອະນາຈານຂອງຜູ້ຊາຍແມ່ນ 34% ຜູ້ຍິງແມ່ນ 10% ອາຍຸສະເລ່ຍຂອງການມີເພດສຳພັນຄັ້ງທຳອິດຂອງທັງສອງຝ່າຍແມ ການເຮັດໃຫ້ມີລູກ ການຮ່ວມມເພດຫຼືການມີເພດສໍາພັນນັ້ນເປັນເລື່ອງປົກກະຕິຂອງມະນຸດເພາະວ່າມະນຸດນັ້ນຕ້ອງສືບພັນໂດຍອາໄສເພດ,ເປັນກິດຈະກໍາທີ່ເລີ່ມຕົ້ນການປະຕິສົນທິເພື່ອໃຫ້ກໍາເນີດຊີວິດໃໝ່.
activity;['ສົງຄາມໂລກຄັ້ງທີສອງ'];ສົງຄາມໂລກຄັ້ງທີສອງ (ອັງກິດ: World War II ມັກຫຍໍ້ເປັນ WWII ຫຼື WW2, ຝະລັ່ງ: Seconde Guerre mondiale) ເປັນຄວາມຂັດແຍ້ງທາງທະຫານລະດັບໂລກຕັ້ງແຕ່ ຄ.ສ.
activity;['ການສຶກສາ'];ການສຶກສາ ໂດຍທົ່ວໄປ ຈະໝາຍເຖິງ ລະບົບທີ່ຖ່າຍທອດຄວາມຮູ້ ຈາກ ຄົນ ຫລື ລຸ້ນຄົນໜຶ່ງ ໃຫ້ ຄົນອື່ນ ຫລື ລຸ້ນຄົນອື່ນ ຢູ່ ໂຮງຮຽນ, ມະຫາວິທະຍາໄລ, ໂຮງຮຽນວິຊາຊີບ ຫລື ແມ່ນແຕ່ ການສຶກສາ ໂດຍ ພໍ່ແມ່ຕໍ່ລູກ.
