abstract-quality;['indiwiduallyk'];INDIWIDUALLYK
activity;['go'];Go manylary bolan, tagtañ üstünde iki adam bilen oýnalýan strategiýa oýuny.
activity;['şaşka'];Şaşka — strategiýa oýuny.
activity;['eýran-yrak urşy'];Eýran-yrak urşy.
activity;['futbol'];Futbol dünýäde iň köp seredilýän we gyzyklanylýan sport görnüşidir.Futbol football eng sözünden döräpdir.
activity;['küşt'];Küşt örän çylyrymly strategiýa oýuny bolup, aýratyn düzgün boýunça 64 öýli tagtada 32 sany ak we gara mally oýnalýan oýun.
activity;['basketbol'];Basketbol bäş adamlyk iki toparyñ basketbol pökküsünü 3.05 metr beýiklikdäki basketbol sebetine salmak üçün ýaryşdyklary sportuň bir görnüşü.
activity;['golf'];Golf bay adamlar tarapyndan oynalyan sportyn görnüşidir.
activity;['adaglama'];Adaglama —Ömürboýy bile ýaşajak, her hili kynçylyklary bilelikde ýeňip geçjek, täze dünýä injek çagalara eýe boljak oglan bilen gyzyň nikahdan öň biri-birini görüp, tanyşmagy, häsiýetlerini öwrenmegi täze guruljak maşgalanyň berkligi üçin öpän möhümdir.
activity;['birinji jahan urşy', 'birinji jahan urşy. 1914-1918ýy'];Birinji jahan urşy, 1914-1918-nji ýyllar arasynda bolup geçen Ýewropa merkezli jahan urşy == Urşuň sebäpleri. ==
activity;['pelopannes urşy', 'polonnepes urşy'];Mowzuk: Polonnepes urşy.
activity;['awantýura'];Awantýura - hakyky güýçleri, şertleri, ýagdaýlary nazara almazdan, kelesaňlyk we töwekgelçilik bilen başlanýan, şoňa görä-de ahyr netijede köplenç puç bolup, şowsuzlyga uçraýan betpälçilikli, howply hereket. tötänleýin üstünliklere umyt baglaýan binamysçylykly iş.
activity;['bilim'];Bilim — adamyň, jemgyýetiň we döwletiň bähbitleri üçin terbiýelemegiň we okuw okatmagyň maksada gönükdirilýän prosesi we ýetilýän netijesi.
activity;['sport'];Türkmenistanyň Milli Futbol Ligasy
activity;['haçly ýörişler'];Haçly ýörişler — günbatar ýewropaly rysarlaryň "kapyrlara" — musulmanlara, butparazlara, prawoslaw döwletlere we dürli ýeretik hereketlere garşy gönükdirilen harby ýörüşleriniň tapgyry.
activity;['maldarçylyk'];Azyk meselesini çözmekde ekerançylyk bilen bir hatarda maldarçylyk hem möhüm ahmiýete eýedir.
activity;['gylýalçylyk'];Türkmensitanda gylýallaryn ahal-teke we yomut tohumlry köpeldilýär.
activity;['programmirleme'];C++ Programmirleme- 1-nji sapak
activity;['boks'];Boks—iki adamyňň emin gözegçiliginde özara yumruklaşyp. birek biregi uryp ýykmak ýa bolmasa uryp utyk toplanýan spordyň görnüşlerinden biri bolyp durýar.Boks sportynda Muhammet Aly we Maýk Taýson ýaly hakyky ussat boksçylar bolypdyr.
activity;['ablýasiýa'];Ablýassiýa - eremek, bugarmak we mehaniki taýdan owranmak zerarly buzlugyň göwrüminiň azalmagy.
activity;['taryhda yz galdyran türkmen zenanlar', 'turizm'];MAHMELEK HATYN. Beýik Seljuklar imperiýasynyn soltany Mälik şanyn gyzy,28-nji halyf al-Mukted Biýemrillahyn aýaly.
activity;['taryhda yz galdyran türkmen zenanlar', 'turizm'];== Sahypalar ==
activity;['numizmatika'];Numizmatika – dürli döwürlede ỳasalan medallary we zikgelenen şaỳlyklary öwrenỳän ylym.
activity;['bagbançylyk'];== Makalalar ==
activity;['bilim'];Bilim — adamyň, jemgyýetiň we döwletiň bähbitleri üçin terbiýelemegiň we okuw okatmagyň maksada gönükdirilýän prosesi we ýetilýän netijesi.
activity;['aw'];Aw - 1
activity;['göreş'];Göreş sportyñ bir görnüşidir.
activity;['plewen', 'pleven'];Plewen - Bolgariýada yerlesen bir saherdir.
activity;['abş-daky raýatlyk urşy'];ABŞ-daky Raýatlyk urşy (Demirgazyk bilen Günortanyň urşy. iňl.
