abstract-region;['terfyn', 'terfan', 'cyfyngu ar bwynt', 'pwynt o gasglu'];term mathemategol
activity;['gwrthdaro', 'gwahaniaeth barn'];Anghytundeb neu anghydfod o fewn grŵp
activity;['coetiau', 'coets', 'choetennau', 'pedol', 'pedolau', 'pwll pedol'];gêm daflu
activity;['brwydr', 'cad', 'brwydrau', 'frwydr', 'gwrthdaro', 'ymgysylltu', 'ymgysylltu milwrol', 'ymladd', 'ysgarmesoedd'];Ymosodiad gan fyddin, sy'n rhan o ryfel ehangach
activity;['gymnasteg', 'mabolgampau', 'gymnastwyr'];chwaraeon
activity;['addysg', 'addysgu', 'didactics', 'addysgol', 'addysgwr', 'addysgwyr', 'addysgydd', 'gweithgaredd addysgol', 'hyfforddiant', 'system addysg', 'system addysgol'];Dysgu, lle mae gwybodaeth a sgiliau yn cael eu trosglwyddo trwy addysgu
activity;['ffeirio', 'economi ffeirio', 'cyfnewid', 'gyfnewid', "i'w gyfnewid", 'masnach ffeirio', 'system ffeirio'];Cyfnewid nwyddau
activity;['cyfodi', 'gwrthryfel', 'gwrthryfelwyr', 'insurgence', 'insurgencies'];codi mewn terfysg neu gwrthryfeliad
activity;['pŵl', 'biliards poced', 'pwll'];Casgliad o chwaraeon ciw
activity;['hiliaeth', 'gwahaniaethu ar sail hil', 'ragfarn hiliol', 'rhagfarn hiliol', 'goruchafiaeth hiliol', 'gwahaniaethu ethnig', 'oruchafiaeth hiliol'];Ffurf hil neu wahaniaethu ar sail ethnigrwydd
activity;['monetization', 'monetize'];Tudalen wahaniaethu Wikimedia
activity;['ymfudo', 'allfudo', 'ymfudwyr', 'allfudiad', 'ymfudiad', 'ymfudwr', 'expatriation', 'mudo dynol', 'ymfudodd'];Gadael gwlad neu ranbarth eich hun gyda'r bwriad o setlo'n barhaol mewn un arall
activity;['cerddoriaeth leisiol'];genre o gerddoriaeth yn cael ei berfformio gan un neu fwy o gantorion
activity;['pync-roc', 'roc pync', 'pync', 'pync roc', 'adfywiad pync', 'band pync', 'band pync roc', 'gerddoriaeth pync', 'punkrock'];Genre cerddorol
activity;['rhestr', 'chyfrif', 'cyfrif', 'system rhifolyn'];Rhestr orchymyn o'r holl eitemau mewn casgliad
activity;['datrefedigaethu', 'dad-drefedigaethu', 'dadwladychu', 'dadwladychiad'];Dadwneud gwladychiaeth
activity;['ymddiwylliannu', 'mabwysiadu diwylliant', 'enculturation', 'acculturation'];Proses o newid diwylliannol a seicolegol
activity;['tenor', 'heldentenor', 'llais tenor', 'tenor dramatig', 'tenor telynegol', 'tenoriaid'];Llais gwrywaidd canu clasurol
activity;['bas', 'bas llais', 'basso', 'basso buffo'];Math o lais canu clasurol
activity;['addysg', 'addysgu', 'didactics', 'addysgol', 'addysgwr', 'addysgwyr', 'addysgydd', 'gweithgaredd addysgol', 'hyfforddiant', 'system addysg', 'system addysgol'];Dysgu, lle mae gwybodaeth a sgiliau yn cael eu trosglwyddo trwy addysgu
activity;['adleoli'];Proses o adael lleoliad sefydlog (fel preswylfa neu fusnes) a setlo mewn un gwahanol
agentive-figure;['cwmni cyfyngedig', 'ltd', 'cwmnïau cyfyngedig', 'gwmni cyfyngedig', 'gwmni cyfyngedig preifat', 'gwmnïau cyfyngedig', 'ld.'];tudalen wahaniaethu Wikimedia
agentive-figure;['esyllt', 'iseult', 'isolde'];Cariad Trystan
agentive-figure;['organ awdurdod'];Endid sy'n gweithredu mewn synnwyr cyfreithiol
agentive-figure;['big band', 'band mawr', 'bandiau mawr', 'gerddorfa jazz', 'mawr-band'];grŵp cerddoriaeth jas
agentive-figure;['y blaid ffederal', 'americanaidd federalist parti', 'blaid federalist', 'federalist parti', 'ffederal parti', 'unol daleithiau federalist blaid'];plaid cyntaf UDA
agentive-figure;['coleg catholig', 'coleg diwinyddol', 'athrofa', 'coleg beiblaidd', 'goleg diwinyddol', 'seminarians', 'seminary diwinyddol', 'seminarïau', 'ysgol diwinyddiaeth'];coleg sy'n arbenigo mewn addysg grefyddol Gristionogol
agentive-figure;['coleg catholig', 'coleg diwinyddol', 'athrofa', 'coleg beiblaidd', 'goleg diwinyddol', 'seminarians', 'seminary diwinyddol', 'seminarïau', 'ysgol diwinyddiaeth'];coleg yn Ffrainc
agentive-figure;['undeb ewropeaidd', 'y gymuned ewropeaidd', 'yr undeb ewropeaidd', 'ue', 'gymuned economaidd ewropeaidd', 'gymuned ewropeaidd', 'yr ue', '🇪🇺', 'cymuned economaidd ewropeaidd', 'cymuned ewropeaidd', 'eu', 'undeb ewrop', 'yr undeb ewropiaidd', 'eec', 'farchnad gyffredin', 'ce', 'e.u', 'ewropeaidd yr undeb', 'farchnad gyffredin ewropeaidd'];Undeb o wladwriaethau Ewropeaidd
