activity;['email'];Engineer photographic Designer
agentive-physical-object;['diig'];shimbir dabjoog ah
agentive-physical-object;['qamadi'];Nooc ka mid ah dhirta
agentive-physical-object;['geel', 'geela'];xaywaan naasley ah
agentive-physical-object;['kalluunka danabka', 'electrophorus electricus', 'mas-badeedka laydhka', 'maska danabka'];Nooc kalluunka kamid ah
agentive-physical-object;['goriila'];nooc ka mid ah naasleyda
agentive-physical-object;['mas'];xaywaan ka mid ah xamaaratada
agentive-physical-object;['wiyil'];nooc ka mid ah naasleyda
amount-of-matter;['salfar', 's', 's8', 'sulfur'];Curiye kiimiko
amount-of-matter;['saliid macsaro', 'saliid macsar'];saliid laga dhaliyo sisinta.
biological-object;['jilib'];Kalasiibka ugu weyn ee jirka baniaadamka
biological-object;['habdhiska taranka'];Habdhiska taranka
biological-object;['dhabar'];Dhinaca dambe ee jirka
classification-system;['kalandarka islaamka', 'bilaha islaamka', 'hijri', 'hijriga', 'kalandarka hijri', 'kalandarka hijriga'];Maalintiriska hijriga
classification-system;['kalandarka miilaadiga', 'miilaadi'];Maalintirsi caalami ah oo inta badan dunida laga isticmaalo
functional-matter;['xaar'];haraadiga cunnada oo la soo qashin saaray
information-realization;['qalin'];Qalab loo adeegsado wax qoridda
information-realization;['destuur', 'dastuur'];Waa waxa loo yaqaan qaanuun ama xeer
locative-role;['mekka', 'makka', 'gobol', 'gobolka makka', 'makkah', 'makkah al-mukarama', 'makki', 'makko', 'mako'];dr.abdiasiis34
parameter;['bidaar'];in la waayo qaar ka mid ah tinta
phenomenon;['siigeysi'];Biyaha oo gacanta lagu soo dajiyo
physical-body;['dhulka', 'dhul', 'dunida', 'meeraha buluuga ah', 'meeraha dhulka', 'orbital period', 'the blue marble'];Meeraha sadexaad ee meerayaasha qoraxda
physical-object;['qalin'];Qalab loo adeegsado wax qoridda
political-geographic-object;['mekka', 'makka', 'gobol', 'gobolka makka', 'makkah', 'makkah al-mukarama', 'makki', 'makko', 'mako'];dr.abdiasiis34
political-geographic-object;['nayjeeriya', 'nigeria'];Mida kale nayjeeriya waa wadanka ugu dadka badan africa
political-geographic-object;['ikwadoor', 'ikuwadoor', 'equateur'];Waa wadan ku yaalo Koonfur Ameerika
political-geographic-object;['triboli', 'tripoli'];Magaalo madaxda liibiya
political-geographic-object;['stockholm'];Wax jiro maahan hIsku imaanina wadankiina hooyo jooga
political-geographic-object;['triboli', 'tripoli'];Magaalo madaxda liibiya
simple-planned-collective;['sharci dajinta', 'sharcidajin'];Godobjiran
situation;['shuban'];xanuun bani'aadamka ku dhaca.
situation;['qoorgooye'];Maxaa sababa cudurka Qoorgooye
situation;['destuur', 'dastuur'];Waa waxa loo yaqaan qaanuun ama xeer
situation;['kacsi'];dareen yimaada xilliyada galmada
situation;["dhalmo la'aanta"];xanuun ku dhaca qufka oo u diidaya dhalmada ama taranka.
situation;["shaqo la'aan", 'baagamuundo'];shaqo la'aantu waxay dhaawacdaa qalbiga qofka wax soo bartey
socially-constructed-person;['mahatma gandhi'];Hogaamiye siyaasadeed iyo diineed ee India
socially-constructed-person;['qaangaadh'];Noole gaaray marxaladda bislaanshaha jinsiyeed
socially-constructed-person;['jamaal cabdinaasir', 'gamal abdel nasser جمال عبد الناصر'];madaxweynahii labaada ee dalka masar
