abstract-quality;['individuallik'];Individuallik
abstract-region;['geometrik qator'];Geometrik qator - geometrik progressiya hadlaridan tuzilgan qator: b 1 + b 1 q + b 2 q 2 +.
abstract-region;['koʻphad', "ko'phad", 'ko`phad', 'ko‘phad'];Koʻphad — Axkye...um+ +Bx"yp...u’’+...+Dxrys...u’ koʻrinishdagi ifoda.
abstract-region;['binom'];Binom
abstract-region;['vektor koʻpaytma'];Vektor koʻpaytma— vektor, a → {\displaystyle {\overrightarrow {a}}} ning vektor b → {\displaystyle {\overrightarrow {b}}} ga koʻpaytmasi. [ a, b ] {\displaystyle \left[\mathbf {a},\.\mathbf {b} \right]} kabi belgilanadi va quyidagicha aniqlanadi: 1 a {\displaystyle \mathbf {a} } va b {\displaystyle \mathbf {b} } orasidagi ikki burchakdan π {\displaystyle \pi } dan katta boʻlmagani olinadi
abstract-region;['darajali qatorlar'];Darajali qatorlar - q.
activity;['regbi'];Regbi — sport oʻyini.
activity;['igna sanchib davolash', 'akupunktura'];Igna sanchib davolash, akupunktura — organizmning yumshoq toʻqimalariga maxsus ignalar kiritib davolash.
activity;['e-mail', 'elektron pochta', 'email'];Elektron pochta — maʼlumotlarni uzatish tarmogʻi orqali axborotlarni bir foydalanuvchi elektron qutisidan boshqasinikiga joʻnatish, qabul qilish va maʼlum vaqtgacha saqlanishini taʼminlovchi dasturiytexnik vositalar toʻplami.
activity;['modulyasiya'];Modulyasiya
activity;['uot tayler qoʻzgʻoloni', "uot tayler qo'zg'oloni", 'uot tayler qo`zg`oloni', 'uot tayler qo‘zg‘oloni'];Uot tayler qoʻzgʻoloni - oʻrta asrlarda Angliyadagi dehqonlarning eng yirik qoʻzgʻoloni.
activity;['troya urushi'];Troya urushi — yunon eposlari "Iliada" va "Odisseya"da bayon qilinishicha, Miken shohi — Agamemnon boshchiligida axeyyalik shohlar ittifoqining Troyaga qarshi olib borgan 10 yillik urushi.
activity;['tomografiya', 'biotoniya', 'laminografiya'];Tomografiya
activity;['siklon'];Siklon
activity;['antitsiklon'];Antitsiklon
activity;['fokstrot', 'foxtrot'];Fokstrot
activity;['vals'];Vals
activity;['qisqa hajmli film', 'qisqa film', 'short film'];Qisqa hajmli film yoki qisqa film — hajmi 4—5 qismdan oshmaydigan, 40—50 daqiqali badiiy, bir, ikki yoki uch qismli hujjatli film.
activity;['oʻpich', 'boʻsa', "o'pich", "o'pish", 'oʻpish'];Oʻpich lablarni boshqa shaxs qismiga tekkizishdir.
activity;['baptizm'];Baptizm
activity;['sirk'];Sirk (lot.
activity;['briz'];Briz
activity;['austerlits jangi', 'austerlitz jangi'];Austerlits jangi [1805.20.11.
activity;['fermopil jangi'];Fermopil jangi – yunonfors urushlari davridagi Lamiya shahridan jan,sharkda joylashgan Fessaliya bilan Oʻrta Yunoniston oʻrtasidagi togʻ yoʻlagida sodir boʻlgan jang.
activity;['karnaval'];Karnaval (lot.
activity;['hujjatli film'];Hujjatli film - kino sanʼati turi.
activity;['futbol'];Futbol — sport oʻyini, 2 darvoza li maxsus maydon da toʻp bilan jamoa boʻlib oʻynaladi.
activity;['slam'];Slam yoki slamdancing
activity;['film', 'badiiy film', 'kinofilm'];Film yoki kinofilm — maʼlum bir sujet asosida boʻglangan fototasvirlar ketma-ketligi.
activity;['hip hop', 'hip-hop'];Hip hop, 1970-yillar oxirida Amerika Qoʻshma Shtatlarida afroamerikaliklar muhitida vujudga kelgan yoshlar submadaniyati.
activity;['shaxmat', 'shatranj', 'shohmot'];Shaxmat
activity;['kroket', 'cróquet'];Kroket
activity;['kompyuter oʻyinlari', 'video oʻyin', 'kompyuter oʻyini', "kompyuter o'yinlari", 'kompyuter o`yinlari', 'kompyuter o‘yinlari'];Video oʻyin, kompyuter yordamida oʻynaladigan koʻngilochar oʻyinlar hisoblanafi.
activity;['vaterpolo'];Vaterpolo
activity;['basketbol', 'bola basket', 'ajakakuapytĩ', 'bale tal zei', 'ball-basgaid', 'ballabanastra', 'ballabasket', 'baloncesto', 'baloncestu', 'baschet', 'basket', 'basket-ball', 'basketbal', 'basketball', 'basketbalo', 'basketbaw', 'basketbolli', 'basketbols', 'basketból', 'baskitbol', 'baskètbòl', 'baskét', 'basquetbol', 'basquetbòl', 'basquetebol', 'bałacanestro', 'bola keranjang', 'bóng rổ', 'bọ́ọ̀lù-alápẹ̀rẹ̀', 'canistriludium', 'chiquiuhtapayōlhuiliztli', 'cispheil', 'hohtsemo', "isanka rump'u", 'kgwele ya ntlatlana', 'korbbal', 'korbopilkado', 'korgball', 'koripallo', 'korvpall', 'koszykówka', 'kosárlabda', 'košarka', 'krepšinis', 'krepšėnis', 'kubadda koleyga', 'kurvabóltur', 'körfuknattleikur', 'làm-khiù', 'motópi mwa dangú', 'nâ-kiû', 'palla a canistru', 'pallacanestro', 'pasiketipolo', 'pêl-fasged', 'saskibaloi', 'umupira w’agatebo', 'καλαθοσφαίριση', 'баскетбал', 'баскетбол', 'кошарка', 'кудсяр', 'сагсан бөмбөг', 'բասկետբոլ', 'כדורסל', 'קוישבאל', 'باسکٹ بال', 'باسکټبال', 'بسکتبال', 'بسکتوال', 'تۆپی باسکە', 'كرة السلة', 'ۋاسكېتبول', 'बास्केटबल', 'बास्केटबॉल', 'शिक्यकन्दुक', 'বাস্কেটবল', 'கூடைப்பந்தாட்டம்', 'బాస్కెట్ బాల్', 'ಬ್ಯಾಸ್ಕೆಟ್\u200cಬಾಲ್\u200c', 'ബാസ്ക്കറ്റ്ബോൾ', 'บาสเกตบอล', 'ບານບ້ວງ', 'དྲ་ཕས་སྤོ་ལོ།', 'ဘတ်စကက်ဘော', 'კალათბურთი', 'バスケットボール', '篮球', '籃球', '농구'];Basketbol
activity;['badminton'];Badminton – patli koptok ni raketka bilan urib oʻynaladigan tennisga oʻxshash sport oʻyini.
activity;['golf'];Golf
activity;['kriket'];Kriket (ingl.
activity;['beysbol', 'beysboll'];Beysbol (ingl.
activity;['tennis', 'launtennis'];Tennis ikki kishi yoki ikki kishilik ikki guruh orasida oʻynaladigan sport oʻyinidir.
activity;['stol tennisi'];Stol tennisi — kichik koptok va raketkalar bilan stolda uynaladigan sport oʻyini.
activity;['avtomatika', 'avtomatizatsiya', 'avtomatlashtirish'];Avtomatika
