activity;['sabi fu prati'];Komunikasi efru sabi fu prati e ben wan prosesi penanga wan e ten wan komon bigripi abra tu traga u a wana frustellikader (a sender efru a bron pe-ini a e sey frufardi) na wan trawana (a ofangaman) via midi fu infrumasi dy, via aspraki, na taki bigripi fruwisi.
agentive-physical-object;['ekosi'];Wan ekosi efru bonboni e ben wan bobowatrameti (meti).
agentive-physical-object;['meti', 'animalia'];Den meti edu a metigudu (Animalia) ben wan gudu dati ben fu den Eukaryoti.
agentive-physical-object;['dagu', 'canis lupus familiaris'];Wan dagu ben wan bobowatrameti.
agentive-physical-object;['abla', 'convolvulus'];Abla znw.
agentive-physical-object;['kruktutere', 'scorpiones'];.
agentive-physical-object;['acai'];ACAI na wan prenspari bon.
agentive-physical-object;['kaw'];Wan kaw e ben wan meti.
agentive-physical-object;['kawmeti', 'bos primigenius taurus'];Kawmeti (Bos taurus) e ben wan metisortu u a gunomruhufu tiki fu a ordi Cetartiodactyla, famili Bovidae.
agentive-physical-object;['affo'];Affò znw.
agentive-physical-object;['puspusi', 'felis silvestris catus'];Wan puspusi ben wan bobowatrameti.
agentive-physical-object;['kawmeti', 'bos primigenius taurus'];Kawmeti (Bos taurus) e ben wan metisortu u a gunomruhufu tiki fu a ordi Cetartiodactyla, famili Bovidae.
agentive-physical-object;['aboma', 'abomabrasa', 'boma', 'watra-aboma'];.
agentive-physical-object;['kownukronsneki'];.
agentive-physical-object;['asi', 'equus caballus'];Wan asi e ben wan bobowatrameti.
agentive-physical-object;['minnie mouse'];Minnie Mouse si teki fu den Walt Disney ini The Walt Disney Company wan Mickey Mouse.
agentive-physical-object;['acerola'];Acerola na wan pikin bon.
agentive-physical-object;['daguwesneki', 'rediteredagwesneki'];Kownukronsneki
amount-of-matter;['gowtu'];Yu kan feni gowtu in a her' kondre.
geographical-object;['ondro amrika', 'zuidsei amerka', 'zuidsei amrika'];Ondro Amrika e ben wan doti opo aldoti.
geographical-object;['bakra antila', 'antila'];Bakra Antila na wan kondre ini zuidsei kribisi bigiwatra.
geographical-object;['oseyaniya'];Eke in Popoua novja guiney, Austrilien, Neovjo sealondo a Oseyaniya 30 mil.
geographical-object;['sint maarten'];Sint Maarten na wan kondre ini Bakra Antila, zuidsei kribisi bigiwatra.
geographical-object;['amrika', 'america', 'amerika', 'amerka'];Amrika efu Amrka efu Amerka e ben wan doti opo aldoti.
information-object;['cedilla', '◌̧'];Cedilla e ben wan man ska abra taki.
information-object;['circumflex', '^', 'ˆ', '◌̂'];Circumflex e ben wan man ska abra taki.
information-object;['caron', 'ˇ', '◌̌'];Caron e ben wan man ska abra taki.
information-object;['diaraesis', '◌̈'];Diaraesis e ben wan man ska abra taki.
information-object;['acute accent', 'ˊ', '◌́'];Acute accent e ben wan man ska abra taki.
information-object;['h'];H e ben wan man ska abra taki.
information-object;['z'];Z e ben wan man ska abra taki.
information-realization;['wortubuku'];-> Wikipedia:Wortubuku
information-realization;['moleri'];Moleri e ben a art fu a siteli efru moleri efru peenti.
information-realization;['bèibel', 'bibel', 'bijbel'];A Bèibel efru Bibel de na santa buku fu a Kirkedomo.
language;['tongo'];Tongo e ben wan sistemi taki meni frugi fru midi fu wan alfabeti fu arbitreri simboli, leki takiklanki, ebari efru skriftiteki.
language;['persitongo'];Persitongo e ben wan Indo-Ropa si tongo.
language;['urdu'];Urdu nanga Ingristongo ini Pakistan.
