activity;['raga', 'kiwiki', 'rugby', 'raga soka', 'rugger'];Raga (ing.
activity;['barua pepe', 'emeli', 'e-mail', 'baruapepe', 'email', 'e-mails', 'elektroniki pepe', 'pepe internet'];Barua pepe ni ujumbe unaotumwa kwa njia ya intaneti au mtandao mwingine wa kielektroniki.
activity;['go', 'kwenda mchezo'];Go ni mchezo wa ubao kwa wachezaji wawili.
activity;['kesi', 'kesi ya jinai', 'walijaribu'];Kesi ni utaratibu wa kuamua kisheria kati ya pande mbili zinazogombana au zinazoshindania kitu.
activity;['kutangaza watakatifu', 'canonization', 'canonise', 'canonised', 'canonize', 'canonized'];Kutangaza watakatifu ni tendo ambalo baadhi ya madhehebu ya Ukristo yanatambua rasmi kwamba muumini aliyefariki dunia alikuwa mtakatifu.
activity;['njia ya msalaba', 'vituo ya msalaba', 'via crucis', 'vituo vya'];Njia ya Msalaba ni desturi ya sala inayolenga kumfuata Yesu Kristo hadi msalabani na kaburini.
activity;['mwenye heri', 'mwenyeheri', 'wenye heri', 'wenyeheri', 'beatification', 'beatified'];Mwenye heri ni jina la heshima analopewa Mkristo wa Kanisa Katoliki baada ya kufa na ya kufanyiwa kesi makini kuhusu ushujaa wa maadili yake yote na juu ya muujiza mmoja uliofanywa na Mungu kwa maombezi yake baada ya kifo chake.
activity;['mapigano ya marathoni', 'mapigano ya marathon', 'vita ya marathon'];Mapigano ya Marathoni yalifanyika mnamo Septemba 490 KK kwenye uwanda wa Marathoni, si mbali na Athens, Ugiriki.
activity;['backgammon'];Backgammon ni mchezo wa ubao unaochezwa na watu wawili.
activity;['kipaimara', 'uthibitisho'];Kipaimara ni ibada ya madhehebu mbalimbali ya Ukristo inayolenga kumthibitisha mwamini katika kumfuata Yesu kwa uweza wa Roho Mtakatifu.
activity;['mbinu ya rediokaboni', 'mbinu wa rediokaboni', 'carbon-14 dating', 'radiocarbon dating', 'carbon 14 dating', 'carbon dating', 'dating c14', 'kaboni dating', 'mwaka radiocarbon', 'radio-carbon dating', 'radiocarbon asasi', 'radiocarbon tarehe', 'redio kaboni dating'];Mbinu ya rediokaboni ni njia ya kisayansi ya kutambua umri wa mata ogania.
activity;['kura', 'kupiga kura', 'karatasi za kupigia kura', 'kura kipepeo', 'wapiga kura'];Kura ni tendo au njia ya kawaida kwa kundi la watu ama kuchagua kiongozi wanayemtaka ama kuchukua maamuzi wanayoona yanafaa.
activity;['ekaristi', 'komunyo', 'meza ya bwana', 'chakula cha bwana', 'communicant', 'communicants', 'damu wengi precious', 'ekaristi liturujia', 'ekaristi takatifu', 'mtakatifu ekaristi', 'mtakatifu sakramenti', 'sakramenti takatifu', 'sakramenti ya ekaristi', 'takatifu ushirika', 'ya ekaristi'];Ekaristi ni sakramenti iliyowekwa na Yesu Kristo wakati wa karamu ya mwisho, usiku wa kuamkia Ijumaa Kuu, siku ya mateso na kifo chake msalabani.
activity;['baptisti', 'wabaptisti', 'baptist', 'kibaptist', 'kibaptisti', 'wabatisti', 'baptist church', 'kanisa mbatizaji', 'baptists', 'mbatizaji', 'waziri mbatizaji'];Baptisti ni neno linalotumika pengine kuelezea kinachohusika na mapokeo maalumu ndani ya Ukristo wa Kiprotestanti na hasa kutajia mali au makanisa ya Wabaptisti au madhehebu ya Kibaptisti, ambayo ni kati ya yale yenye waumini wengi zaidi duniani.
activity;['krisma', 'chrism', 'chrisom', 'sakramenti mafuta', 'takatifu mafuta'];Krisma ni mafuta ya kunukia yanayotumiwa na Wakristo wa madhehebu mbalimbali katika ibada kadhaa, hasa sakramenti za ubatizo, kipaimara na daraja takatifu.
activity;['kesha', 'mkesha'];Kesha au Mkesha ni kipindi cha kutolala kwa makusudi, hasa kwa lengo la kidini, kama vile kusali kirefu.
activity;['vita kati ya irak na uajemi', 'iran-iraq vita'];Vita kati ya Irak na Uajemi ilitokea kuanzia Septemba 1980 hadi Agosti 1988.
activity;['kwanzaa'];Kwanzaa ni sikukuu inayosherehekewa kati ya Wamarekani Weusi nchini Marekani kwa muda wa siku saba toka tarehe 26 mwezi wa disemba hadi tarehe 1 mwezi wa Januari.
activity;['filamu za western', 'western', 'farasi opera', 'magharibi filamu'];Western
activity;['mpira wa miguu', 'soka', 'kandanda', 'mchezaji mpira', 'mchezaji wa mpira', 'mchezo wa soka', 'baada ya muda wa ziada', 'chama footballer', 'chama soka', 'dakika za majeruhi', 'muda wa majeruhi', 'timu ya soka'];Mpira wa miguu ni mchezo unaochezwa na jumla ya wachezaji ishirini na wawili katika timu mbili, kila timu ikiwa na wachezaji kumi na mmoja.
activity;['filamu', 'sinema', 'movie', 'kusonga picha', 'mwendo picha', 'picha mwendo', 'kusonga-picha show', 'kuu mwendo picha', 'motion picture', 'mwendo-picha', 'mwendo-picha show', 'picha show', 'screen kubwa', 'theatrical filamu'];Filamu ni mfululizo wa picha zinazoonyesha mwendo wa watu au vitu na kuonekana mbele ya watazamaji kwenye skrini.
activity;['mabreka', 'kuvunja ngoma', 'b-boying', 'b-mvulana', 'b-wavulana', 'breakdance', 'breakdancer', 'breakdancing', 'kuvunja dancer', 'kuvunja kucheza'];Mabreka
activity;['muziki wa hip hop', 'hip-hop', 'hip hop', 'hip hop music', 'rap na hip hop', 'hip-hop halisi', 'hip-hop music', 'hip hop kundi', 'muziki rap', 'muziki wa hip-hop', 'rap', 'rap kundi', 'rap muziki'];Muziki wa hip hop ni aina ya muziki ulioanza kunako miaka ya 1970, ukiwa umeanzishwa na Wamarekani weusi katika miji mikubwa ya Marekani.
activity;['sataranji', 'chesi', 'chess', 'shataranji', 'chess mchezo'];Sataranji ni mchezo wa ubao kwa wachezaji wawili.
activity;['mchezo wa video', 'video game', 'mchezo video', 'mchezo wa kompyuta', 'elektroniki burudani', 'kompyuta ya michezo kubahatisha', 'mchezo maingiliano', 'mchezo pc', 'michezo ya kompyuta', 'michezo ya kompyuta binafsi', 'michezo ya kubahatisha kompyuta', 'michezo ya kubahatisha pc', 'michezo ya video', 'pc mchezo', 'video-mchezo', 'video ya michezo kubahatisha', 'videogame', 'videogames'];Michezo ya video ni michezo elektroniki inayochezwa kwenye skrini inayoweza kupatikana kwenye runinga, kompyuta au kifaa kingine.
activity;['mpira wa kikapu', 'basketball', 'basketballer', 'hoops', 'mpira kikapu', 'mpira wa kikapu mchezo', 'mpira wa kikapu shule ya sekondari'];Mpira wa kikapu ni aina ya michezo inayopendwa katika sehemu nyingi za dunia na watu wengi hutamani mchezo huu.
