abstract-region;['limiet', 'limieten'];In de wiskunde is e limiet e weirde die deur e functie in 't oneindige kan wordn benoaderd.
activity;['trojoansen orloge'];Den Trojoansen orloge is volgens de mythe begunn deur de godinne Eris.
activity;['backgammon'];Backgammon es een bordspel voor twêe spelers.
activity;['plechtige communie'];De kienders die in 't zesde stuudjoar zitten doen under Plechtige Communie, ook wel Illig Vormsel genoemd.
activity;['katje-duuk'];Katje-duuk is e kienderspelletje woaby da êen persôon ol d'ander kiendjes moe zoekn.
activity;['voetbol', 'foetbol', 'voebal', 'voetbal'];Voetbol es een teamsport.
activity;['snooker'];Snooker es een biljartsport, utgevoundn in Ingeland, moar loater utgewoaid noar het Europeese vasteland.
activity;['veugelpyk', 'darts', 'veugelpiek', 'veugelpik'];Veugelpyk is e kaffeesport die officieel darts noemt.
activity;['pekkeln', 'bikkeln'];Pekkeln is een spel da wer gespeeld me klêne klompkes materioal.
activity;['oufyzersmytn', 'oufyzer smittn'];Oufyzer smytn es e volksspel, woaby dat er en oufyzer noar e stoake wierd gesmeetn.
activity;['basket', 'basketbal', 'basketbol'];Basket of basketbol is een ploegsport die uutgevoundn is in 1891 deur James Naismith, een Canadeesche sportleroare in Springfield College, Massachusetts in de USA. In basket speel je me twêe ploegn van vuuf spelers ip een basketveld.
activity;['tennis', 'tennisser'];Tennis es een sport da gespeeld wordt met een tennisrackette en een tennisbol.
activity;['spoansche successieoorlog', 'spoansche successie-oorloge', 'spoansche successieoorloge', 'spoansche successieorloge'];De Spoansche Successieoorlog was ’t gevolg van e belangryk Europees conflict over de Spoansche ipvolgienge van Karel II van Spanje.
activity;['kienderliedje'];E kienderliedje is e liedje of e rymtje die emakt zyn voun jounge kienders.
activity;['twiddn weireldôorloge', 'world war ii', "twidd'n weireldôorloge", 'twidde weireldoorloge', 'twidde ôorloge', 'twiddn weireldoorloge', 'twiddn weireldôorlog', 'twêede weireldoorloge', 'wo2', 'wo 2', 'wo ii'];'n Twiddn Weireldôorlog is 't twidde conflict woaby da bykan hêel de weireld betrokkn wos.
activity;['êestn weireldoorloge', 'wo1', "'14 - '18", '14-18', 'den grooten oorlog', 'eeste weireldoorloge', 'eestn weireldoorloge', 'eêste weireldoorloge', 'grôotn ôorloge', 'wo 1', 'wo i', 'woi', "êest'n weireldoorloge", 'êeste weireldoorloge', 'êeste weireldorloge', 'êeste weireldôorloge', 'êestn weireldôorlog', 'êestn weireldôorloge', 'êestn ôorloge'];Den Êestn Weireldoorloge, ook wel 14-18 of den grootn oorlog genoemd was e grôot moundioal conflict.
activity;['kruustochtn', 'kruustocht', 'kruusvoart'];De Kruustochtn woarn e reekse militaire missies no ’t Hillig land, binst de middelêeuwn.
activity;['slag om passchendoale', 'de derden slag om yper', 'de derdn slag om yper', 'de slag by passchendoale', 'derden slag om yper', 'derdn slag by yper', 'derdn slag om yper', 'slag by passchendoale'];De Slag om Passchendoale, of de Derdn Slag by Yper, wos êen van de zwoarste veldsloagn in ’n Êestn Weireldôorlog.
activity;['etse', 'etser', 'etsn'];Een etse is een diepdruk ip papier, soms perkament of zyde, van e vôorstellienge die met e zeur uutgebeetn wordt in e metoaln ploate van koper of stoal en sedert de 19e êeuwe ook zienk.
activity;['dôodstraffe'];De dôodstraffe is 't terechtstelln van een persôon achter een juridisch proces as straffe vô zwoare misdryvn.
activity;['vaccinoasje'];Een vaccinoasje of inentienge, dient er vôorn vo 't immuunsystèm van een persôon te "trainn" teegn bepoalde ziektn.
activity;['schansspringn', 'schansspriengn', 'schansspringen'];Schansspringn es een Olympische wintersport.
activity;['fotografie', 'foto'];Fotografie is e techniek vor ofbeeldingn te moakn.
activity;['schuttel', 'schuttels'];De schuttels zien de vule talloorn, gloazn en alloam.
activity;['rally'];Ne rally is e sôorte koerse mee auto's ip nen normoal geslootn circuit dat anders eigentlik geweune boane is.
activity;['bergrede'];De Bergrede is de redevoerienge van Jezus van Nazareth dat 'n edoan et op e berg.
activity;['fransche revoluusje', 'fransche revolutie', 'franse revolutie'];De Fransche Revoluusje was e politieke omwentelienge an 't ende van d' 18ste eêuwe, woaby dat de Fransche absolute monarchie ofgezet is en d' Eêste Fransche Republiek ipgericht.
activity;['schuttel', 'schuttels'];De schuttels zien de vule talloorn, gloazn en alloam.
activity;['discriminoatie', 'discriminatie'];Discriminoasje is e verschil moakn tusschn menschn en groepn, woadeure dat under rechtn ofgepakt wordn.
agentive-figure;['scylla'];Scylla of Skylla was e zêemonster uut de Grieksche mythologie.
agentive-figure;['helena'];Helena is e figeure uut de Griekse mythologie.
agentive-figure;['priesterkoor'];'t Koor of hoogkoor es de plekke in kerkgebouwn woar dat 't outoar stoat.
agentive-figure;['kleuterschole'];Kleuterschole is de name van 't sôorte ounderwys vo kienders vôor dan ze noa 't lager goan.
agentive-figure;['unesco', 'organizoasje van de verêenigde noasjes vor oendrwys, weetnschap en kuulteure'];Den UNESCO of in 't lank Organizoasje van de Verêenigde Noasjes vor Oendrwys, Weetnschap en Kuulteure is e gespisjaliezeerd agentschap van de Verêenigde Noasjes.
agentive-figure;['gemênebest'];Gemênebest is de benoamieng voer e stoat of - in de mêeste gevalln - e bound van stoatn.
agentive-figure;['reus', 'reuze'];Een reus of reuze is een styf grôot en sterk weezn met een menschelik uterlik, die vele vôornkomt in de mythologie, in sagen en sprooksjes en ook in den bybel.
agentive-figure;['europese unie', '🇪🇺', 'eu', 'europeesche gemêenschap', 'europeesche unie'];De Europese Unie es een polletiek-economische êeneid van 27 verschillende landn in Europa.
agentive-figure;['katholieke kerke', 'katholyke keirke'];Me de Katholieke Kerke bedoeln me mêestol de Rooms-Katholieke Kerke.
agentive-figure;['zeemarminne', 'meermin', 'zeemeermin', 'zêemeerminne', 'marminne'];Een zeemarminne of zeemarmiete is een weezn dat in de loop van de geschiedenisse in de fantasie van de mens is onstoan.
agentive-figure;['islam'];Den islam is een weireldwyde godsdienst woar ze geloovn in êne God, letterlik vertoald in 't Arabisch Allah.
agentive-figure;['sovjet-unie', 'ussr'];De Sovjet-Unie, vuluut Unie van Socialistische Sovjetrepubliekn of ofgekort USSR, was e communistische stoat in Eurazië tusschn 1922 en 1991.
agentive-figure;['illig rôoms ryk', 'heilig rooms ryk', 'hillig rooms ryk', 'hillig rôoms ryk', 'illig rooms ryk', 'illig roomsche ryk'];'t Hillig Rôoms Ryk was ’n unie van stoatn in centroal Europa ounder 't gezag van e keizer.
agentive-physical-object;['pompoen'];E pompoewn is e gecultiveerde roende plantevariëteit van de komkommerfamilie met e gleddige, licht geribbelde pele en meistal diepgilwe toet oranje van kleur.
agentive-physical-object;['appelvienke', 'appelvinke', 'coccothraustes coccothraustes'];Appelvienkn zyn zangveugels uut de familie van de vienkn.
agentive-physical-object;['ganzemeur', 'goezemoeze', 'stellaria media'];Ganzemeur of goezemoeze is e plante uut de familie van de anjers.
agentive-physical-object;['brune puut', 'bruun puut', 'rana temporaria', 'bruune puut'];Nen brune puut es 'n sorte puut en es tôpe met den groene puut êen van de mêest voorkomende sortn puutn in de Vloanders.
agentive-physical-object;['pynboom', 'pinus', 'pyne'];Pynboomn of pynn zyn e geslacht van altydgroene koniefeern-boomn uut de famielje van de pynboomachtign.
agentive-physical-object;['êke', 'eikenboom', 'eeke', 'eekn', 'êeke'];Êekn zyn e sôorte va boomn die in Vloandern nog redelik olgemêen vôornkomn.
agentive-physical-object;['terrebut', 'psetta maxima'];De terrebut, is e platvis uut de familie van terrebutachtign.
