abstract-region;['యాదృచ్ఛిక చలరాశులు'];= నిర్వచనం.
abstract-region;['కనిష్ఠ సామాన్య గుణిజం', 'క.సా.గు.'];కనిష్ఠ సామాన్య గుణిజం అన్నది ఇంగ్లీషులోని Least Common Multiple కి ముక్కస్య ముక్క అనువాదం.
activity;['ఆక్యుపంక్చర్', 'ఆక్యుపంచర్', 'ఆకుపంక్చర్'];ఆక్యుపంక్చర్ చైనా దేశములో బహుళ ప్రఖ్యాతగాంచిన వైద్యవిధానాలలో ఒక రకము.
activity;['ఈ-మెయిల్', 'ఈ మెయిల్'];ఈ-మెయిల్ లేదా వేగు లేదా విద్యుల్లేఖ : కంపుటర్ ద్వారా ఒక చోటి నుంచి ఇంకొక చోటికి పంపించే ఉత్తరాలను ఈ-మెయిల్ అంటారు.
activity;['తెలుగు వచనములు', 'వచనము', 'వచనములు', 'వచనాలు'];తెలుగు భాషలో రెండు వచనములు ఉన్నాయి.
activity;['రమ్మీ'];అదే ర్యాంక్ లేదా క్రమం, అదే జోడి యొక్క మ్యాచింగ్ కార్డుల ఆధారంగా ఆడే ఇటువంటి వాటిలో గుర్తింపు పొందిన మ్యాచింగ్ కార్డ్ గేమ్స్ యొక్క ఒక గ్రూప్ రమ్మీ.
activity;['ముద్దు', 'చుంబనం', 'ముద్దులు'];ముద్దు లేదా చుంబనం ఒక విధమైన ప్రేమను వ్యక్తం చేసే పద్ధతి.
activity;['రేడియోకార్బన్ డేటింగ్', 'కార్బన్ డేటింగ్'];రేడియోకార్బన్ డేటింగ్ లేదా కార్బన్ డేటింగ్ అనేది ఆర్గానిక్ పదార్థాలు కలిగిన ఏదైనా వస్తువు వయస్సు తెలుసుకునే పద్ధతి.
activity;['దాగుడుమూతలు', 'దాగుడు మూతలు'];దాగుడు మూతలు పిల్లలు ఆడుకునే ఆట.
activity;['తొక్కుడుబిళ్ళ', 'తొక్కుడు బిళ్ళ'];తొక్కుడుబిళ్ళ ప్రపంచవ్యాప్తంగా అనేక దేశాలలో పిల్లలు ఆడే ఆట.
activity;['ఓటు', 'ఓటరు గుర్తింపు కార్డు'];ప్రజాస్వామ్యానికి ఓటే పునాది.
activity;['సర్కస్', 'సర్కసు'];సర్కస్ అంటే ఒక చోటు నుంచి మరోచోటుకి ప్రయాణిస్తూ సందర్శకుల కోసం చిత్ర విచిత్రమైన విన్యాసాలు ప్రదర్శించే కళాకారులు, విదూషకులు, సుశిక్షితమైన జంతువుల బృందం లేదా ఆ బృందం ఇచ్చే ప్రదర్శన.
activity;['ప్రాధమిక ప్రజా సమర్పణ'];This article incorporates information from this version of the equivalent article on the English Wikipedia.
activity;['తోలుబొమ్మలాట', 'తోలు బొమ్మలు'];తోలుబొమ్మలాట ఒక జానపద కళారూపం.
activity;['డాక్యుమెంటరీ చిత్రం'];డాక్యుమెంటరీ చిత్రం స్థూలంగా కదిలే చిత్రాల కోవకు చెందుతుంది.
