activity;['buciko'];Buciko (siNgisi: arts).
agentive-figure;['mhlabuhlangene'];Mhlabuhlangene (síNgísi, United Nations) ngumhlangano lomkhulu emaveni emhlaba lapho kukhulunywa khona tindzaba tekutfutfukisa umhlaba.
agentive-figure;['lukholo'];Lukholo lumcoka emuntfwini ngobe umuntfu naloyo ufika ezingeni lekutiva kwekutsi kufanele abe nalokuba ngu Nkulunkulu empilweni yakhe.
agentive-physical-object;['likati', 'felis silvestris catus'];Likati.
agentive-physical-object;['libubesi', 'libhubesi', 'panthera leo'];Libhubesi litfolaka ngaphansi kwemalunga emakati latiwa ngekutsi ngema (Panthera leo) , Leli likati lelisemndenini wemakati latiwa ngema Felidae (cat) lamanye emabhubesis lamadvuna anesisindvo lesingu 250 kg (550 lb), manje loku kuchaza kutsi leli likati lelikhulu emhlabeni ngemuva kwe tiger.
agentive-physical-object;['sambane'];Sambane.
agentive-physical-object;['tinyoni', 'aves'];Tinyoni (síNgísi, birds), Likilasi: Classis Aves Linnaeus, 1758.
ecological-collective;['úmhlâba'];Úmhlâba.
functional-matter;['inyama'];Ínyama == Tilwane letisipha inyama == Inkhomo Imbuti Imvu Inkhukhu Tinyoni Tinyamatane == Ticubu tenyama letidliwako == Ihloko, intsamo timbambo, kwangekhatsi, umkhono, umlente, umgogodla, timphiko.
genetic-collective;['umndeni'];Umndeni.
geographical-object;['ithayiwani'];iThayiwani (Mandarin: 中華民國. Republic of China).
geographical-object;['ibhemuda'];iBhemuda.
geographical-object;['imelika'];IMelika.
information-encoding-system;['bunkondlo'];Bunkondlo (ngesíNgísi: poetry).
information-object;['umsuka'];Umsuka nguleyo ncenye yelibito lengagucuki emushweni.
information-object;['sicalo'];Sicalo lilunga lekucala laliphi naliphi li bito lesiSwati.
information-realization;['íncwadzí'];Íncwadzí.
information-realization;["yetzi' maria"];Yetzi' Maria (latina: Ave Maria), leli lihlobo lwemthandazo webantfu belibandla lema roma labakholelwa ku Maria na Jesu Khristu.
information-realization;['livangeli lajesu khristu ngekulandzisa kwa-johane'];Livangeli laJesu Khristu Ngekulandzisa Kwa-Johane
information-realization;['libhayibheli'];LiBhayibheli, liyitsatsa njengencwadzi lendze lokumatima kuyicondza ngaletinye tikhatsi.
language;['sí-speranto', 'sísperanto'];== Kúbópha == Sí-Speranto a, b, c ...
language;['sí-nterlingua', 'interlingua', 'síinterlingua'];SíNterlingua.
language;['sí-ido', 'ido'];Sí-Ido, lulwimi.
language;['singisi', 'síngísi', 'lulwimi lwesingisi', 'english', 'sí-ngísi'];Singisi, lúlwîmi lwemndeni wesi Jalimane lwaseNgilandi le umnyombo walo uvela e France, e Jalimane kanye nase Vulgar Latin.
language;['urdu ulimi', 'urdû'];Isi-Urdu igama lenye yezilimi ezikhulunywa eNingizimu Asia.
language;['sipanishi', 'síspanish'];Sipanishi, lulwimi.
language;['síjalimáne'];síJalimáne, lúlwîmi.
locative-role;['edirne'];Edirne.
locative-role;['ho chi minh city'];Ho Chi Minh City, IViyethina IRiphabhulikhi yeNingizimu Ashiya.
locative-role;['imonakho'];iMonakho (fr: Principauté de Monaco, mon: Principatu de Múnegu, it: Principato di Monaco, oc: Principat de Mónegue).
locative-role;['isebhiya'];iSebhiya.
locative-role;['lithuwani'];Lithuwani.
locative-role;['rio de janeiro'];Rio de Janeiro.
method;['bukhosi'];Bukhosi yindlela yekubusa lapho khona inhloko yembuso ingakhetfwa khona, kepha ibekwa ngemitsetfo yalowo mbuso nobe sigodzi futsi leyo nhloko ibusa idzimate ikhotsame nobe yehle esikhundleni (ikakhulukati enshonalanga).
non-physical-collection;['lukholo'];Lukholo lumcoka emuntfwini ngobe umuntfu naloyo ufika ezingeni lekutiva kwekutsi kufanele abe nalokuba ngu Nkulunkulu empilweni yakhe.
non-physical-collection;['bukhristu'];== Jesu Khristu == BuKhristu lukholo lolulandzela timfundziso taJesu Khristu letitfolalakala ethestamenteni lelisha ebhayibhelini.
political-geographic-object;['iromaniya'];iRomaniya.
political-geographic-object;['edirne'];Edirne.
political-geographic-object;['ho chi minh city'];Ho Chi Minh City, IViyethina IRiphabhulikhi yeNingizimu Ashiya.
political-geographic-object;['ikhoriya lesenyakatfo'];iKhoriya leseNyakatfo (ko: 조선민주주의인민공화국, Chosŏn Minjujuŭi Inmin Konghwaguk).
political-geographic-object;['inoweyi', 'noreg', 'norge'];iNoweyi.
political-geographic-object;['idashi'];iDashi.
political-geographic-object;['élusûtfu', 'é-lusûtfu'];ÉLusûtfu (Muso oa Lesotho, síSûtfu), íAfríka.
political-geographic-object;['ijaphani', 'japan'];IJaphani (síNgísi, Japan), 日本 Nippon/Nihon.
political-geographic-object;['imonakho'];iMonakho (fr: Principauté de Monaco, mon: Principatu de Múnegu, it: Principato di Monaco, oc: Principat de Mónegue).
political-geographic-object;['umkhatsi we-afrikha'];Umkhatsi we-Afrikha.
political-geographic-object;['ijibhuthi'];iJibhuthi.
political-geographic-object;['imaleshiya'];iMaleshiya.
political-geographic-object;['inamibiya'];iNamibiya.
political-geographic-object;['ibhabudi ne anithikhu'];iBhabudi ne Anithikhu.
political-geographic-object;['imolithaniya'];iMolithaniya.
political-geographic-object;['ibhelizi', 'belize'];iBhelizi.
political-geographic-object;['ikhisinevi'];'iKhisinevi.
political-geographic-object;['ikhomoro'];iKhomoro.
political-geographic-object;['idomonokha'];iDomonokha.
political-geographic-object;['isenti-lushiya'];'iSenti-Lushiya.
political-geographic-object;['ngilandi'];INgilandi.
political-geographic-object;['iswizalandi', 'iswizalendi', 'ch'];iSwizalendi (de: die Schweiz, fr: Suisse, it: Svizzera, rm: Svizra).
political-geographic-object;['bunye bema-arabhu'];Bunye bema-Arabhu (ar: دولة الإمارات العربية المتحدة‎).
political-geographic-object;['lusembogu'];Lusembogu (Groussherzogtum Lëtzebuerg, Großherzogtum Luxemburg, Großherzogtum Luxemburg).
political-geographic-object;['imorokho'];iMorokho.
political-geographic-object;['united kingdom'];United Kingdom.
political-geographic-object;['i-arabhiya'];i-Arabhiya (ar: المملكة العربية السعودية‎).
political-geographic-object;['ishedi'];iShedi.
political-geographic-object;['ithajiki'];iThajiki (Tajik: Тоҷикистон).
political-geographic-object;['ibuganda', 'uganda'];iBuganda.
political-geographic-object;['ibhelalasi'];iBhelalasi.
political-geographic-object;['imalawi'];iMalawi.
political-geographic-object;['izimbabhwe'];== Live == Libito lelisemtsetfweni: Republic of Zimbabwe.
political-geographic-object;['izebajani'];iZebajani (az: Azərbaycan).
political-geographic-object;['ikhirigi'];iKhirigi.
political-geographic-object;['izubekhi'];iZubekhi (Uzbek:Ўзбекистон Республикаси‎).
political-geographic-object;['imali', 'malí'];iMali.
political-geographic-object;['ikhazakhi'];iKhazakhi (ka: Қазақстан, Qazaqstan. قازاقستان, qɑzɑqstɑ́n).
political-geographic-object;['imongoliya'];iMongoliya.
political-geographic-object;['ibhelijiyamu'];iBhelijiyamu.
political-geographic-object;['umbuso weswatini', 'kángwane', 'eswatini', 'lilangeni', 'ngwane', 'swatini'];Umbuso weSwatini, live leliseningizimu nelivekati lase Afrika.
political-geographic-object;['iphakhistani'];iPhakhistani (Urdu: پاکِستان, paːkɪˈst̪aːn).
political-geographic-object;['ibhangladeshi'];iBhangladeshi (Bengali: বাংলাদেশ‎).
political-geographic-object;['i-afugani'];I-Afugani, live leliseNingizimu Ashiya.
political-geographic-object;['iyosithiya'];iYosithiya.
political-geographic-object;['ilawoso'];iLawoso (la: ສາທາລະນະລັດປະຊາທິປະໄຕ ປະຊາຊົນລາວ, Saathiaranarath Prachhathipatay Prachhachhou Lao, Lao People's Democratic Republic).
political-geographic-object;['imayanima'];iMayanima.
political-geographic-object;['ikhambodiya'];iKhambodiya (Khmer: ព្រះរាជាណាចក្រកម្ពុជា Preăh Réachéa Nachâk Kâmpŭchéa).
political-geographic-object;['ibhuthani'];iBhuthani (Dzongkha: འབྲུག་ཡུལ་ drug yul).
political-geographic-object;['ithumekhi'];iThumekhi (Turkmen:Türkmenistan).
political-geographic-object;['ijojiya'];iJojiya (Georgian: საქართველო. sak’art’velo).
political-geographic-object;['iruwanda'];iRuwanda.
political-geographic-object;['izambiya'];iZambiya.
political-geographic-object;['ikhongo'];iKhongo.
political-geographic-object;['ihondulasi', 'honduras'];iHondulasi.
political-geographic-object;['igwathamala', 'guatémala'];iGwathamala (sp: Guatemala‎).
political-geographic-object;['ikhosta-likha', 'crc'];iKhosta-Likha (sp: Costa Rica‎).
political-geographic-object;['ihangareyi'];'iHangareyi.
political-geographic-object;['ipholandi', 'poland', 'polska'];iPholandi.
political-geographic-object;['iburundi', 'burundí'];iBurundi.
political-geographic-object;['ithanzaniya'];iThanzaniya.
political-geographic-object;['iginiya'];iGiniya.
political-geographic-object;['isomaliya'];iSomaliya.
political-geographic-object;['iviyethina'];IViyethina, Vietnam, IRiphabhulikhi yeNingizimu Ashiya.
political-geographic-object;['ilibhiya'];iLibhiya (ليبيا, Lībiyā).
political-geographic-object;['ijalimane'];iJalimane.
political-geographic-object;['isudani', 'sudan'];iSudani.
political-geographic-object;['igibhithe'];== Live == Libito :Gumhūriyyat Misr al-'Arabiyyah Lihubi lesive :Bilady,bilady,bilady Inhlokodolobha :Cairo umfula lomkhulu :inayili Bubanti belive : 980.869km² == hulumende == luhlobo :iriphablikhi mengameli :Mohamed hosni mubarak sishayamtsetfo :liphalamende lelimbacambili tifundza :tingemashumi lamabili nesiphohlongo == bantfu == linani : 80,335,036 Tilwimi : si-Arabhu lukholo :80-90% busulumane,10-20% bukhristu == umlandvo == iGibhithe inemlandvo lomudze wemakhulukhulu eminyaka ekushintjana kwemibuso leminyenti.IGibhithe lelugwadvule kepha-ke yona ayifani naletinye tingwadvule ngoba kuyo kugeleta umfula iNayili lokungumfula lomudze kuyedlula yonkhe emhlabeni[1].loku ngiko lokwaletsa emaGibhithe ekucala kulendzawo ngeminyaka yabo-8000 BC.Nga-BC 3150 faro Menes wahlanganisa imibuso lemibili,wasenyakatfo naseningizimu kwaba ngumbuso munye wemaGibhithe.emva kwekuhlangana kwalemibuso kwalandzela sikhatsi semphucuko lenkhulu.Emagibhithe afundza kubhala,kudvweba.kwakha nalokunye lokunyeti lokwenta lesive sichakate kwedlula letinye.
political-geographic-object;['i-alijeriya'];i-Alijeriya (الجزائر) Live we-Afríka.
political-geographic-object;['indiya', 'india'];INdiya.
political-geographic-object;['intaliyane'];iNtaliyane.
political-geographic-object;['ishile'];iShile, live weMelika.
political-geographic-object;['ébutjwána'];ÉButjwána, iButswana.
political-geographic-object;['imozambikhi', 'mozambiki', 'é-mozambike'];ÉMozambike, iMozambikhi, República de Moçambique (siPutúkezi), íAfríka.
political-geographic-object;['indonesiya'];iNdonesiya (id: Republik Indonesia).
political-geographic-object;['igrikhi'];iGrikhi.
political-geographic-object;['iyukhureni'];iYukhureni.
political-geographic-object;['imekisikho'];iMekisikho (nauatl Mexihco).
political-geographic-object;['i-arimeniya'];iArimeniya (ar: Հայաստան).
political-geographic-object;['i-irakhi'];i-Irakhi (ar: العراق, Al-Irāq).
political-geographic-object;['ikhoriya leseningizimu'];iKhoriya leseNingizimu (ko: 대한민국, Daehanmin(-)guk).
political-geographic-object;['tibuse wedomonokha'];Tibuse weDomonokha.
political-geographic-object;['igambiya'];iGambiya.
political-geographic-object;['igana'];iGana.
political-geographic-object;['inayijeriya'];iNayijeriya (Igbo. Naíjíríà. Fula: Niiseriya. Yoruba: Nàìjíríà. Hausa: Nijeriya).
political-geographic-object;['lugu lwempondvondlovu'];Lugu Lwempondvondlovu (République de Côte d'Ivoire).
political-geographic-object;['inayijari', 'níger'];iNayijari.
political-geographic-object;['igabhoni', 'gabon'];iGabhoni.
political-geographic-object;['tibuse wekhongo'];Tibuse weKhongo.
political-geographic-object;['ikhameruni'];iKhameruni.
political-geographic-object;['iginiya-bhasawu'];iGiniya-Bhasawu.
political-geographic-object;['ifulansi'];iFulansi.
political-geographic-object;['iyalendi'];iYalendi.
political-geographic-object;['imadagasikha'];iMadagasikha.
political-geographic-object;['tihlenge temaldiva'];Tihlenge teMaldiva (Dhivehi: ދިވެހިރާއްޖެ, Dhivehi Raa'je) .
