geographical-object;['sigen'];Ēa sēo flēoweþ þurh norþerne Franclande
information-object;['α'];bōcstæf þǣre Crēciscan stæfrōfe
language;['aþabascanisċ lēodenne', 'athabascanisċ', 'athabascanisċ lēodenne', 'aðabascanisċ', 'aðabascanisċ lēodenne', 'aþabascanisċ'];inlendisċ lēodenne fram Norðamerican
language;['interlingua', 'ia'];cræftlic geþeóde
language;['lettisc sprǣc', 'lv'];Baltisc sprǣc
locative-role;['hloðeringa'];Land on Francum
locative-role;['valparaíso'];burg in Ċile
physical-body;['eorðe', 'eorþe', 'earth', 'eorðan', 'terra', 'world'];Se þridda dweoligenda tungol fram þǣre Sunnan
physical-body;['wōden', 'mercurius', 'ƿōden'];Se forma planēta þǣre sunnlican endebyrdnesse
physical-object;['adesa', 'adesa/ȝƿ'];Wuduweorces handtōl
political-geographic-object;['geāned cynerīce', 'geaned cynerice', 'geānede cynerīce grēatre brytene and norþīrlandes', 'gc', 'geanlæht cynerice', 'geanlǣht cȳnerīce', 'geanlǣhte cȳnedōm', 'geánlǽht cynedóm', 'geánlǽht cyneríce', 'geánlǽht cýnedóm', 'geánlǽhte cýnedóm', 'geānede cynerīce', 'geānlæhte cynerīce', 'geānlǣht cynerīce', 'geānlǣht cynerīce grēatbryttenes and īrlandes', 'geānlǣht cȳnerīce', 'geānlǣhte cynerīce', 'uk', 'united kingdom', 'ȝc', 'ȝeānede cynerīċe', 'ȝeānlǣht cynedōm', 'ȝeānlǣht cynerīce'];Cȳnerīce ofer norþenam Europan
political-geographic-object;['ecuador', 'ec', 'ecu'];Is land on Sūðamerican
political-geographic-object;['þrines and tobāgo'];rīce of tƿǣm īeglandum in þǣm Caribisċan Sǣ
political-geographic-object;['īsland', 'island', 'iceland', 'ísland', 'īslandes'];īġrīce ofer norþenam Europan
political-geographic-object;['cænugeard', 'kiev', 'kyiv'];Ucrægnan hēafodstōl
political-geographic-object;['valparaíso'];burg in Ċile
socially-constructed-person;['ēadƿeard vii'];Geānede Cynerīċes Grēatre Brytene and Īrlande cyning, Indeas Cāsera (1901–1910)
socially-constructed-person;['mohandas karamchand gandhi'];Indian political and religious leader
socially-constructed-person;['elisabeþ ii'];Cƿēne ofer sixtīene selfƿealdendu rīcum, noðylǣs in þǣm Geānedan Cynerīce
temporal-region;['1 mǣdmōnaþ', '1. mǣdmōnðes'];Dæȝ
temporal-region;['1 blōtmōnaþ', '1. blōtmōnðes', '1a dæȝ blōtmōnaðes/ȝƿ'];Dæȝ
temporal-region;['gēolmōnaþ', 'december', 'géolmónaþ', 'midwintermónaþ', 'ærra geola', 'ǽrra géola', 'ȝēolmōnaþ'];tƿelfta and endemesta mōnaþ þæs gēares
temporal-region;['gēolmōnaþ', 'december', 'géolmónaþ', 'midwintermónaþ', 'ærra geola', 'ǽrra géola', 'ȝēolmōnaþ'];tƿelfta and endemesta mōnaþ þæs gēares
temporal-region;['þrimilce', 'þrimilcemonað', 'thrimilci', 'þrimilcemónaþ', 'þrimilcemōnaþ'];Þæs geares fifta monaþ
temporal-region;['haligmonað', 'hærfestmōnaþ', 'hāliġmōnaþ', 'haligmónað', 'háligmónaþ', 'hærfestmónaþ', 'hāligmōnaþ', 'hāliȝmōnaþ', 'hāliȝmōnaþ/gw'];Þæs geares nigoþa monaþ
temporal-region;['solmonaþ', 'solmonath', 'solmonað', 'solmónað', 'solmónaþ', 'solmōnaþ', 'solmōnaþ/ȝƿ'];Þæs geares oþer monaþ
temporal-region;['weodmonað', 'weodmónað', 'wéodmónaþ', 'wēodmōnaþ', 'ƿēodmōnaþ'];Þæs geares eahtoþa monaþ
temporal-region;['mædmonað', 'se æfterra līþa', 'mædmónaþ', 'mǣdmōnaþ', 'mǽdmónaþ', 'æfterra liþa'];Þæs geares seofaþa monaþ
temporal-region;['searmonað', 'se ǣrra līþa', 'midsumermónaþ', 'midsumermōnaþ', 'séremónaþ', 'sēremōnaþ', 'sēremōnaþ/ȝƿ', 'ærra liþa'];Þæs geares siexta monaþ
temporal-region;['blōtmōnaþ', 'blotmonað', 'blotmonath', 'blotmonaþ', 'blotmónað', 'blódmónaþ', 'blótmónaþ'];endleofeðane mōnaþ þæs gēares
temporal-region;['winterfylleþ', 'winterfylleth', 'ƿinterfylleþ'];tēoða mōnaþ þæs gēares
temporal-region;['6 æfterra ȝēola', '6. æfterran gēolan', '6 æfterra géola', '6 æfterra gēola', '6a dæȝ æfterran ȝēolan/ȝƿ'];Dæȝ
