agentive-physical-object;['oberžina', 'aubergina', 'solanum melongena'];Družyna z wědomnostnym mjenim "Solanum melongena"
amount-of-matter;['wino'];Alkoholiski napoj z winowych jagodow
functional-matter;['wino'];Alkoholiski napoj z winowych jagodow
language;['bulgaŕska rěc', 'bulgarska rěc', 'bulgaršćina', 'bulgaŕšćina'];słowjanska rěc
physical-object;['kral'];Šachowa figura
political-geographic-object;['šwicaŕska', 'šwicojska', 'ch', 'šwicarska'];kraj w srjejźnej Europje
political-geographic-object;['guineja'];Stat w Africe
political-geographic-object;['indiska'];stat w pódpołdnjowej Aziji
political-geographic-object;['guineja-bissau'];Stat w Africe
political-geographic-object;['kijew', 'київ'];Stolica Ukrainy
political-geographic-object;['ottawa'];Głowne město Kanady
socially-constructed-person;['sierra leone'];Stat w Africe
socially-constructed-person;['źowćo', 'gólica'];Młody žeński luź
socially-constructed-person;['wladimir iljič lenin', 'lenin', 'wladimir iljič uljanow'];Rusojski politikaŕ, nawjedowaŕ oktoberskeje rewolucije
spatial-feature;['himalaja'];Smuga górow w Aziji
temporal-region;['2. februara'];Datum
temporal-region;['29. junija'];Datum
temporal-region;['2. měrca', '2. pózymskego'];Datum
