abstract-region;['रेखण उत्पन्न'];द्वे आकृतिचित्रणे गणितक्रिया।
activity;['मिक्सिकन् क्रान्ति'];मेक्सिको नगरे संजात मुक्याक्क्ऱाआण्टी
activity;['वर्षाऋतुः', 'rainy season', 'varsha ritu', 'वर्षाऋतु'];Rainy season
activity;['भूचुम्बकत्व चण्डवात'];पृथ्व्यां अल्पकालिक ग्रहद्वारेण कृत आघातः
activity;['प्रशिक्षण'];प्राप्ति युष्म अनुप्रमा गुण तु योग्यता परिणाम युष्म बोधन
activity;['जवा युद्धम्'];युद्ध श्रृङ्खलीं वंशवाहि
activity;['रषन्', 'पनस'];उपधन् प्रिथिपुरुष्
agentive-physical-object;['अङ्वान्टिबो'];मॅमल् प्राणिनाम् गीनस
agentive-physical-object;['लुग्गा उद्रक्तापिट'];जाति ओफ़् वनस्पति,उद्रक्तापीट
agentive-physical-object;['षेआघृआष्षेष्'];ग्रोउप् ओफ़् प्लन्त्स , विथ् थे समे हबित
agentive-physical-object;['वल्लब्य्'];समान नामन् हैम अल्प अथवा मध्यम मक्रोपोद्स् अधिगत अन्तः औस्त्रलिअ तु नेव् गुइनेअ
agentive-physical-object;['मुद्स्किप्पेर्'];येक विध मत्स्यह
agentive-physical-object;['उद्र'];चतुष्पदस्य उपवंशः
agentive-physical-object;['रुबिअ कोर्दिफ़्ओलिअ', 'rubia cordifolia'];कोफ़्फ़्ए व्रुक्षे जातह एकह वनस्पति
agentive-physical-object;['कोलोबिने', 'लंगूर्'];स्तनधारियों की उपप्रजातिः
agentive-physical-object;['स्लेंडर लोरिस', 'loris'];स्तनपायिजन्तुः
agentive-physical-object;['त्रिचोप्तेर'];जन्थुनम् निर्देष
agentive-physical-object;['मचस्य्यसकुलम्', 'चित्रपतङ्गमत्स्य का कुटुम्ब'];कुटुम्ब दूरे मत्स्याः
agentive-physical-object;['मयूरः', 'मयूर'];PEACOCK
agentive-physical-object;['यूक'];नियुक्ति आस्य जन्तु
amount-of-matter;['दिक्तुल्य भरग', 'मधुका', 'विदेष मधुका', 'स्प्र्हित', 'स्फारित', 'हरिताल मधुका'];तत्आलेख्यलेख्या भरग समुथ्य दिक्थुल्य: |
amount-of-matter;['मद्य', 'सुरापान'];सुप्रतिभा,स्वादित,सुरस च गौड
biological-object;['गुल', 'भगाङ्कुर', 'योनिलिङ्ग', 'विश्वेदेवृ', 'स्मरच्छत्त्र'];स्त्री मिथुन इन्द्रिय
biological-object;['लुग्गा उद्रक्तापिट'];जाति ओफ़् वनस्पति,उद्रक्तापीट
causal-role;['अन्टासिद्'];रसायशास्र का बीज
functional-matter;['लुग्गा उद्रक्तापिट'];जाति ओफ़् वनस्पति,उद्रक्तापीट
functional-matter;['प्रतिजन:', 'एंटीबॉडी निर्माता'];संरचनात्मक पदार्थ: यत् एका अनुकुली प्रतिरक्षा प्रतिक्रियया: रिसेप्टसार्थं एकस्य लक्ष्यस्य रूपेण कर्यम् करोति
functional-matter;['गस्त्रिक् महामल्', 'रोचन महमल्'];वारि मात नूनम् रोचन
functional-matter;['दिक्तुल्य भरग', 'मधुका', 'विदेष मधुका', 'स्प्र्हित', 'स्फारित', 'हरिताल मधुका'];तत्आलेख्यलेख्या भरग समुथ्य दिक्थुल्य: |
functional-matter;['मद्य', 'सुरापान'];सुप्रतिभा,स्वादित,सुरस च गौड
geographical-object;['सङ्कीर्ण जल'];दीर्घ, सङ्कीर्ण जल च भृगु, हिमसंहति कारणात् कन्दर: भवति
geographical-object;['सैंट लारेन्स् नदी'];उत्त्तर अमेरिकायाम् एक महती नदी
information-realization;['भगवद्गीता', 'श्रीमद्भगवद्गीता', 'गीतोपदेशः', 'गीतोपनिषत्', 'ब्रह्मविद्या', 'मोक्षशास्त्रम्', 'bhagavad gita', 'गीता', 'भगवद गीता', 'श्रीमद्भवद्गीता'];भारतस्य प्रमुखं प्रेरणाग्रन्थः
language;['संस्कृतम्', 'संस्कृत', 'देवभाषा', 'संस्कृता वाक्', 'samskrutha', 'sanskrit', 'sanskrit language', 'sanskrita bhasha mahatva', 'संस्कृत भाषा', 'संस्कृतभाषा', 'संस्\u200dकृत', 'संस्\u200dकृतं', 'संस्\u200dकृतम्'];Lala lajpatrai
language;['जिओदेलिक् भाषाया'];भाषायाय कुतुम्ब
locative-role;['क्योतोनगरम्'];जापानराष्ट्रे स्थितमेकं नगरम्
locative-role;['उपरिकेन्द्र:'];धराया: उपरि एक: बिन्दु: यत् भूकम्पन समये हायेपोसेंटर फोकसेन वा सह साक्षात् उपरि असति
non-agentive-physical-object;['अन्दिका'];भोजन पाकम् स्थानः अस्ति
