abstract-region;['스칼라', '스칼라 물리량', '스칼라량', '스칼라물리량'];크기만 있고 방향은 없는 1차원적인 물리량
activity;['루도: 인생 게임'];2020년 영화
activity;['이메일', '전자우편', '전자메일', '전자 메일', '.eml', 'e-mail', 'e메일', '받은 편지함', '받은편지함', '보낸 편지함', '보낸편지함', '인터네트우편', '인터넷우편', '전자 사서함', '전자사서함', '인터넷 메일'];#전자우편.
activity;['생산', '산출'];재화나 용역을 만들어내는 행위
activity;['와트 타일러의 난', '와트 타일러 난', '와트 테일러의 난', '농민의 반란', '대 반란'];1381년 잉글랜드의 민란
activity;['소송', '재판', '법적 분쟁', '판례', '판례법', '피소', '소', 'causa', '고소했다', '사전 평가', '소송을', '원인이 시스템에', '인과'];영미법 상에서 법원에서 다투는 양 당사자 간의 분쟁
activity;['사이클론', '저기압성 순환', '저기압', '소용돌이'];특정지역에서 발생하는 열대저기압을 부르는 말
activity;['바카라', 'chemin 드 남았다'];카드 게임
activity;['견진성사', '견신례', '견진', '견진 성사', '견진 예식', '견진예식', '확인'];믿음을 굳건히 하는 가톨릭, 성공회, 정교회, 일부 개신교 교회들의 성사
activity;['영성체', '성찬', '성체', '성만찬', '성찬 예배', '성찬례', '성찬식', '성찬예배', '성체 성사', '성체성사', '성체성혈성사', '주의 만찬', '배찬', '배찬회원', '성체 배령', '성체배령', 'eucharistic', 'eucharistic 예배 식', '거룩한 성사', '거룩한 성찬', '성찬의 성사', '주님의 만찬'];기독교의 성례전(또는 성사)중 하나
activity;['이란-이라크 전쟁', '이라크·이란 전쟁', '이란-이라크전쟁', '이란 이라크 전쟁', '이란이라크 전쟁', '이란 - 이라크 전쟁'];1980~1988년 이라크와 이란 사이에 벌어진 전쟁
activity;['전통적으로 움직이는 영화', '그림영화', '만화영화', '만화', '만화 영화', '애니메이션 영화', '애니메이션 짧은', '애니메이션 코미디', '인도 마호가니'];영화 장르 중 하나, 말 그대로 움직이는 만화(動畵)
activity;['축구', '아식축구', '퍼스트 터치', '핸드볼', '핸들링', '협회 축구', '풋볼'];공을 발로 차거나 머리로 받아 상대방의 골대에 공을 넣기 위해 경쟁하는 스포츠
activity;['영화', '영화 작품', '영화계', '활동 사진', '활동사진', '모션 사진', '모션 사진 쇼', '사진을 이동', '연극 영화', '이동 - 사진 쇼', '주요 모션 사진', '주요 모션 사진을', '화전'];순간을 기록한 장면을 연속적으로 촬영하여 기록한 동영상을 같이 기록한 음성과 함께 편집하여 어떤 내용을 전달하게끔 꾸며서 만든 영상물
activity;['브레이크댄스', '브레이크 댄스', '브레이크 댄싱', '브레이크댄싱', '브레이킹 댄스', '브레이킹댄스', '비보잉', 'b-boying', 'breakdancing', '브레이크 댄서', '브레이크 댄서이었다', '춤을 깰', '춤을하다'];1970~80년대부터 전해 내려오는 미국의 힙합 댄스를 특징짓는 춤의 일종이다.
activity;['골프', '골퍼', '골프 선수', '골프 게임'];플레이어가 최소한의 샷으로 클럽에서 공을 치는 것을 목표로 하는 스포츠
activity;['탁구', '테이블 테니스', '탁구 선수', '탁구공', '테이블테니스'];탁구채로 탁구공을 치는 형식이다.
activity;['시민 불복종', '시민불복종', '시민 적 불복종'];국제적 압력이나 정부의 법령, 주장 등을 따르는 것을 거부하는 행위
activity;['전투', '전쟁', '교전'];전쟁 상태에서 각 무장 단체가 무력을 동원하여 싸우는 행위
activity;['성교', '교미', '성행위', '섹스', '육체 관계', '육체적 관계', '떡치기', '빠구리', '속잔치', '쌍붙이', '질삽입 성교', '짝짓기', '흘레', '관계', '방사', '상관', '씹', '육교', 'coition', '성관계', '성적 관계', '성적 관계를', '성적 활동에', '섹스 행위', '육체적 지식', '질 섹스'];두 사람 이상이 성적인 관계를 가지는 행위
activity;['소송', '재판', '법적 분쟁', '판례', '판례법', '피소', '소', 'causa', '고소했다', '사전 평가', '소송을', '원인이 시스템에', '인과'];영미법 상에서 법원에서 다투는 양 당사자 간의 분쟁
activity;['tv 쇼', 'tv 프로그램', 'tv프로그램', '텔레비전 프로그램', '텔레비 프로그램', 'tv 시리즈', 'tv 프로', 'tv프로', '텔레비젼 프로그램', 'tv시리즈', '티비 프로그램', '테레비 프로그램', '텔레비전 쇼', '텔레비전 시리즈', '텔레비전쇼', '텔레비전시리즈', '텔레비전프로', '텔레비전프로그램'];텔레비전 프로그램을 모으는 분류
activity;['뉴스 프로그램', '뉴스 쇼', '기사', '뉴우스', '뉴스쇼', '뉴스프로그램', '보도 프로그램', '보도프로그램', 'tv 뉴스'];정기적으로 소식을 전하는 방송되는 라디오나 텔레비젼 프로그램
activity;['도돌이표', '다시 실행', '반복을', '재 상영'];다시 볼 수 있는 방송 프로그램.
activity;['버라이어티 쇼', '노래춤묶음', '버라이어티 프로그램', '버라이어티쇼', '버라이어티', '연예 프로그램', '연예프로그램', '예능 프로그램', '예능프로', '예능프로그램', '오락 프로그램', '오락프로그램', '다양한 쇼', '다양한 프로그램입니다'];다양한 음악, 오락, 희극을 텔레비전 프로그램의 장르.
activity;['동화', '전래동화'];사람들 사이에서 전해져 내려온 이야기
activity;['한국 전쟁', '6.25 전쟁', '6·25 전쟁', '조국해방전쟁', '한국전쟁', '6.25', '6.25 남북 전쟁', '6.25 남침', '6.25 남침전쟁', '6.25 동란', '6.25남북전쟁', '6.25동란', '6.25전쟁', '6.25한국전쟁', '625 동란', '625 전쟁', '625동란', '625전쟁', '6 · 25 전쟁', '6·25 동란', '6·25 한국 전쟁', '6·25남북전쟁', '6·25전쟁', '6․25 전쟁', '6․25전쟁', '6∙25 전쟁', '6ㆍ25 전쟁', '6ㆍ25전쟁', '9·28 수복', '육이오', '육이오 동란', '육이오 전쟁', '육이오동란', '육이오전쟁', '조국 해방 전쟁', '조국 해방전쟁', '조국해방 전쟁', '조선 전쟁', '조선전쟁', '한국 남북 전쟁', '한국 내전', '한국내전', '한국동란', '항미 원조 전쟁', '항미원조', '항미원조 전쟁', '항미원조전쟁'];1950년~1953년 한반도에서 벌어진 전쟁
activity;['제2차 세계 대전', '제이차 세계 대전', '2차 대전', '2차 세계 대전', '2차 세계대전', '2차대전', '이차 세계 대전', '이차 세계대전', '이차대전', '제2차 세계대전', '월드 워2', '월드워2', '이차 대전', '2차세계대전', 'ww2', 'wwii', '세계2차대전', '세계 2차 대전', '세계 2차 전쟁', '세계 2차대전', '세계 제2차 대전', '세계이차대전', '제2차 대전', '제2차 세계 대전 발발 원인', '제2차대전', '제2차세계대전', '제 2 차 세계 대전', '제 2차 세계 대전', '제 2차 세계대전', '제이 차 세계 대전', '제이차 세계대전', '제이차세계대전', '2 차 세계 대전', '세계 대전 ii', '차 세계 대전'];1939년부터 1945년 사이 연합국과 주축국 사이에 벌어진 전쟁
activity;['전쟁을 끝내기 위한 전쟁', '제1차 세계 대전', '1차 세계 대전', '1차대전', '1차 대전', '1차 세계대전', '1차세계대전', 'ww1', 'wwi', '모든 전쟁을 끝내기 위한 전쟁', '세계1차대전', '세계 1차 대전', '세계 1차대전', '세계 제1차 대전', '세계일차대전', '일차 대전', '일차 세계 대전', '일차 세계대전', '제1차 대전', '제1차 세계대전', '제1차대전', '제1차세계대전', '제 1차 세계 대전', '제 1차 세계대전', '제 1차세계대전', '제일 차 세계 대전', '제일차 세계 대전', '제일차 세계대전', '제일차세계대전', '대전', '세계 대전', '세계 대전 1', '전쟁을 끝낼 전쟁', '제 1 차 세계 대전'];1914년 7월 28일부터 1918년 11월 11일까지 일어난 유럽을 중심으로 한 세계 대전
