activity;['diêng-cṳ̄-piĕ', 'diêng-piĕ'];Diêng-cṳ̄-piĕ, iâ hô̤ lā̤ diêng-piĕ, sê siŏh cṳ̄ng kĕk só-cê séng-sék lì huák-sáe̤ng hĕ̤k-ciā gău-uâng séng-sék gì huŏng-sék, ék-buăng tŭng-guó hô-lièng-uōng hĕ̤k-ciā gì-tă diêng-nō̤ gì uōng-lŏk lì siā, huák-sáe̤ng gâe̤ng ciék-siŭ.
activity;['ùi-gì'];Ùi-gì sê siŏh cṳ̄ng gì-lôi iù-hié, iù Dṳ̆ng-guók nè̤ng huák-mìng.
activity;['cṳ̆ng-chói'];Cṳ̆ng-chói sê lâng ciáh nè̤ng chói-puòi pâung diŏh chói-puòi gì dâe̤ng-cáuk.
activity;['kă-giù'];Chăng-kō̤ Mìng-dĕ̤ng-ngṳ̄ Háng-cê gì bēng-buōng.
activity;['diêng-īng'];Diêng-īng, iâ hô̤ lā̤ éng-uâ, sê siŏh cṳ̄ng kĕk gă-guóng, liŏh-chiông-dái hĕ̤k-ciā sók-cê muòi-tā̤ ciŏng īng-chiông gâe̤ng siăng-ĭng hăk-siŏh-dŏi, gái gă siông âu-gĭ cié-cáuk có̤ siàng gì siŏng-ngiĕk-huá ngiê-sŭk.
activity;['guók-cié chiông-gì', 'să̤-iòng-gì'];Chăng-kō̤ Mìng-dĕ̤ng-ngṳ̄ Háng-cê gì bāng-buōng.
activity;['lài-giù', 'làng-giù'];Chăng-kō̤ Mìng-dĕ̤ng-ngṳ̄ Háng-cê gì bāng-buōng.
activity;['pĭng-pŏng-giù', 'dó̤h-giù'];Chăng-kō̤ Mìng-dĕ̤ng-ngṳ̄ Háng-cê gì bāng-buōng.
activity;['séng-gău'];Chăng-kō̤ Mìng-dĕ̤ng-ngṳ̄ Háng-cê gì bāng-buōng.
activity;['ké̤ṳk-siăh'];Chăng-kō̤ Mìng-dĕ̤ng-ngṳ̄ Háng-cê gì bāng-buōng.
activity;['hàng ciéng', 'dièu-siēng ciéng-cĕng'];Hàng Ciéng, iâ hô̤ lā̤ Dièu-siēng Ciéng-cĕng, sê Dièu-siēng Buáng-dō̤ găk 1950 nièng gáu 1953 nièng huák-sĕng gì nô̤i-ciéng.
activity;['dâ̤-nê-ché̤ṳ sié-gái dâi-ciéng', 'dâ̤ 2 ché̤ṳ sié-gái dâi-ciéng', 'nê ciéng'];Dâ̤-nê-ché̤ṳ Sié-gái Dâi-ciéng, iâ hô̤ lā̤ Nê Ciéng, sê 20 sié-gī chĕ̤-gĭ gì sèng-âu huák-sĕng gì siŏh huòi sié-gái dâi-ciéng, sié-gái gà̤-dēng duâi-buô-hông guók-gă dŭ guóng diē ciā ciéng-cĕng diē-sié kó̤, gì-dṳ̆ng bău-guák Dṳ̆ng-guók.
activity;['dâ̤-ék-ché̤ṳ sié-gái dâi-ciéng', 'dâ̤ 1 ché̤ṳ sié-gái dâi-ciéng'];Dâ̤-ék-ché̤ṳ Sié-gái Dâi-ciéng iâ hô̤ lā̤ Ék Ciéng, sê 19 sié-gī muăk-gĭ gáu 20 sié-gī chĕ̤-gĭ huák-sĕng gì siŏh huòi sié-gái dâi-ciéng.
activity;['gáu-ṳ̆k'];Gáu-ṳ̆k sê cī ék-chiék gái-siêu ìng-lôi ùng-mìng sìng-guō gì uăk-dông.
activity;['páuk-káik', 'póker'];Páuk-káik sê siŏh cṳ̄ng bà̤ lôi iù-hié.
activity;['mà-chiók'];Mà-chiók sê Dṳ̆ng-guók-nè̤ng huák-mìng gì siŏh cṳ̄ng gì-bà̤ iù-hié.
activity;['x siâ-siáng'];X siâ-siáng iâ hô̤ lā̤ X guŏng hĕ̤k-ciā Röntgen siâ-siáng, sê siŏh cṳ̄ng pŏ̤-diòng găk 0.01 năk-mī gáu 10 năk-mī cĭ găng gì siâ-siáng.
activity;['suók'];Dâung-suók sê siŏh cṳ̄ng cê̤ṳ-iòng hiêng-chiông.
activity;['punk ièu-gūng', 'punk ĭng-ngŏk'];Chăng-kō̤ Mìng-dĕ̤ng-ngṳ̄ Háng-cê gì bāng-buōng.
activity;['áe̤h'];Áe̤h hĕ̤k-ciā tó, sê ôi diòng diē-sié siăh gì nó̤h ĭng-ôi giòng-lĭk cék-ák, gĭng-guó sĭk-dô̤ téng chói diē-sié tó chók lì gì dông-cáuk.
activity;['sā̤-tŏng'];Sā̤-tŏng sê cī sāi cūi ciŏng cê-gă gì sĭng-tā̤ có̤ táh-gáik gì siŏh cṳ̄ng hèng-ùi.
activity;['bĭ-bĭ-hiōng'];Chăng-kō̤ Mìng-dĕ̤ng-ngṳ̄ Háng-cê gì bāng-buōng.
activity;['sĕk gái', 'sĕk-gái'];Sĕk Gái sê Séng-gĭng diē-sié sū gé-cái gì cŭng-gáu gâe̤ng dô̤-dáik gì dèu-mĕ̤k, sê Siông-dá̤ găk Să̤-nâi-săng dīng dó̤i Mò̤-să̤ gì gái-mêng.
activity;['dông-uâ'];Chăng-kō̤ Mìng-dĕ̤ng-ngṳ̄ Háng-cê gì bāng-buōng.
activity;['dà'];Dà sê siŏh cṳ̄ng sāi dà-niŏh páu gì īng-lâiu.
activity;['gáu-ṳ̆k'];Gáu-ṳ̆k sê cī ék-chiék gái-siêu ìng-lôi ùng-mìng sìng-guō gì uăk-dông.
activity;['ciéng-cĕng'];Ciéng-cĕng sê siŏh cṳ̄ng ī céng-dê ùi mŭk-dék gì ū-ciŏng dâu-cĕng.
activity;['ṳ̄'];Dâung ṳ̄ sê siŏh cṳ̄ng cê̤ṳ-iòng gì gáung-cūi hiêng-chiông.
agentive-figure;['ngṳ̀ng-hòng', '銀行', '银行'];Ngṳ̀ng-hòng sê kĕk còng-kuāng, dái-kuāng, huôi-kuāng gâe̤ng cṳ̆-sé̤ṳk có̤ ngiĕk-ô, sìng-dăng séng-ê̤ṳng dṳ̆ng-gái gì gĭng-ṳ̀ng gĭ-gáiu.
agentive-figure;['éu-dê-huòng'];Éu-dê-huòng iâ hô̤ lā̤ táuk-ī-sū, sê ciŏng-muòng gáu-ṳ̆k 2 huói gáu 6 huói cĭ găng niè-giāng gì siŏh cṳ̄ng gáu-ṳ̆k gĭ-gáiu.
agentive-figure;['siēu-hŏk'];Siēu-hŏk sê hiêng-dâi siâ-huôi dâi-dŏng siŏh ciáh nè̤ng có̤i cā ciék-sêu ciáng-giĕ gáu-ṳ̆k gì dê-huŏng.
agentive-figure;['ĭng-lièng-băng'];Chăng-kō̤ Mìng-dĕ̤ng-ngṳ̄ Háng-cê gì bāng-buōng.
agentive-figure;['ĕu-ciŭ lièng-mèng', '🇪🇺', 'ĕu-mèng'];Ĕu-ciŭ Lièng-mèng, gāng-chĭng Ĕu-mèng, sê áng 1993 nièng gì Maastricht Dèu-iók sìng-lĭk gì siŏh ciáh céng-dê gĭng-cá̤ lièng-mèng.
agentive-figure;['lièng-hăk-guók'];Lièng-hăk-guók sê siŏh ciáh iù iā sâ̤ ciō-guòng guók-gă cŭ siàng gì guók-cié cŭ-cék, ciā cŭ-cék mŭk-dék sê ché̤ṳk-céng gáuk ciáh guók-gă găk guók-cié-huăk, guók-cié ăng-ciòng, gĭng-cá̤ huák-diēng, siâ-huôi céng-buô, ìng-guòng, gŭng-mìng cê̤ṳ-iù, céng-dê cê̤ṳ-iù, mìng-ciō gâe̤ng sĭk-hiêng sié-gái huò-bìng.
