agentive-figure;['uniaun europeia', '🇪🇺'];Uniaun Europeia (UE) - naran uluk Komunidade Ekonómika Europeia ka Komunidade Europeia - organizasaun internasionál konstituida atualmente hosi Estadu-Membru sira 28, estabelesida dahuluk iha 1957.
agentive-physical-object;['fuik'];Fuik - balada nebe moris iha ai laran
agentive-physical-object;['fuik'];Fuik - balada nebe moris iha ai laran
agentive-physical-object;['mamíferu', 'mammalia'];Balada ho susun nebe fo susu bem ba sira nia oan atu sai boot no hetan kbiit.Iha Timór-Leste ita bele hetan mamíferu barak liu.
agentive-physical-object;['ai-kameli'];Ai-kameli iha ai kuda iha illa Timór ho Sumba.
agentive-physical-object;['marsupiál', 'marsupial'];Balada ne'ebé kaer sira-nia oan iha kohe ida to'o sira-nia oan bele moris mesak.
geographical-object;['taiwán'];Taiwán maka rai Ázia nian.
geographical-object;['nusar faroé'];Nusar Faroé maka parte Dinamarka.
geographical-object;['oseánia'];Oseánia mak sai kontinente.
geographical-object;['antártida'];Antártida mak sai kontinente.
geographical-object;['amérika'];Amérika ne'e kontinente ida.
information-realization;['konstituisaun', 'lei-inan'];Konstituisaun — liafuan alternativu Lei-Inan.
information-realization;['la marseillaise'];La Marseillaise mak sai inu nasionál ba Fransa.
information-realization;['bíblia'];Bíblia (iha lia indonezia: Alkitab) – ne'e kolesaun testu relijiozu sira nian husi Judaizmu no Kristianizmu no livru publikadu liu hotu iha mundu.
language;['lia-oksitanu'];Lia-oksitanu (oksitaun: occitan) mak sai lian indo-europeia, lian ofisial ba Kataluña (España).
language;['lia-finlandees'];Lia-finlandees (suomi ka suomen kieli) língua oficial de Finlándia.
language;['lia-úngaru'];Lia-úngaru ne'e lian nasionál no ko-ofisiál Ungria'e nian.
language;['urdu'];Urdu is de namme fan ien fan 'e talen dy't yn Súd-Aazje sprutsen wurde.
language;['lia-español', 'españól', 'lia-españól'];Lia-español (idioma español) mak sai lian indo-europeia, lian ofisial ba España.
language;['lia-polaku', 'polaku'];Lia-polaku (język polski) é uma língua indo-europeia, língua oficial de Polónia.
language;['lia-rusu', 'rusu'];Lia-rusu (русский язык [russkiy yazyk]) ne'e lian ida husi família linguístika indo-europeia.
language;['lia-alemaun', 'german language'];Lia-alemaun (deutsche Sprache) ne'e lian ida husi família linguístika indo-europeia.
locative-role;['edirne'];Edirne, ne'e sai sidade ida iha Turkia.
locative-role;['ho chi minh city'];Ho Chi Minh City (Saigon) - sidade iha sudeste Vietname nian.
locative-role;['vroklave'];Vroklave (iha polaku: Wrocław, alemaun: Breslau) mak sai sidade iha Polónia.
locative-role;['gdańsk', 'danzig'];Gdańsk (alemaun: Danzig) mak sai sidade iha Polónia.
locative-role;['mónaku'];Mónaku maka rai Europa nian.
locative-role;['frankfurt'];Frankfurt ne'e sidade ida iha Alemaña.
locative-role;['sérvia'];Sérvia maka rai Europa nian.
locative-role;['łódź'];Łódź (Lodz) mak sai sidade iha Polónia.
locative-role;['andaluzia'];Andaluzia (iha españól Andalucía) maka komunidade autónoma España nian.
locative-role;['lituánia', 'lituânia'];Lituánia (iha lituanu: Lietuva) maka rai Europa nian.
locative-role;['saragosa', 'zaragoza'];Saragosa ne'e sidade kapitál Aragaun nian no provínsia Saragosa nian.
locative-role;['krakóvia'];Krakóvia (iha polaku: Kraków, alemaun: Krakau) mak sai sidade iha Polónia.
locative-role;['saun paulu', 'sâo paulo'];Saun Paulo mak sai sidade inan ba Brazíl.
locative-role;['konsellu'];Konselllu (naran ne'ebé uza uluk iha otas koloniál portugés) ne'e nia signifikadu hanesan munisípiu (naran ne'ebé UNTAET uza) no atu hanesan munisípiu.
locative-role;['chicago'];Chicago (iha lia-inglés: Chicago) ne'e sidade ida iha Estadu Naklibur Sira Amérika Nian, Illinois.
locative-role;['gales'];Gales maka parte Reinu Naklibur.
locative-role;['munike', 'munich', 'münchen'];Munike (iha alemaun: München) mak sai sidade inan ba Baviera Leten, inan ba Alemaña.
locative-role;['milano'];Milano ne'e sidade ba Itália.
locative-role;['palermo'];Palermo ne'e sidade ida iha Itália (Provínsia Palermo/Sicilia).
locative-role;['valparaíso'];Valparaíso ne'e sidade Xile.
locative-role;['rio de janeiru', 'rio de janeiro'];Riu de Janeiru - mak sai sidade kapitál estadu Riu de Janeiru nian, iha Brazíl.
locative-role;['istanbul'];Istanbul (Lia-turku: İstanbul), mak sai sidade prinsipál ba Turkia.
locative-role;['detroit'];Detroit (iha lia-inglés: Detroit) ne'e sidade ida iha Estadu Naklibur Sira Amérika Nian, Michigan.
method;['sistema parlamentar'];Iha polítika, sistema parlamentar (lian-portugés: sistema parlamentarista. Bahasa Indonesia: sistem parlementer) ne'e forma governu nian.
phenomenon;['omoseksualidade'];Omoseksualidade refere ba karaterístika, kondisaun no kualidade naran entidade moris nian ida-ne'ebé sente atrasaun fíziku, estétiku no/ka emosionál ba entidade moris seluk ho seksu ka jéneru hanesan.
physical-body;['rai'];Rai planeta datoluk Sistema Solár nian banati-tuir ninian kdook hosi Loro, no nia dalimak banati-tuir ninian tamañu.
physical-object;['louvre'];Louvre (Musée du Louvre) muzeu ida iha Palais du Louvre (lai kadunan liurai fransés nian), París.
physical-object;['internet'];Internet signifika katak Interconection Networking mak hanesan Sistema Globalizasaun husu redes komputador hotu-hotu ne’ebe mak koneksaun ba malu liu husi standar Internet mak Protocol suite hodi ajuda ema millões ba millões iha mundo ne’e.
political-geographic-object;['roménia'];Roménia (iha romenu: România) maka rai Europa nian.
political-geographic-object;['edirne'];Edirne, ne'e sai sidade ida iha Turkia.
political-geographic-object;['ho chi minh city'];Ho Chi Minh City (Saigon) - sidade iha sudeste Vietname nian.
political-geographic-object;['vroklave'];Vroklave (iha polaku: Wrocław, alemaun: Breslau) mak sai sidade iha Polónia.
political-geographic-object;['gdańsk', 'danzig'];Gdańsk (alemaun: Danzig) mak sai sidade iha Polónia.
political-geographic-object;['koreia norte'];Koreia Norte maka rai Ázia nian.
political-geographic-object;['noruega', 'noreg', 'norge'];Noruega (iha noruegés: Norge) maka rai Europa nian.
political-geographic-object;['olanda'];Olada rai Europa nian.
political-geographic-object;['japaun', 'japan'];Japaun maka rai Ázia nian.
political-geographic-object;['mónaku'];Mónaku maka rai Europa nian.
political-geographic-object;['malázia'];Malázia maka rai Ázia niam.
political-geographic-object;['antígua no barbuda'];Antígua no Barbuda maka rai Amérika nian.
political-geographic-object;['belize'];Belize maka rai Amérika nian.
political-geographic-object;['saun kristóvaun no neves'];Saun Kristóvaun no Neves maka rai Amérika nian.
political-geographic-object;['domínika'];Domínika maka rai Amérika nian.
political-geographic-object;['santa lúsia'];Santa Lúsia maka rai Amérika nian.
political-geographic-object;['inglaterra', 'inglatera', 'england'];Inglaterra maka parte Reinu Naklibur nian.
political-geographic-object;['irlanda norte'];Irlanda Norte maka parte Reinu Naklibur.
political-geographic-object;['suisa', 'ch', 'schweiz', 'suiça', 'suíça'];Suisa (iha alemaun: Schweiz, iha fransés: Suisse, italianu: Svizzera) maka rai Europa nian.
political-geographic-object;['emiratu arabi naklibur sira'];Emiratu Arabi Naklibur Sira maka rai Ázia nian.
political-geographic-object;['frankfurt'];Frankfurt ne'e sidade ida iha Alemaña.
