activity;['gera'];Mafana'an gera maseha håfa na klåse dangkolo båggai.
agentive-figure;['militåt', 'militat'];I militåt i patte gi gobietnu nai responsapble nu i proteksion i tano'.
agentive-physical-object;['melon', 'cucumis melo'];Melon palabra henerat.
agentive-physical-object;['kahet'];Kahet.
agentive-physical-object;['pahong'];Pahong.
agentive-physical-object;['melokoton', 'prunus persica'];Melokoton.
agentive-physical-object;['tupu'];Tupu.
agentive-physical-object;['papaya'];Papaya.
agentive-physical-object;['åtes'];Åtes.
amount-of-matter;['hånom', 'h₂o', 'agua', 'hanom'];I sen gasgas na hånom' taya' pao-ña, tanña'-ña, pat kulot-ña.
biological-object;['inasahan'];Inasahan kumekeilek-ña aga' pat maseha håfa na klase måsan fruta ti matife'.
classification-system;['kalendario'];Kalendario un sistema ni ha otganisayi relihion/kometsiat/administrasion ni diha yan fecha siha.
geographical-object;['islas mariånas', 'islas marianas', 'marianas'];I Islas Mariånas un kadena ni manmafa'tinas ginen i puntan 15 na botkan, ya manggaige gi halom i grupon isla siha ni ma'a'agang Micronesia.
geographical-object;['tåsi', 'i tasi', 'tasi'];I Tasi un dangkolo na lugat hånom asiga entre tåno' dangkolo siha.
information-object;["klå'an"];I kuåttro na grupon klå'an: i klå'an hu, i klå'an yu', i klå'an gai iyo, yan i klå'an manemfisisa.
information-realization;['igor stravinsky'];Igor Stravinsky (1882, Saint Petersburg, Russia - 1971, New York City, Estados Unidos), un danderu åtmoniu yan tituge' musika ginen Russia.
language;['lengguahe'];Fino' Chamoru. este na lenguahi gi islas Marianas giya Tasin Pasifiku.
language;['urdu'];Urdu i lengguahen i man pakistan.
language;['españót'];Españót i lengguahen i man españót, i taotao natibu giya España.
locative-role;['kyoto'];Kyoto, nasong-song gi Chapan.
locative-role;['edirne'];Edirne, nasong-song gi Turkey.
locative-role;['ho chi minh', 'ho chi minh city'];Gaige i sengsong Ho Chi Minh City ni Dong Nam Bo giya Vietnam.
locative-role;['pittsburgh'];Pittsburgh, nasong-song gi Estados Unidos.
locative-role;['saint petersburg'];Saint Petersburg, nasong-song gi Russia.
locative-role;['monaco'];Monaco capitat Monaco.
locative-role;['sapporo'];Sapporo, nasong-song gi Chapan.
locative-role;['lituania'];Lituania, capitat Vilnius.
locative-role;['osaka'];Osaka, nasong-song gi Chapan.
locative-role;['rio de janeiro'];Rio de Janeiro, nasong-song gi Brazil.
locative-role;['new york city'];New York City, nasong-song gi Estados Unidos.
locative-role;['philadelphia'];Philadelphia, nasong-song gi Estados Unidos.
political-geographic-object;['kyoto'];Kyoto, nasong-song gi Chapan.
political-geographic-object;['edirne'];Edirne, nasong-song gi Turkey.
political-geographic-object;['ho chi minh', 'ho chi minh city'];Gaige i sengsong Ho Chi Minh City ni Dong Nam Bo giya Vietnam.
political-geographic-object;['pittsburgh'];Pittsburgh, nasong-song gi Estados Unidos.
political-geographic-object;['saint petersburg'];Saint Petersburg, nasong-song gi Russia.
political-geographic-object;['norge'];Norge capitat Oslo
political-geographic-object;['chapan', 'japan'];Chapan i tano' gi kattan Asia ya esta ma'a'gang "Tano' ni Kakahulo i Atdao".
political-geographic-object;['monaco'];Monaco capitat Monaco.
political-geographic-object;['sapporo'];Sapporo, nasong-song gi Chapan.
political-geographic-object;['españa'];España, capitat Madrid.
political-geographic-object;['belgika'];Belgika, i tano' gi Europa capitat Bruselas.
political-geographic-object;['bangladesh'];Bangladesh i tano' gi Asia capitat Dhaka
political-geographic-object;['austria'];Austria, capitat Vienna.
political-geographic-object;['polaki'];Polaki, capitat Warszawa.
political-geographic-object;['vietnam'];Vietnam capitat Hanoi.Guåha 86,103,988 na tataogues na populasion i sengsong nu i senso 2009.
political-geographic-object;['ehiptu'];Ehiptu, capitat El Kairu.
