abstract-quality;['шәхси кемлек'];Мин төшенчәсе, Кемлек, Үзаң, Үзбәяләү һәм Үзбилгеләү төшенчәләре белән бутамагыз.
abstract-region;['тензор', 'tenzor'];Тензор - бер сызыкча фәзаның элементларын икенче сызыкча фәзаның элементларына үзгәртүче сызыкча алгебраның объекты.
abstract-region;['фурье рәте', 'furye räte'];Фурье рәте — τ {\displaystyle \tau } периодлы теләгән f {\displaystyle f} функциясен гармоник тирбәнешләрнең чиксез суммасы - рәте төрендә күрсәтү: f = a 0 2 + ∑ k = 1 + ∞ A k cos ⁡ {\displaystyle f={\frac {a {0}}{2}}+\sum \limits {k=1}^{+\infty }A {k}\cos \left} Әлеге рәт шулай ук болай язылып була: f = ∑ k = − ∞ + ∞ f ^ k e i 2 π k τ x, {\displaystyle f=\sum \limits {k=-\infty }^{+\infty }{\hat {f}} {k}e^{i2\pi {\frac {k}{\tau }}x},} биредә A k {\displaystyle A {k}} — k {\displaystyle k} -нче гармоник тирбәнешнең амплитудасы, 2 π k τ = k ω {\displaystyle 2\pi {\frac {k}{\tau }}=k\omega } — гармоник тирбәнешнең әйләнү ешлыгы, θ k {\displaystyle \theta {k}} — k {\displaystyle k} -нче тирбәнешнең башлангыч фазасы, f ^ k {\displaystyle {\hat {f}} {k}} — k {\displaystyle k} -нче комплекс амплитудаФурье рәте оптикада, дулкыннар теориясендә, санак технологияләрендә, кырның квант теориясендә, медицинада, югары математикада һ.б.
activity;['регби', 'regbi'];Ре́гби
activity;['го'];Го (яп.
activity;['marafon suğışı', 'марафон сугышы'];Marafon suğışı - farsı-grek suğışlarınnan iñ zur bäreleşläreneñ berse, Marafon grek şähäre yanında bulğan.
activity;['халыкара шашка уены'];Файл:Chess d44.png?uselang=fr — менә моны “татарчалаштырып” бирүче булса, тагын берничә мәкалә язып булыр иде.
activity;['качышлы'];Качышлы — татар балалар уены.
activity;['тыркын'];Тыркын — татар балалар уены.
activity;['цирк', 'сыйрк', 'сыйрк әртисе'];Цирк (лат.
activity;['низаг', 'бәрелеш', 'конфликт', 'nizağ'];Аерыла торган теләкләре булган тарафлар башкасы аларга каршы гамәл кылачагын яки кыла икәненә ышанып һәм шул башка тарафка зыян итүче гамәлләргә керешү процессы низаг дип атала.
activity;['футбол', 'аяктубы', 'тубаяк', 'futbol'];Футбо́л
activity;['фильм', 'кино', 'кинофильм'];Фильм
activity;['снукер', 'ыснукир', 'snooker'];Сну́кер
activity;['шахмат', 'шаһмат', 'şaxmat', 'шахматлар'];Ша́хмат — 64 шакмаклы тактада махсус шахмат ташлары белән ике көндәш арасында уйнала торган үзендә сәнгать, фән һәм спорт элементларын сыйдырган логик уен.
activity;['дартс'];Дартс
activity;['санак уены', 'компьютер уены', 'видеоуен'];Санак уены — уен процессын оештыру өчен компьютер программасы, уен буенча партнерлар белән элемтә өчен, яки үзе партнеры сыйфатында чыгыш ясаучы.
activity;['су тубы', 'су полосы', 'судагы поло'];Су тубы (рус.
activity;['баскетбол', 'кәрҗинтубы', 'basketbol'];Баскетбо́л
activity;['бадминтон', 'badminton'];Бадминто́н — спорт төре.
activity;['алкалы хоккей', 'алкалы һоккей', 'шайбалы хоккей', 'alqalı xokkey'];Алкалы яки шайбалы хоккей — махсус боз мәйданчыгында кәшәкәләр һәм алка кулланып уйнала торган командалы спорт уены, хоккей төре.
activity;['бейсбол', 'beysbol'];Бейсбо́л (инг.
activity;['теннис', 'tennis'];Теннис (инг.
activity;['өстәл теннисы'];Өстәл теннисы — популяр спорт уены.
activity;['суга сикерү'];Суга сикерү — спортның су төрләренең берсе.
activity;['җенси якынлык', 'җенси мөнәсәбәт', 'censi yaqınlıq', 'yaqınlıq qılu', 'секс'];Калын язылыш
activity;['фараз', 'фаразлау'];Фараз — фәнни ысулларның куллану юлы белән киләчәкне күзаллау, һәм бу күзаллауның нәтиҗәсе.
activity;['праймериз', 'firqä eçendä aldan tawış birü', 'praymeriz', 'фирка эчендә алдан тавыш бирү'];Праймериз, кайчакта алдан тавыш бирү
activity;['наполеон сугышлары', 'наполеон сугышы'];Наполеон сугышлары — әлеге төшенчә астында гадәттә Наполеон I тарафыннан Аурупа илләре белән үткәрелгән сугышларны атыйлар.
activity;['sitcom'];Ситуацион комедия, яки Нигезләмәләр коме́диясе, шулай ук ситуацио́н коме́дия, вәзгыятьле комедия, яки ситко́м
activity;['дзюдо', 'җүдо'];Дзюдо - Япониядә туган заманча көрәш сәнгате, фәлсәфәгә нигезләнгән һәм коралсыз спорт көрәше.
activity;['гимнастика', 'gimnastika'];Гимнастика — спорт ярышларыннан торган махсус спорт төре.
activity;['әкият', 'äkiät', 'әкиятләр'];Әкият — халык иҗатының борынгы жанрларыннан берсе, могҗизалы һәм маҗаралы вакыйгаларга, шулай ук көнкүрешкә бәйләнешне хәлләргә корылган фантастик әсәр, реаль һәм фантастик алымнар белән сурәтләнгән кешеләр, хайваннар, мифик образлар аша халыкның үткән тормышын, киләчәккә карата хыял һәм омтылышларын чагылдыручы чәчмә халык авыз иҗаты әсәре.
activity;['дәүләт түнтәрелеше', 'däwlät tüntäreleşe'];Дәүләт түнтәрелеше - дәүләттә гамәлдәге эш иткән конституцион һәм хокукый кануннарны бозу белән, гадәттә дәүләт үзәкләрен алганда көч куллану белән хакимият алыштыру.
activity;['әйтенү'];Әйтенү — кош-кортларга, бөҗәкләргә карата яки көнкүрешендәге берәр вакыйгага, шөгыль уңае белән башкарыла торган әсәр.
activity;['balet', 'балет'];Balet, säxnä sänğäteneñ eçtälegen muzıkal-xoreografik sürätlär yärdämendä tawirlağan töre.
activity;['рок-музыка', 'рок', 'rok', 'рок музыкасы'];Рок-му́зыка (англ.
activity;['ватандашлар сугышы', 'гражданнар сугышы', 'азамат сугышы', 'граждан сугышы', 'watandaşlar suğışı'];Бер дәүләт эчендәге, сирәгрәк элек бердәм дәүләтнең өлеше булган ике милли дәүләткә бүленгән оешкан кеше төркемнәре арасында зур маштаблы сугышка ватандашлар сугышы диләр.
activity;['корея сугышы', 'кәрия сугышы', 'korea suğışı', 'koreyä suğışı'];Корея сугышы (tat.lat.
activity;['икенче бөтендөнья сугышы', 'i̇kençe bötendönya suğışı', 'икенче дөнья сугышы'];Икенче дөнья сугышы — ике хәрби-сәяси коалиция арасындагы сугышы.
activity;['беренче бөтендөнья сугышы', 'berençe bötendönya suğışı', 'berençe dönya suğışı', 'i бөтендөнья сугышы', 'беренче дөнья сугышы', 'герман сугышы', 'империалистик сугыш'];Беренче бөтендөнья сугышы — кешелек тарихында иң эре кораллы низагларның берсе.
activity;['испан-америка сугышы'];Испан-америка сугышы (исп.
activity;['кырым сугышы', 'qırım suğışı'];Qırım suğışı yäki Könçığış suğış - 1853-1856 yılda bulğan Rusiä imperiäse häm Britan, Frantsuz, Ğosman imperiäläre, Sardin patşalığınnan torğan Koalitsiä arasında suğış.
activity;['коллаборационизм', 'kollaboratsionism'];Коллаборациони́зм
activity;['мәгариф', 'уку-укыту', 'mäğärif', 'белем бирү'];Мәгариф — оештырылган мәгърифәтчелек эшчәнлеге.
activity;['шовинизм', 'şovinizm', 'шовинист', 'шовинистлар'];Шовинизм (франц.
activity;['спорт', 'sport'];Спорт – ярышлар вакытындагы, ярышларга махсус әзерләнү вакытындагы эшчәнлек һәм шул өлкәдәге мөнәсәбәтләр.
activity;['җиртөрткеләр', 'җир төртеш', 'җир төртмә', 'җир төртүләр'];Җиртөрткеләр - йөз астагы позициядән башкарылган калистеник күнегүдер.
activity;['һөнәр', 'профессия', 'кәсеп', 'hönär'];Һөнәр - махсус өйрәнү программасы буенча уку нәтиҗәсендә үзләштерелгән эшчәнлек белеме.
activity;['täre yawları', 'тәре йөртүчеләр', 'тәре походлары', 'тәре явы', 'тәре яулары', 'хачлы чирүләре'];Täre yawları yä xaçlı yawlar, xaçlı yöreşlär - XI-XV ğasırda bulğan Könbatış Awrupa illäreneñ möselmannarğa qarşı höcümnäre.
activity;['терлекчелек', 'terlekçelek'];Терлечелек — авыл хуҗалыгы хайваннары үрчетү белән шөгельләнүче авыл хуҗалыгы тармагы.
activity;['атчылык', 'atçılıq'];Атчылык — Авыл хуҗалыгында терлекчелекнең атлар үрчетү белән шөгелләнүче бер тармагы.
activity;['рифма'];Ри́фма
activity;['расизм', 'ырыкчылык', 'rasizm'];Расизм — фәнгә каршы концепцияләр җыелмасы.
activity;['инглиз инкыйлабы', 'i̇ngliz inqıylabı', 'i̇ngliz watandaşlar suğışı'];Инглиз инкыйлабы (tat.
activity;['авыр атлетика'];Авыр атлетика — физик көч куллануга нигезләнгән спорт төре.
activity;['бокс', 'boks'];Бокс — спортчыларның, кулларына йомшак перчаткалар киеп, аерым кагыйдәләр буенча, рингта көч сынашуына нигезләнгән спорт төре.
activity;['чирәмдәге хоккей', 'чирәм хоккее', 'чирәмдә хоккей'];Чирәмдәге хоккей — такымлы спорт уены.
activity;['бородино бәрелеше', 'бородино сугышы'];Бородино бәрелеше (француз тарихында — Мәскәү-елгасы янындагы сугыш, фр.
activity;['рентген нурланышы', 'рөнтген нурланышы', 'рентген', 'рентген нурланыш', 'rentgen', 'rentgen nurlanışı', 'röntgen nurlanışı', 'röntgen nurları'];Рөнтге́н нурланышы (tat.lat.
