abstract-region;['極限', 'limit'];極限係話一隻函數嗰自變量靠近嘚某隻特定值嗰時間，函數嗰變化趨勢，好似函數
activity;['電郵', 'e-mail'];電子郵件（英文：E-Mail） 常簡稱電郵，係一種利用電子通信，傳遞信息嗰方法，包得寫、寄、存、取信息。
activity;['圍棋'];圍棋，又寫做圍碁，係一種棋，由兩隻人對弈。
activity;['韻律', 'meter'];韻律（Meter）係西方詩歌裏頭嗰一隻韻文（verse）嗰基本用韻結構。
activity;['凍嘴', '接吻'];凍嘴或接吻一般係話兩隻人嗰嘴唇相互挨嘚嗰動作，也可以係一隻嘴唇挨嘚另一隻人嗰文身任一部位。
activity;['西洋跳棋', 'draughts'];西洋跳棋係款兩隻人玩嗰棋盤遊戲。
activity;['矇矇躲躲'];矇矇躲躲係款細人好作興戲嗰遊戲。
activity;['記錄片', 'documentary film'];記錄片（英語: documentary）係話記錄得、描述得或者研究得現實世界嗰一類電影。
activity;['腳球', 'football'];腳球（football，或者叫 association football、soccer）係一種由兩隊人對抗、進攻嗰一種球類運動。
activity;['電影'];電影就係活動嗰影像，也有人叫佢影戲，箇係一種表演嗰藝術，搦叫賽璐珞嗰膠片、錄影帶，或者係數字媒體共影像同得聲氣收起來，經過末後嗰編輯後完成嗰。
activity;['嘻哈音樂', 'hip hop music'];嘻哈音樂（英文：Hip hop music）係起自美國紐約嗰滴子非洲裔、拉美裔嗰後生嗰音樂風格。
activity;['國際象棋', 'chess', '西洋象棋'];國際象棋，又叫西洋棋，係一種二隻人玩嗰棋類遊戲。
activity;['棋', 'board game', '棋盤遊戲'];棋，又寫做碁，係到棋盤上對戰嗰遊戲，要邏輯、策略、有時憑運氣。
activity;['網球'];網球係指一種隔到球網、用球拍子擊打橡膠做嗰空心球嗰運動。
activity;['韻腳', '韻脚'];韻脚（foot）係話一行韻文（verse）嗰腳。
activity;['性交'];性交（英文：sexual intercourse），一般係指勃起状态嗰阴茎插入阴道、或插入肛门及在里面抽送嗰过程，主要目的係为了令自身获得性快感、繁殖下一代。
activity;['強弱格', 'trochee'];強弱格（Trochee），或揚抑格、長短格，係西方詩歌裡頭嗰一種韻腳形式。
activity;['強弱弱格', 'dactyl'];強弱弱格（dactyl），或長短短格，係西方詩歌裡頭嗰一種韻腳結構形式。
activity;['弱強格', 'iamb'];弱強格（iamb），或抑揚格、短長格係西方詩歌嗰一類詩歌形式。
activity;['弱弱強格', 'anapaest'];弱弱強格（Anapaest）或短短長格，係西方詩歌裡頭嗰一種傳統韻腳結構，佢係由兩隻短音連到一隻長音組成，就像「a - na - paest」樣，箇三隻音裡頭嗰頭兩隻係輕讀、一隻係重讀。
activity;['音樂劇'];音樂劇係綜合音樂、舞蹈、對話嗰一種表演。
activity;['討飯教子'];討飯教子係徛嘚路舷問人家要錢要飯嗰一類人員。
