activity;['espondeu'];un pie compuestu de quatru moras repartias en dos i dos sílabas largas
language;['luenga estónia', 'luenga estonia'];Luenga
language;['luenga alemana', 'alemán', 'lengua alemana'];Luenga
locative-role;['floréncia', 'florencia'];Monicípiu italianu
locative-role;['pisa'];Monicípiu italianu
locative-role;['bretaña'];Rehión aministrativa de Francia
locative-role;['aquitánia', 'aquitània'];Rehión aministrativa de Francia
locative-role;['génova', 'genova', 'génuva'];Monicípiu italianu
locative-role;['milán'];Monicípiu italianu
political-geographic-object;['floréncia', 'florencia'];Monicípiu italianu
political-geographic-object;['pisa'];Monicípiu italianu
political-geographic-object;['génova', 'genova', 'génuva'];Monicípiu italianu
political-geographic-object;['roma'];Monicípiu italianu
political-geographic-object;['kiev'];Capital d''Ucránia, la ciá mas puebrá el país
political-geographic-object;['milán'];Monicípiu italianu
