abstract-region;['ෆූරියර් ශ්\u200dරේණිය', 'ෆෝරියර් ශ්\u200dරේණිය'];ගණිතයේදී, ෆූරියර් ශ්‍රේණිය මගින් ආවර්තිත ශ්‍රිතයක් සරල දෝලන ශ්‍රිත කිහිපයක ඓක්‍යයක් බවට වියෝජනය කරයි.
activity;['ක්\u200dෂුද්\u200dර ජීවීන් රෝපණය', 'ක්ෂුද්\u200dර ජීවීන් රෝපණය කිරීම'];ක්ෂුද්‍ර ජීවීන් යනු ස්වභාවික පරිසරයේ සෑම තැනකම පාහේ වාසය කරන පියවි ඇසට පැහැදිලිව දැකගත නොහැකි, ඉතාම කුඩා අන්වීක්ෂීය ජීවීන් වේ.
activity;['විද්\u200dයුත් තැපෑල', 'විද්යුත් තැපෑල', 'ඉලෙක්ට්\u200dරොනික තැපෑල', 'ඊ-තැපෑල'];E – mail – Electronic mail යන්න කෙටි කිරීමක් වන අතර එය E – mail හෝ සරලව mail ලෙස නිතර සංක්ෂිප්තව භාවිතා කරන දත්ත ගබඩා කර යැවිය හැකි ක්‍රමයකි.
activity;['මූර්ජනය'];මූර්ජනය යනු සම්ප්‍රේශණය කල හැකි ආවර්ථික තරංගයක ගති ලක්ශණ එකක් හෝ කීපයක් සම්ප්‍රේශණය කල යුතු තරංගයේ ගති ලක්ශණ වලට අනුකූලව වෙනස් කිරීමේ ක්‍රියාවලියයි.
activity;['ට්\u200dරෝජන් යුද්ධය', 'ට්රෝජන් යුද්ධය'];ග්‍රීක පුරාණෝක්තිය ප්‍රකාර, ඇකියන්වරුන් විසින් ට්‍රෝයි නගරයට එරෙහිව ට්‍රෝජන් යුද්ධය මෙහෙයවන ලද්දේ පැරිස් විසින් ඇයගේ ස්වාමිපුරුෂයාවූ ස්පාර්ටාවෙහි රජු මෙනිලියස් වෙතින් හෙලන් කුමරිය පැහැර ගැනීමේ ප්‍රතිඵලයක් ලෙසිනි.
activity;['ටොමොග්\u200dරෆි'];ටොමොග්‍රෆි යනු, පැතිර තිබෙන්නාවු තරංග මගින් ස්ථර වශයෙන් හෝ ස්ථර කිරිමෙන්, රූපයක් නිර්මාණය කර ගැනීම ය.
activity;['සුළි සුළඟ'];== සුලි සුලන් යනු වමාර්තව කරකවෙන ඉතා විශාල සුලගක් ය ==
activity;['භාග්\u200dයවන්ත ධූරයට එසවීම', 'භාග්\u200dයවන්ත'];Beatification is a recognition accorded by the Catholic Church of a dead person's entrance into Heaven and capacity to intercede on behalf of individuals who pray in his or her name.
activity;['රුම්මි'];රුම්මි යනු කාඩ් ක්‍රීඩාවකි.
activity;['හාද්ද'];හාද්දක් යනු යමෙකුගේ තොල් තවෙකෙකුගේ තොල් හෝ සිරුරෙහි වෙනත් කොටස් හෝ වෙනයම් වස්තුවක් මත හෝ තෙරපීමය.
activity;['හැංගිමුත්තං'];හැංමුත්තං යනු පොඩි ළමුන්ගේ ක්‍රීඩාවකි.
activity;['ඡන්ද පත්\u200dරිකා', 'ඡන්දය ප්\u200dරකාශ කිරීම', 'ඡන්දය ප්\u200dරකාශකිරීම', 'ඡන්දය', 'මහජන ඡන්දයෙන්', 'චන්දය ප්\u200dරකාශකිරීම'];ඡන්ද විමසීමකදී ජන්දය ප්‍රකාශකිරීම සඳහා යොදාගන්නා පත්‍රිකා ඡන්ද පත්‍රිකා නම් වේ.
activity;['ඡන්ද පත්\u200dරිකා', 'ඡන්දය ප්\u200dරකාශ කිරීම', 'ඡන්දය ප්\u200dරකාශකිරීම', 'ඡන්දය', 'මහජන ඡන්දයෙන්', 'චන්දය ප්\u200dරකාශකිරීම'];තම කැමැත්ත පවසා සිටීමකි.
activity;['මහජන කොටස් ආරම්භක නිකුතුව', 'මහජන කොටස් නිකුතුව'];මහජන කොටස් නිකුතුවක් යනු සමාගමක් විසින් පළමු වතාවට සමාගම් කොටස් මහජනතාව වෙත නිකුත් කිරීමයි.
activity;['චාරිත\u200d්\u200dරානුකූල නර්තනය', 'චාරිත ් රානුකූල නර්තනය'];චාරිත‍්‍රානුකූල නර්තනය නර්තන වර්ගීකරණයේ ප‍්‍රධාන කොටසකි.
activity;['ගැටුම්'];සමූහයක් තුල දෙපිිරිසක් හෝ සමූහයන් දෙකක් අතර එක් පාර්ශවයක මතයක් හෝ ක්‍රියාවක් අනෙක් පාර්ශවය විසින් පිලිනොගැනීම හේතුකොට ඇතිවන ප්‍රතිරෝධය, මතභේදය හෝ විසංවාදය. ගැටුම් ලෙස සැලකේ.
activity;['චිත්\u200dරපටය'];චිත්‍රපටය, සිනමා, චලන චිත්‍ර, සිනමා චිත්‍රපට ලෙසද හඳුන්වයි.
activity;['බ්\u200dරේක් ඩාන්ස්'];දකුනු ආසියානු භාණ්ඩ හා වෙනත් කාලීන සංගීත ක‍්‍රම සමග මිශ‍්‍රණයේ තායිලන්ත බ්‍රේක් ඩාන්ස් කරුවෙකු තායිලන්ත එම් ටී වී වීදි සංගීතෝස්වයේදී තනි අතින් අතින් සිට ගැනීම දක්වන අයුරු.
