abstract-region;['tensor', 'cálculo tensorial', 'magnitud tensorial', 'análisis tensorial', 'tensores'];Objeto que amplía la noción del escalar, vector, y matriz.
abstract-region;['polinomio', 'multinomial', 'polinomios', 'expresión polinómica', 'función polinómica', 'polinomio multivariante'];Expresión algebraica que consiste en uno o más términos adicionados, cada término consiste en un multiplicador constante y una o más variables elevadas a potencias enteras.
abstract-region;['suma', 'total', 'adición', 'cantidad', 'montante', 'monta', 'monto'];Resultado de adicionar dos o más cantidades.
abstract-region;['producto', 'producto matemático', 'productorio', 'multiplicatoria', 'multiplicatorio', 'pitatoria', 'producto infinito', 'productoria', '∏'];Cantidad obtenida al multiplicación dos o más números.
abstract-region;['variable aleatoria', 'variante', 'variable estocástica', 'variables aleatorias', 'variable casual', 'variables estadisticas', 'variables estadísticas', 'posibilidad variables', 'variate'];Variable que toma cualquiera de los valores de unrango que no puede ser predicho con certeza.
abstract-region;['secuencia', 'serie', 'sucesión', 'episodio', 'incidente'];Colección de objetos que se siguen uno al otro o están conectados uno después del otro.
activity;['rugby', 'rugbi', 'fútbol-rugby', 'rugby union', 'fútbol rugby', 'rugby a 15', 'rugby fútbol', 'rugger'];Deporte originario de Rugby, en Inglaterra, en el que los jugadores de un equipo de 15 intentan marcar puntos tocando el suelo con un balón oval en un lugar situado detrás del territorio adverso, o enviando el balón entre dos postes y por encima de una barra.
activity;['acupuntura', 'acupuntor', 'acupuntura china', 'stylostixis'];Tratamiento del dolor o de una enfermedad que consiste en introducir la punta de agujas en puntos específicos de la piel.
activity;['salvación', 'redención'];Acción de salirse del pecado o de evitar el mal.
activity;['consola', 'argumento de línea comandos', 'intérprete de línea comandos', 'línea comandos', 'símbolo del sistema', 'argumento línea de comandos', 'interfaz de línea comandos', 'intérprete de comandos'];Programa que interactúa con una computadora emulando a una consola de sistema.
activity;['correo electrónico', 'e-mail', 'email', 'correo-e', 'correo', 'emilio', 'correo electronico', 'mensaje electronico', 'mensaje electrónico', 'correos electrónicos', 'e-mails', 'e mail', 'carta electronica', 'carta electrónica', 'correl', 'correo-e.', 'correo e', 'correo web', 'correos electronicos', 'direccion de correo electronico', 'direccion de correo electrónico', 'direccion electronica', 'dirección de correo electrónico', 'dirección electrónica', 'e mailing', 'e mails', 'mail', 'mensaje de correo electronico', 'mensaje de correo electrónico', 'web mail', 'correo de internet'];Mensaje o información almacenada en una computadora que se transmite o se intercambia entre dos nodos de una red de telecomunicaciones.
activity;['autoedición', 'auto-edicion', 'auto-edición', 'auto edicion', 'auto edición', 'autoedicion', 'desktop publishing', 'publicación de escritorio', 'dtp', 'publicacion de escritorio', 'edición', 'tipografía digital'];Combinación de una computadora personal y un software de diseño visual de páginas para crear documentos en una computadora para publicar a gran escala o a pequeña escala usando equipos periféricos de impresión.
activity;['pogey', 'subsidio de paro', 'pogy'];Dinero que reciben los desempleados del gobierno o por un seguro.
activity;['go', 'wei qi', 'atari', 'baduk', 'igo', 'juego de go', 'ojo', 'regla del ko', 'weiqi', '囲碁', 'ir partido'];Juego de mesa originario de China.
activity;['demanda', 'causa', 'pleito', 'acción', 'caso', 'juicio', 'litigio', 'proceso', 'proceso judicial', 'querella', 'demanda judicial', 'caso judicial', 'argumento', 'caso legal', 'demandado', 'parte demandada', 'caso civil', 'causal', 'causalidad', 'demanda civil', 'demandó', 'disputa legal', 'litigantes', 'previas al juicio', 'sistema causa', 'tribunal civil'];Término general para cualquier procedimiento ante un tribunal de ley mediante el cual un individuo busca una solución legal.
activity;['demanda', 'causa', 'pleito', 'acción', 'caso', 'juicio', 'litigio', 'proceso', 'proceso judicial', 'querella', 'demanda judicial', 'caso judicial', 'argumento', 'caso legal', 'demandado', 'parte demandada', 'caso civil', 'causal', 'causalidad', 'demanda civil', 'demandó', 'disputa legal', 'litigantes', 'previas al juicio', 'sistema causa', 'tribunal civil'];Examen judicial y determinación de aspectos críticos entre las partes de una acción.
activity;['juicio', 'proceso', 'juicio oral', 'juicios', 'pleito', 'pleito legal', 'caso criminal'];Examen judicial y determinación de aspectos críticos entre las partes de una acción.
activity;['ciclón', 'ciclones', 'depresión atmosférica', 'ciclon', 'ciclónica'];Tormenta que se caracteriza por la convergencia y el aumento en circulación giratoria del viento en torno a una zona de baja presión (el ojo) hacia donde es halado de manera violenta en una zona de alta presión.
activity;['anticiclón', 'anticiclon', 'masa anticiclónica', 'anticiclon dinamico', 'anticiclon dinámico', 'anticiclon termico', 'anticiclon térmico', 'anticiclón dinamico', 'anticiclón dinámico', 'anticiclón termico', 'anticiclón térmico', 'anti-ciclón', 'anticiclónica'];Circulación de vientos alrededor de una región de alta presión atmosférica, en el sentido de las agujas del reloj en el Hemisferio norte y contrario a la agujas del reloj en el Hemisferio sur.
activity;['mandato', 'delegacion', 'delegación', 'mandato politico', 'mandato político'];Orden o autorización para actuar de una manera particular dada por un administrador a un subordinado, una corte a una corte más baja o un electorado a su representante.
activity;['vía crucis', 'estaciones de la cruz', 'viacrucis', 'estaciones', 'via crucis', 'pasion', 'pasión', 'pasion de cristo', 'pasion de jesucristo', 'pasion de jesus', 'pasión de jesus', 'pasion de jesús', 'pasión de jesucristo', 'camino de la cruz'];Representación de las horas finales (o de la pasión) de Jesús, y la devoción que conmemora esa pasión.
activity;['confesión', 'reconciliación'];Acción de contar pecados o fallas a un sacerdote para obtener a la absolución sacramental.
activity;['home run', 'cuadrangular', 'jonrón', 'home-run', 'jonron', 'jonrones', 'homer'];En béisbol, una jugada en la que el bateador logra dar la vuelta a todas las bases, terminando en la caja de bateo y anotando él una carrera (junto con una carrera anotada por cada corredor que ya estaba en las bases), sin intervención de errores por parte del equipo contrario que hubieran permitido que un corredor avanzara una base extra.
activity;['curva', 'curve ball', 'bola curva', 'bola de ruptura', 'rompiendo bola'];Lanzamiento de béisbol que produce un en la pelota un movimiento descendiente usualmente hacia la izquierda cuando se lanza con la mano derecha y hacia la derecha cuando se lanza con la mano izquierda.
activity;['salerno'];Provincia de la región de Campania, en Italia.
activity;['zona de convergencia intertropical', 'convergencia intertropical', 'itcz', 'zcit'];Región cercana al ecuador que se caracteriza por una baja presión y los vientos cambiantes suaves.
activity;['enemistad', 'feudo', 'pelea', 'vendetta', 'animosidad', 'guerra privada'];Disputa violenta entre dos familias o dos clanes que dura muchos años.
activity;['backgammon', 'chaquete', 'tablas reales', 'chanchullo', 'juego de tablas', 'tavli'];Juego de mesa para dos jugadores, cuyas piezas se mueven según el resultado del lanzamiento de dos dados.
activity;['luchar', 'combatir', 'pelear', 'batallar', 'esforzarse con denuedo', 'forcejear', 'lidiar', 'pugnar'];Verse envuelto en una confrontación física.
activity;['cortometraje', 'corto', 'cortometrajes', 'cortometraje animado', 'tema corto', 'dos reeler'];Película de corta duración, de alrededor de 15 minutos.
activity;['cortometraje', 'corto', 'cortometrajes', 'cortometraje animado', 'tema corto', 'dos reeler'];Algo de corta duración, como un cortometraje, lanzamiento corto, un cuento, una breve señal, etc.
activity;['exploración'];Búsqueda sistemática y cuidadosa.
activity;['beso', 'ósculo', 'buss', 'besar', 'besucador', 'besucar', 'besucon', 'besucón', 'besuqueador', 'besuquear', 'besuqueo', 'osculo', 'besos'];Contacto afectuoso con los labios como signo de amor o de afecto.
activity;['confirmación', 'confirmacion', 'sacramento de la confirmacion', 'sacramento de la confirmación'];Rito de iniciación en las iglesias cristianas, que confirma la pertenencia a la religión establecida en el bautismo.
activity;['oferta pública de adquisición', 'toma de control', 'adquisición', 'oferta publica de adquisicion', 'oferta publica de adquisición', 'oferta pública de adquisicion', 'opa', 'opa hostil', 'adquisiciones', 'adquisiciones hostiles'];La compra de una compañía por otra.
activity;['datación por radiocarbono', 'datación por c-14', 'datacion con carbono 14', 'datacion por radiocarbono', 'datación con carbono 14', 'fechamiento por radiocarbono', 'carbono-14', 'datación por carbono', 'años de radiocarbono', 'carbono 14', 'carbono fechado', 'datación c14', 'fecha de radiocarbono', 'la datación por radiocarbono', 'radio datación por carbono', 'radiocarbono data'];Método para determinar la edad de materiales orgánicos con carbono hasta alrededor de 60.000 años basado en la medida de actividad radiológica del carbono 14.
activity;['escondidas', 'escondite', 'alelevi', 'aleleví', 'escondido', 'hide-and-seek', 'las escondidas'];Juego popular de niños en el que varias personas se esconden en torno a un área determinada, con el fin de que otro juegue a encontrarlos.
