abstract-region;['tesadüfiy deger'];Tesadüfiy deger - ihtimallar nazariyesiniñ esas añlamlarından biri, bir deñevniñ neticesine bağlı olıp farqlı qıymetleri alıp olğan bir sayı.
activity;['futbol'];Futbol - topnen oynalğan rağbetli bir sporttır.
activity;['rok'];Rok — muzıka üslüplerinden birisi.
activity;['ekinci cian cenki', 'ii cian cenki'];Ekinci Cian cenki XX asırnıñ ortasında olıp keçti.
activity;['birinci cian cenki', 'i cian cenki'];Birinci Cian Cenki XX asırnıñ başında olıp keçti.
activity;['qırım cenki'];Qırım cenki (1853 s.
activity;['oraza'];Oraza - bir çoq dinde bar olıp, farqlı şekillerde yapılğan ibadet şeklidir.
activity;['sport'];Sport — insanlarnıñ evelgen tayinlengen qaidelerge köre teşkilâtlandırılğan reqabet maqsatlı yarışları.
activity;['büyük frenk i̇nqilâbı'];Büyük Frenk İnqilâbı — XVIII asırdağı Frenkistannıñ içtimaiy ve siyasiy sisteması duçar olğan eñ küçlü deñişüvler.
agentive-figure;['şeer şurası'];Şeer şurası - Ukraina, Rusiye ve daa bir qaç sabıq ŞSCB memleketlerinde ekinci seviyedeki bir memuriy birlem.
agentive-figure;['avropa birligi', '🇪🇺'];Avropa Birligi ya da AB - Avropadaki 28 mustaqil memleketten ibaret bir ittifaqtır.
agentive-figure;['birleşken milletler teşkilâtı', 'birleşken milletler', 'bmt'];Birleşken Milletler Teşkilâtı (qısqaca Birleşken Milletler ya da BM. resmiy tillerinde - arapça الأمم المتحد‎, Çince: 联合国, frenkçe Nations Unies, inglizce United Nations, ispanca Naciones Unidas, rusça Объединенные Нации) - 1945 oktâbr 24-de qurulğan dünya barışığını, telükesizligini qorumaq ve milletlerara iqtisadiy, içtimaiy ve medeniy bir iş birligi inkişaf etmek içün qurulğan milletlerara bir teşkilâttır.
agentive-figure;['i̇slâm', 'musulman', 'musulmanlar'];İslâm, İslâmiyet ya da Musulmanlıq – tek bir tañrını qabul etken semaviy dinlerniñ soñkisi, üç cian dinleriniñ birisidir.
agentive-figure;['i̇nduizm', 'induizm'];İnduizm – Dünya dinleriniñ biridir.
agentive-figure;['şuralar sotsialistik cumhuriyetleri birligi', 'şuralar sotsialist cumhuriyetleri birligi', 'şuralar sotsialistik cumhuriyetler birligi', 'sovetler birligi', 'sscb', 'şscb', 'şuralar birligi', 'sovetler sotsialist cumhuriyetleri birligi', 'sssr'];Şuralar Sotsialistik Cumhuriyetleri Birligi, Şuralar Birligi, ŞSCB – 1922 - 1991 senelerinde yaşağan kommunistik totalitar bir devlet.
agentive-figure;['aqbaba', 'aq baba', 'grifon'];Aqbaba — bir mifik qanatlı mahlüq, yarıarslan—yarıqartal.
agentive-physical-object;['emen'];Emen — bik terekleri ailesinden tereklerniñ bir soydır.
agentive-physical-object;['kompyuter'];Kompyuter — operatsiyalarnıñ izçenligi yapmağa bilgen bir tertibattır.
agentive-physical-object;['lâle'];Lâle — çoq yıllıq ot piçim ösümliklerniñ soğanlı bir soyudır.
agentive-physical-object;['örge', 'acer'];Örge — sapindalarlı ailesinden tereklerniñ bir soydır.
agentive-physical-object;['torğay'];Torğay - (“Passeridae”) ailesinden, insanlarğa yaqın yerde yaşağan, köçüci olmağan, quş türlerine berilgen ad.
agentive-physical-object;['qartal'];Qartal — bir çeşit yırtıcı quş.
agentive-physical-object;['qarağaç'];Bu maqale terek aqqında.
agentive-physical-object;['aqbardaq'];Aqbardaq — bir çiçek, Qırımda da böyle çiçek öse.
agentive-physical-object;['quzğun', 'corvus corax'];Quzğun — bir çeşit quş.
agentive-physical-object;['misk sığırı'];Misk sığırı — Bovidae ailesinde Ovibos cınsınıñ birden-bir türü.
agentive-physical-object;['duvadaq'];Duvadaq (Otis tarda) – (Otididae) ailesinden çoq ürkek bir quş türü.
agentive-physical-object;['baqla'];Baqla — bir çeşit ösümlik.
agentive-physical-object;['papiy'];Papiy — papiy familiyasından bir quş.
agentive-physical-object;['aqquş'];Aqquş — papiy familiyasından bir quş.
amount-of-matter;['suv', 'h₂o'];Suv - şeffaf, qoqusı olmağan, 0° C araretinde buzlağan, 100° C araretinde qaynağan tüssüz şingenlik.
amount-of-matter;['himiyaviy element', 'himiyeviy element'];Himiaviy element — atomnıñ bir çeşitinden ibaret olğan temiz himiaviy maddedir.
functional-matter;['agar-agar'];Agar-agar - deñiz qızıl ve qoñur otlarından ekstraktlanğan mürekkep terkipli şekerler niñ qarışması. azıq sanayısında qullanılğan qoyurtıcı.
functional-matter;['qaymaqtaş'];Qaymaqtaş ya da alebastr - beyaz gigroskopik toz, gipsniñ bir çeşiti.
functional-matter;['mor yaqut'];Mor yaqut ya da ametist - mineral, kvartsnıñ şeffaf mor tüslü bir çeşiti. qıymetli taş.
functional-matter;['agat'];Agat - kök, kültüs, beyaz tüsleri olğan mineral. haltsedon çeşitlerinden biri. qattı qatlamlı yarıqıymetli taş.
geographical-object;['azaq deñizi'];Azaq deñizi - Qara deñizniñ şimal-şarqında bulunğan kiçik bir deñiz.
geographical-object;['cenübiy amerika'];Cenübiy Amerika – Amerikanıñ cenübiy yarısını teşkil etken bir qıtadır.
geographical-object;['ten suv', 'don', 'i̇en suv'];Ten Suv ya da Ten — Rusiyede bir özen.
geographical-object;['çin cumhuriyeti', 'tayvan'];Tayvan, resmiy adı Çin Cumhuriyeti (çince 台灣) - şarqiy Asiyada Tayvan adasındaki bir memleket.
geographical-object;['marşall adaları'];‌ Marşall Adaları, resmiy adı Marşall Adaları Cumhuriyeti - Okeaniyadaki Mikroneziya regionında bir memleket.
geographical-object;['okean'];Okean – qıtalarnı bir-birinden ayırğan engin ve açıq deñizidir.
geographical-object;['avstraliya ve okeaniya', 'okeaniya'];Okeaniya – Tınç Okeandaki bir çoq ada ülkelerinden ve Avstraliyadan ibaret bir qıtadır.
geographical-object;['balqan yarımadası', 'balqan', 'balqanlar'];Balqan yarımadası ya da Balqanlar - Avropa qıtasınıñ cenüp-şarqında yer alğan büyük bir yarımadadır.
