activity;['gudanarwa', 'gwamnati', 'bangare na gudanarwa', 'gudanarwa ta gwamnati', 'gudanarwa ta siyasa', 'zartaswa'];gudanarwa ta gwamnati ko siyasa
biological-object;['gaɓa'];tarin jiyoji masu aiki iri daya
functional-matter;['taliya'];Abinci
language;['farisawa'];Mutanan farisa
locative-role;['santanbul', 'istanbul', 'santambul'];Babban birni a Turkiyya
non-agentive-physical-object;['firinji', 'firji'];Nakuran sanyi
physical-object;['firinji', 'firji'];Nakuran sanyi
physical-object;['agogo', 'àgṓgó'];Abun duba lokaci
physical-object;["jami'ar harvard", 'havard', "jami'a ta havard"];Jami'ar bincike ta kuɗi a Cambridge, Jihar Massachusetts a Tarayyar Amurka
political-geographic-object;['nijeriya', 'najeriya', 'nigeria'];Damakwaradiyyar najeriya
political-geographic-object;['damascus', 'sham'];Babban birnin Siriya
political-geographic-object;['abuja'];Babban birnin tarayya
political-geographic-object;['habasha', 'itofiya', 'isofiya', 'ethiopia'];Kasa a kudancin Afirka
political-geographic-object;['baku'];Babban birnin Azabaijan
political-geographic-object;['santanbul', 'istanbul', 'santambul'];Babban birni a Turkiyya
quality;["mubaya'a"];Marabus ga Amir al-Mu'minin
socially-constructed-person;['muhammad', 'annabi muhammad'];Annabin Islama da Bahai
socially-constructed-person;['mata', 'mai daki'];Macen aure
socially-constructed-person;['furogirama'];Mai sarrafa sof-waya
socially-constructed-person;['ɗan jarida'];Mai nemo labarai da bayanai
socially-constructed-person;['yarinya'];Karaman mace
socially-constructed-person;['mace', 'ta mace'];Macen namiji
socially-constructed-person;['maza', 'namiji'];Maza akasin Mata
temporal-region;['litinin'];Rana a mako
