abstract-quality;['kapribadèn', 'kapribadhen', 'kepribadian'];Kapribadèn ya iku unsur tindak tandhuk.
activity;['akupunktur'];Akupuntur awalé diterapna ing negeri tirai bambu, nanging suwé-suwé nyebar ana ing kabèh dhaérah ing Indonésia, kalebu Yogyakarta.
activity;['layang èlèktronik', 'layang-e'];Layang èlèktronik utawa layang digital utawa pos elektronik utawa jeneng lumrahé sajeroning basa Inggris "e-mail utawa email" iku sarana kirim layang liwat jalur Internèt.
activity;['metrum'];Metrum ya iku istilah ing kasusastran kanggo ngandharake polaning basa saben sagatra geguritan.
activity;['kanonisasi'];Kanonisasi wujud siji prosès ndadèkaké siji wong dadi santo lan nglibataké pambuktèn yèn kandhidat wis nglakoni urip sing layak dadi santo.
activity;['beatifikasi', 'béatifikasi'];Sajeroning agama Katulik, béatifikasi iku siji pangakuan utawa pratélan kang diwènèhaké déning gréja marang wong kang wis nilar donya yèn wong mau iku wong kang bungah.
activity;['palembab lambé'];Balm lambe utawa salve lambe minangka zat kaya lilin sing ditrapake ing ndhuwur lambe kanggo moisturize lan ngatasi lambe sing garing utawa garing, cheilitis sudut, stomatitis, utawa lara adhem.
activity;['ater-ater si'];Prefix SI iku ater-ater sing bisat diaplikasèkaké sajeroning ékan SI kanggo mbentuk sawijining ékan sing nandhakaké tikelan saka ékan mau.
activity;['sun'];Ambung yaiku sawijining tumindak sun utawa lambene kanggo wong liya utawa obyek.
activity;['dhelikan', 'culikan'];Dhelikan utawa jélungan, jumpritan utawa culikan, ya iku dolanan bocah kanthi cara bocah-bocah kang mèlu padha ndelik ing sakiwa tengen papan dolanan, banjur bocah siji utawa pira-pira liyané kudu nggoleki.
activity;['ingkling'];Ingkling ya iku dolanan bocah kang ana ing daerah Jawa Tengah, Ngayogyakarta,Jawa Wétan lan Jawa Kulon.
activity;['ékaristi', 'bujana suci', 'ekaristi'];Bujana Suci utawi Sakramèn Ékaristi punika salah satunggilipun sakramèn ingkang dipunsumerepi ing salebeting Gréja Kristen.
activity;['seminar', 'séminar'];Séminar utawa seminar yakuwi patemanan kanggo ngrembug siji prakara lan kapimpin déning ahli.
activity;['perang salib kapisan'];Perang Salib Kapisan ya iku perang ing taun 1095 déning Paus Urbanus II kanggo ngrebut kutha suci Yerusalem kang dadi kutha suci agama Islam lan Kristen.
activity;['perang salib kaloro', 'perang salib kapindho'];Perang Salib Kapindho ya iku perang salib kapindho kang digawé saka Éropah.
activity;['perang salib katelu'];Perang Salib Katelu, uga dikenal minangka Perang Salib Para Raja, ya iku perang antarané para raja ing Éropah kanggo rerebutan Tanah Suci saka Shalahudin Al-Ayyubi ing Perang Salib.
activity;['perang salib kapapat', 'perang salib kaping papat'];Perang Salib Kaping Papat iku siji perang kang dilakoni antara taun.
activity;['konflik'];Konflik asalé saka basa Latin configere kang tegesé silih gebuk.
activity;['kartun animasi'];Kartun animasi punika film kanggo wayang, televisi utawa layar komputer, kang ana obah gambar, ngelawan saka animasi ing umum, kang kalebu film digawé nggunakaké lempung, wayang, 3-D modhél lan bahan liyane.
activity;['bal-balan', 'sepak bola'];Bal-balan iku dolanan bal kang dimainaké déning rong tim, lan saben tim dumadi saka 11 juru main.
activity;['filem', 'film', 'pilem'];Film utawa pilèm iku gambar-urip, uga asring diarani movie ing basa Inggris.
activity;['sekak'];Catur utawi sekak inggih punika salah satunggalipun dolanan utawi ulah raga ingkang mbetahaken konsèntrasi ingkang temenan.
activity;['bèkelan'];Bèkelan iku sawijining dolanan bocah.
activity;['dolanan komputer', 'gim vidéo', 'video gim'];Gim komputer yaiku jenis video gim sing dimainakē ing komputer.
activity;['dolanan komputer', 'gim vidéo', 'video gim'];Gim vidéo iku gim sing migunakaké interaksi sarana mukantara panganggo lumantar gambar sing kawetu saka piranti vidéo.
activity;['badminton', 'bulu tangkis'];Badminton utawa bulu tangkis iku ulah raga mawa rakèt kang dimainaké déning wong loro utawa rong pasangan kang silih tetandhingan.
