abstract-region;['soma', 'montante', 'total', 'importe', 'importância', 'quantia', 'quantitativo', 'número', 'totalizar'];O resultado da adição de duas ou mais quantidades.
activity;['educação de jovens e adultos', 'educação de adultos', 'ensino supletivo', 'eja', 'supletivo', 'educação para adultos'];Qualquer instrução ou treino, informal ou formal, direcionado a pessoas de idade madura, a despeito da educação anterior, e tipicamente oferecido por programas de extensão universitários, empregadores, cursos por correspondência ou grupos comunitários.
activity;['estudo', 'inquérito', 'pesquisa'];Uma inspeção crítica e detalhada.
activity;['sentença', 'condenação', 'julgamento', 'sentença judicial', 'sentença penal condenatória', 'condenado', 'condenação criminal', 'condenações', 'sentença condenatória'];Decisão oficial e autêntica de uma corte de justiça sobre os direitos respectivos e reivindicações das partes de uma ação ou processo nela litigada e submetida à sua determinação. A decisão final do tribunal resolve a disputa e determina os direitos e obrigações das partes. A palavra final da lei em uma controvérsia judicial, sendo esta a determinação final por um tribunal quanto aos direitos das partes sobre matérias a ela submetidas em uma ação ou processo.
activity;['filme', 'película', 'produção', 'cena', 'fita', 'história', 'filmes', 'curta-metragem', 'longa-metragem', 'busca alucinante', 'imagens em movimento', 'imagem em movimento', 'cinema', 'cinema-show', 'de cinema', 'filme cinematográfico', 'filme teatral', 'moving picture-show', 'tela grande'];Conjunto de imagens animadas.
activity;['basquetebol', 'basquete', 'basquetebolista', 'bandeja', 'basketball', 'basquetbol', 'basquete feminino', 'básquete', 'campo de basketball', 'cestobolista', 'duplo-duplo', 'jogador de basquete', 'jogador de basquetebol', 'regras do basquete', 'regras do basquete de quadra', 'triplo-duplo', 'bola-ao-cesto', 'basquete colegial', 'clube de basquete', 'hoops', 'jogador de basquete estónia', 'jogo de basquete'];Um desporto em que duas equipas rivais de cinco jogadores tentam lançar uma bola através de um arco.
activity;['pincel'];Um utensílio com pega, e uma cabeça com cerdas mais ou menos flexíveis, usado para pintar.
activity;['administração', 'administração de empresas', 'gestão', 'bacharelado em administração', 'disposição', 'regulação', 'corpos administrativos', 'administrador de empresas', 'gerenciamento'];Gestão ou direcção dos assuntos de um escritório, negócio ou organização, público ou privado.
activity;['encontro', 'confronto', 'recontro', 'conflito', 'disputa', 'escaramuça'];Combate de curta duração.
activity;['demonstrar', 'provar', 'estabelecer', 'validar', 'testar', 'comprovar', 'mostrar'];Demonstrar que algo é verdade.
activity;['golpe de estado', 'golpe', 'putsch', 'golpes de estado', "coup d'état", 'golpismo', 'transferência da administração', 'transferência do controle', "golpe d'etat", 'golpe de estado militar', 'golpe militar', 'golpe palaciano', 'golpes'];O derrube repentino de um governo.
activity;['divertimento', 'diversão', 'amusement', 'entreterimento'];Fonte de diversão, desfrute ou prazer.
activity;['conquista', 'sedução'];Acto de conquistar.
activity;['esporte', 'desporto', 'atletismo', 'esportes', 'desporte', 'desportista', 'desportistas', 'desportiva', 'desportos', 'desportos motorizados', 'esportista', 'esportistas', 'lista de desportos', 'lista de esportes', 'evento esportivo', 'eventos esportivos'];Complexo de atividades individuais ou em grupo praticadas por exercício ou prazer, que com frequência assume uma forma competitiva.
activity;['petisco', 'xícara de chá'];Uma actividade de que se gosta ou na qual se é superior.
