abstract-region;['skalaro', 'skalara fizika grando'];Bazita sur la matematika koncepto de skalaro.
activity;['metriko', 'verspiedo'];Mezurojn kaj tipojn de versoj.
activity;['batalo ĉe slavkov', 'batalo de austerlitz', 'batalo de slavkov', 'batalo ĉe austerlitz'];Okazinta apud tiu urbo la 2-an de decembro 1805, kadre de la napoleonaj militoj.
activity;['balotado', 'voĉdono', 'elekto', 'baloto', 'elektoj', 'voĉ-dono'];Decido aŭ elekto, balotado.
activity;['kameraado', 'kino', 'kinematografio', 'kinarto'];X2 aŭ X ² estas la dua epizodo de la filmsagao X-Men.
activity;['devo'];Farotaĵo necesa pro leĝo, moralo aŭ konveno
agentive-figure;['amazonoj'];Mitologiaj militemaj virinoj
agentive-figure;['mafio', 'sicilia mafio', 'cosa nostra'];Foje granda.
agentive-figure;['unuiĝintaj nacioj', 'uno', 'un', 'united nations', 'unuiĝinta naciaro', 'ĝenerala sekretario de la unuiĝinta naciaro'];Tutmonda organizaĵo.
agentive-figure;['reĝa aerarmeo', 'brita aerarmeo', 'british royal airforce', 'raf', 'royal air force'];Kaj ankaŭ de la terorisma organizaĵo Rote Armee Fraktion, aktiva en Germanio dum la 1970-aj jaroj
agentive-figure;['sankta romia imperio', 'sankta roma imperio', 'sankta romia regno', 'german-romia imperio', 'rom-germana sankta imperio', 'sankta romgermana imperio', 'sankta romia imperio de germana nacieco', 'sankta romia regno de germana nacieco'];Ekzistanta inter 911 kaj 1268.
agentive-physical-object;['jetmotoro', 'reagmotoro', 'turbojeto'];Per senpera reakcio, utiligante la ĉirkaŭan aeron kiel karburaĵon (kio distingas ĝin disde raketo).
agentive-physical-object;['alkroĉa galio'];Planta genro el familio rubiacoj.
agentive-physical-object;['tujo'];Arbo en la genro de Cipresacoj
agentive-physical-object;['fago', 'fagus', 'ordinara fago'];Genro de falfoliaj arboj en la familio fagacoj
agentive-physical-object;['bazilio', 'ocimum basilicum'];Estas arbusta kreskaĵo.
agentive-physical-object;['heliko', 'helika'];Gastropodeto kun konko
agentive-physical-object;['leopardo', 'panthera pardus', '🐆'];Precipe nigra varianto
agentive-physical-object;['mevo', 'laro', 'laredoj', 'laridae', 'larus', 'mevoj'];Birdo en familio de ĥaradrioformaj
agentive-physical-object;['alno', 'alnus'];Arbo en familio Betulacoj
agentive-physical-object;['draceno', 'dracaena'];Unu planto genron
amount-of-matter;['adenozina trifosfato', 'atp'];Energioriĉa molekulo (energio-donanto) kaj universala energiotransportilo en vivantaj organismoj
amount-of-matter;['berilio', 'be'];Kemia elemento
amount-of-matter;['dna', 'deoksiribonuklea acido', 'deoksiribonukleaj acidoj', 'dezoksiribonukleinacido'];Aŭ desoksiribonuklea acido.
amount-of-matter;['litio', 'li'];Kemia elemento.
amount-of-matter;['boro', 'b'];Kemia elemento
amount-of-matter;['tokaj-vino'];Vino produktita en tiu Hungaria regiono
amount-of-matter;['oporto', 'portvino'];Vino de la regiono de la portugala urbo
biological-object;['ĉelo', 'biologia ĉelo'];Kiu konsistigas organismon
biological-object;['pugo', 'gluteo', 'postaĵo', 'sidvango', 'sidvangoj'];Sidvangoj de la homa korpo.
chemical-object;['nadh'];Grava koenziomo en ĉeloj
classification-system;['html', 'hiperteksta marklingvo', 'hypertext markup language'];Ekzemple "ABC < sub > DEF < / sub >" videblas kiel "ABC DEF", ĉi tie "ABC" estas la normala teksto kaj "DEF" estas la suba indekso.
cognitive-event;['integralo', 'integraloj', '∫'];En matematiko, koncepto de kalkulo, estas la procezo de trovantaj integraloj.
dependent-place;['fokuso'];Kie kuniĝas la radioj senditaj de unu lumfonto, post ilia trairo tra optika sistemo. Pli ĝenerale fokuso signifas: centro de la atento, de la interesiĝo.
functional-matter;['harris-tvido', 'harris tweed'];Luksa kepro, manteksita sur insulo Harris, Outer Hebrides, Skotlando
functional-matter;['dozo', 'drogkvanto', 'drogokvanto', 'substanckvanto', 'substancokvanto'];Kvanto da kuracilo aŭ drogo
functional-matter;['opio'];Foje nomata Haga Konvencio de 1912.
functional-matter;['tokaj-vino'];Vino produktita en tiu Hungaria regiono
functional-matter;['napo'];Provinco de Ekvadoro
functional-matter;['ludkarto', 'kartaro', 'ludkartoj', 'tell-karto', '♦'];Kartona karto prezentanta sur unu flanko kolorajn gravuraĵojn de emblemoj kaj poentoj, uzata por ludi diversajn kartludojn (ekzemple briĝon, ermitludon)
functional-matter;['oporto', 'portvino'];Vino de la regiono de la portugala urbo
functional-matter;['berilo'];Juvela mineralo
genetic-collective;['habsburgoj', 'dinastio de aŭstrio', 'domo de habsburgo', 'habsburgo-loreno', 'malgrandaj habsburgoj', 'habsburga'];Kiu devenas el la svisa komunumo Habsburgo kaj kies anoj estis la reĝoj kaj imperistroj de la Sankta Romia Imperio kaj poste de Aŭstrio-Hungario.
genetic-collective;['raso'];Distingeblan populacion el unu specio,
geographical-object;['bismarkoj', 'arkipelago de bismarck', 'bismarka insularo'];Insularo en Pacifiko
geographical-object;['kalifornia golfo', 'golfo de kalifornio', 'maro de korteso'];Golfo inter Kalifornia Duoninsulo kaj la cetero de Meksiko.
geographical-object;['amazono', 'amazona rivero', 'rivero amazono', 'supra amazono'];Plej granda rivero en Sudameriko
geographical-object;['rio grande del norte', 'rio grande'];Limrivero inter Meksiko kaj Usono
geographical-object;['nov-gvineo', 'nova gvineo', 'novgvineo'];Insulo en la Pacifiko.
geographical-object;['moncerato', 'montserato', 'montserrat'];Nacilingve Montserrat, estas teritorio nuntempe dependa de Britio en la Kariba Maro.
geographical-object;['egea maro', 'egeaj insuloj', 'maro egea'];Parto de la Mediteraneo inter Grekio kaj Turkio
geographical-object;['danubo', 'donau', 'rivero danubo'];Vidu Akva laboraĵo Gabčíkovo
geographical-object;['misuro', 'misuria rivero', 'rivero misuro'];Rivero en Norda Ameriko
gestalt;['parabolo', 'parabolă'];Geometria kurbo
information-object;['markemblemo'];Vorto, kombino de literoj, nombroj kiu ebligas distingi la varojn de unu fabriko disde tiuj de la aliaj (PIV)
information-object;['psio', 'ψ', 'psi'];Litero de la greka alfabeto
information-object;['eto', 'η', 'eta'];Litero de la greka alfabeto (Η, η)
information-realization;['kontrakto', 'kontraktado'];Laŭ leĝo devigebla en kortumo.
information-realization;['poŝtkarto'];Poŝte sendata karto, kutime rekte surskribata kaj afrankata, sen koverto
information-realization;['salutkarto', 'gratulkarto'];Kutime foldita papero kiu estas sendata aŭ donata al parenco, amiko aŭ kunulo por esprimi mesaĝon de saluto, aprezo, aŭ iun alian sentimenton
information-realization;['moto', 'slogano', 'devizo', 'frapfrazo', 'moto kaj krio'];Frazo aŭ esprimo pri io.
information-realization;['troja ĉevalo', 'la troja ĉevalo'];Kiun laŭ roma kaj helena mitologio (en Odiseado, Eneado k.s.) helena militistaro uzis por ruze eniri la sieĝatan urbon Trojo.
information-realization;['kriminala juro', 'puna juro', 'krima juro', 'penala juro', 'punjuro', 'kriminaljure'];Fako de juro pri puno
