abstract-region;['सीमा'];गणित मे, सीमा एगो अईसन मान होखेला जेकर कोनो फलन ओह घड़ी पीछा करेला, जब होकर चर कोनो मान के पीछा करेला।
activity;['ई मेल', 'ईमेल'];ईमेल एगो कम्प्युटर नेटवर्कके जरिए संदेश पठाबे वला सर्भिस ह।
activity;['चक्रवात'];चक्रवात बिसाल हवा के राशि होला जे एक ठो केंद्र के चारों ओर चक्कर लगावे ला। केंद्र में हवा के दबाव कम होला आ एही के ओर बाकी दिसा से हवा पहुँचे के कोसिस करे ले आ पृथ्वी के अपना धुरी पर नाचे के कारण हवा सीधा-सीधा एह कम दबाव के क्षेत्र के ओर ना पहुँचे ले बलुक गोलाई काट के पहुँचे ले।
activity;['फुटबाल', 'फुटबॉल'];एसोसिएशन फुटबॉल चाहे आम भाषा में फुटबॉल आ अंगरेजी में सॉसर एगो गेना क खेल हवे। एकर पूरा नाँव एसोशियेशन फुटबाल ह। जवनी गेना से ई खेल खेलल जाला ओ गेनओ के फुटबाले कहल जाला।
activity;['फिलिम'];फिलिम हिंदी में "चलचित्र" या "सिनेमा", अंग्रेजी में "मूवी" एगो अइसन चीज बा जेवन एक की बाद एक खींचल कई गो फोटो के जल्दी-जल्दी देखावे की कारण मूल दृश्य के दुबारा चलत-फिरत रूप में देखावे के काम करे ले। फ़िल्म वास्तव में उ रील के कहल जाला जवना पर कवनो चित्र या चलचित्र अंकित होला, ई कैमरा में प्रयोग करे खाती प्रकाश के प्रति संबेदनशील पायस आदि पोतल कार्बन प्लास्टिक आदि के समिश्रण से बनल पातर लचकदार पट्टी नियन होला जवना प चित्र अथवा चलचित्र कैमरा से अंकित कईल जाला। एकरा पर तेज प्रकाश के किरण परला प चित्र आगे परदा प दिखाई देला। यदि एक निमेष में ५० गो से ज्यादा चित्र एक साथ देखावल जाय त चित्र में चित्रित चरित्र गतिमान लउके लागि लोग मनोरंजन खाती एकरा के देखे जात रहन आ सामान्य बोल चाल के भाषा में फिलिम कहे लागले।
activity;['शतरंज', 'चेस'];शतरंज चाहे चेस एक किसिम के बोर्ड गेम ह जे में एक साथ दुगो खेलाड़ी लोग खेल खेलेला। ई एक प्रकार के वर्गाकार बोर्ड, जे आमतौर पर लकड़ी के बनल होला, पर खेलल जाला, जेमें छोट-छोट 64गो खाना बनल रहेला। दुनो खेलाड़ी सोलह-सोलह गो गोटी के साथ खेल शुरु करेलन। जे में गोटी रहेला: आठगो सिपाही, दुगो घोड़ा, दुगो ऊँट, दुगो हाथी, आ एगो राजा आ एगो मंत्री।खेल के लक्ष्य होला कि कौनो एगो खेलाड़ी कौनो दुसरा प्रतिद्वन्दी खेलाड़ी के राजा के चेकमेट करे के कोशिश करे। चेकमेट एक प्रकार के धमकी ह जौन प्रतिद्वन्दी खेलाड़ी के राजा के करल जाला जब प्रतिद्वन्दी खेलाड़ी के राजा मुकाबला कर सके के स्थिती में ना होखे। जब राजा फँस जाई त खेल खत्म हो जाई।खेल दुगो प्रतिद्वन्दी खेलाड़ी के बीच शुरु होला जेमें खेलाड़ी एक एक कर के आपन गोटी शतरंज के बोर्ड पर अलग अलग वर्ग में आगे बढ़ावेला। एगो खेलाड़ी के पास उज्जर या हल्का रंग के गोटी होला. दुसरका खेलाड़ी के पास करिया या गाढ़ा रंग के गोटी होला। खेल में हर गोटी के आगे बढ़ावे के आ दुसरा गोटी के पिटे के नियम कानून होला। चेस एगो विश्व विख्यात खेल ह जौन कई बार प्रतियोगिता के तौर पर होखेला जे के शतरंज प्रतियोगिता कहल जाला। बहुते देश में लोग ई खेल के मजा लेवेला आ ई रुस देश के एगो महत्वपूर्ण राष्ट्रिय शौक ह == नियम == चेस के नियम सभ के प्रकाशन फिडे करे ला। ई एह नियम सभ के हैंडबुक छापे ला। अन्य देस में कुछ मामूली अंतर वाला नियाम भी हो सके लें बाकी अंतर्राष्ट्रीय नियम इनहने के मानल जाला जे फिडे द्वारा छापल जालें। सभसे हाल में इनहन के 2018 में अपडेट कइल गइल। === सेटअप === परंपरा अनुसार शतरंज के गोटी सभ, जिनहन के मोहरा कहल जाला, करिया आ सफेद सेट में बँटल होखे लें। हर सेट में 16 मोहरा होखे लें: एगो राजा, एक ठो वजीर, दू गो हाथी, दू गो ऊँट, दू गो घोड़ा, आ आठ गो प्यादा। इनहन के सुरुआती सजावट चित्र में आ डाइग्राम में देखावल गइल बा। जे खेलाड़ी जवना रंग के गोटी से खेले ला ओकरा के सफेद आ काला खेलाड़ी कहल जाला। शतरंज जवना बोर्ड पर खेलल जाला ओह में कुल 64 खाना होखे लें। बेंड़ी-बेंड़ा आठ गो के रैंक कहल जाला आ इनहन के नंबरिंग 1 से 8 तक होखे ले आ खड़ा-खाड़ी आठ गो के फ़ाइल कहल जाला जिनहन के बाएँ से दाहिने a से h ले नाँव दिहल जाला। ई 64 खाना अगल-बगल हल्का आ डार्क रंग के होखे लें। बोर्ड के एह तरीका से रखल जाला कि खेलाड़ी के दहिने ओर सबसे निचला खाना सफेद रंग के पड़े। दुनों वजीर अपना-अपना रंग के खाना में रखल जालें, राजा वजीर के बगल में, एकरे बाद इनहन के दुनों ओर ऊँट, फिर दुनों ओर घोड़ा आ सभसे किनारे दुनों ओर हाथी रखालें। इनहन के साम्हने आठ गो प्यादा रखल जालें। खेल के शुरुआत सफेद खेलाड़ी करे ला। === मोहरा आ चाल === सगरी मोहरा सभ के अलग-अलग किसिम के चाल होला। डाइग्राम में एकरा के देखावल गइल बा, मोहरा ओह जगह पर चल सके ला जहाँ जहाँ बिंदी लगा के देखावल गइल बाटे अगर बीचा में कौनों दूसर गोटी ना होखे. हालाँकि, घोड़ा कूद के चले ला आ बीचा में कौनों दूसर मोहरा होखे तबो घोड़ा बिंदी वाली जगह पर चल सके ला। राजा कौनों भी दिसा में एक घर चल सके ला। एकरे अलावा राजा के एगो इस्पेशल चाल भी होले जेकरा के किलेबंदी कहल जाला, एह में हाथी भी चले ला। हाथी के सीधा चाल होले। मतलब की ऊ कौनों एगो फाइल भा रैंक में केतनों घर चल सके ला बशर्ते की बीचा में कौनों दूसर गोटी न होखे। राजा के कैसलिंग वाली चाल में हाथी भी चले ला। ऊँट ऊँट तिरछा चले ला आ एह तरीका से केतनों घर चल सके ला बाकी कौनों गोटी के ऊपर से कूद के ना जा सके ला। वजीर हाथी आ ऊँट दुनों के चाल चल सके ला। मने की सीधा-सीधा फाइल, रैंक या डाइगोनल में केतनों घर चल सके ला बाक़ी कौनों गोटी के ऊपर से ना फलांग सके ला। घोड़ा सभसे नजदीकी खाना में चले ला जे ओही फाइल, रैंक भा डाइगोनल में न होखे। एकरा के अढ़ाई घर के चाल भी कहल जाला, यानी एक घर तिरछा चल के फिर एक घर सीधा। प्यादा अपनी फाइल में साम्हने की ओर सीधा एक घर चले ला बशर्ते की ऊ घर खाली होखे, पहिली चाल में दू घर भी चल सके ला बशर्ते की दुनों खाना खाली होखे। . एकरे अलावा प्यादा सामने की ओर एक घर आगे के तिरछा खाना में मौजूद बिरोधी के गोटी के मार सके ला। इस्पेशल चाल the एन पासंट के रूप में मारल आ जिंदा कइल होला === किलेबंदी === खेल में एक बेर, राजा एगो इस्पेशल चाल चल सके ला जेकरा के किलेबंदी भा कैसलिंग के नाँव से जानल जाला। एह चाल में राजा अपना रैंक में, अपने ठीक बगल वाला खाना के फलांग के अगिला खाना में चल जाला आ जवना खाना के ऊ फलांगे ला ओह खाना में ओह साइड वाला हाथी आ के रखा जाला। कैसलिंग नीचे दिहल गइल शर्त के मोताबिक होला: राजा आ ऊ हाथी जेकरा साथे कैसलिंग हो रहल होखे अपना जगह से पहिले न चलल होखें उनहन के बीचा में कवनों अउरी दूसर मोहरा न होखे राजा पर शह न पड़ रहल होखे, जवना खाना के ऊ फलांगे ओह पर बिरोधी गोटी के हमला न हो रहल होखे, आ राजा जहाँ पहुँची उहाँ चेक न पड़े
activity;['क्रिकेट'];क्रिकेट एगो बैट-गेना के खेल ह जेवना में दू गो टीम एक दुसरा की खिलाफ एगो गोल मैदान में खेलेलीं। मैदान की बिचा में २२ गज के लंबाई वाली पिच होखेले आ हर टीम में ११ गो खेलाड़ी होलें। आजु की समय में क्रिकेट पुरा दुनिया में लगभग १२० मिलियन खेलाड़ी लोग खेलेला जेवना से ई पुरा दुनिया के दुसरा नंबर के सभसे प्रचलित खेल बा। खेलत घरी दुनों टीम पारी-पारा बैटिंग आ बालिंग करे लीं जेवना के पारी कहल जाला।
activity;['सेक्स'];सेक्स अपना ब्यापक अरथ में नर आ मादा के बीच कामुक आनंद आ मजा खाती कइल जाए वाला सगरी काम के कहल जाला जेह में, चुंबन, स्पर्श, कामुक तरीका से ताकल, अकवारी मे भरल इत्यादि सगरी क्रिया सामिल कइल जाला जबकि, खास छोट अरथ में, ई मर्द द्वारा औरत के जञनी में आपन शिशन प्रवेश कराके धक्का देवे के क्रिया हवे जेकरा शारीरिक आ मानसिक मजा आ आनंद खाती, लइका जनमावे ला, चाहे फिन दुनों मकसद से कइल जाला। एकरा के अंगरेजी में सेक्सुअल इंटरकोर्स भा संस्कृत में मैथुन कहल जाला। ऊपर बतावल आम तरीका के जञनी संबंधी सेक्स कहल जाला. एकरे अलावा पाछे से मलदुआर में लिंग घुसा के, मुँह में घुसा के, अँगुरी से, या कौनों अन्य चीज से कइल सेक्स भी सामिल बा। एह क्रिया में शारीरिक जुड़ाव महसूस कइल जाला आ ई खाली शारीरिक सुख खाती, मानसिक संतुष्टी खाती कइल जा सके ला या फिर सेक्स से दू लोग में आपसी भावनात्मक लगाव भी बढ़ सके ला।
activity;['जनगणना'];जनगणना मने होला कौनों भी क्षेत्र में एगो प्रजाति वाला सभ परानिन के गिनती कइल। आमतौर पर एकर उपयोग आदमिन की गिनती खातिर कइल जाला बाकी ई एगो ब्यापक शब्द बाटे आ अउरी दूसरी परानिन की गिनती खातिर भी इस्तेमाल होला।
activity;['मानसून'];मानसून के परंपरागत परिभाषा, हवा के दिसा में होखे वाला बदलाव के रूप में दिहल जाले, जेह में हवा बहे के दिसा एक सीजन से दूसरा सीजन के बीच एकदम उलटा हो जाले आ इलाका में होखे वाला बरखा के मात्रा एकरा से प्रभावित होला। हालाँकि, अब मानसून के अरथ धरती के वायुमंडल में बड़ा पैमाना पर होखे वाला सर्कुलेशन से लिहल जाला जेकर कारण जमीनी आ समुंदरी हिस्सा के अलग-अलग तेजी से गरम होखल बा। आमतौर पर बोलचाल की भाषा में मानसून शब्द के प्रयोग बरखा के सीजन खातिर होला, हालाँकि मानसून के दौरान बीच-बीच में सूखा मौसम के दौर भी आवे ला।
activity;['हाइड्रोपोनिक खेती'];हाइड्रोपोनिक खेती चाहे हाइड्रोपोनिक्स खेती के अइसन तरीका हवे जेह में पौधा सभ के उपजावे खातिर माटी के इस्तमाल ना होला बलुक पानी में घुले वाला मिनरल आ पौधन के पोषण देवे वाला चीज इस्तेमाल कइल जाला। ई अइसन बिधी हवे जेह में जमीन पर माटी में उपजे वाला पौधा सभ के खाली सोर भर पानी में रहे ला आ पौधा आपन पोषण पावत रहे ला।
