activity;['òfin mẹ́wàá'];Ofin mewa
agentive-figure;['divan'];Ojúewé àtojọ Wikimedia
agentive-figure;['àgbájọ àwọn orílẹ̀-èdè aṣòkan', 'àjọ àwọn orílẹ̀-èdè', 'àgbájọ orílẹ̀-èdè aṣòkan', 'orílẹ̀-èdè aṣòkan', 'akojoegbe isokan awon orile-ede', 'u.n.', 'un', 'united nations', 'united nations organization', 'uno', 'àgbájọ ajẹ́píparapọ̀ àwọn orílẹ̀-èdè', 'àgbájọ síṣọ̀kan àwọn ìbínibí', 'àgbájọ àwọn orílẹ̀-èdè ajẹ́píparapọ̀', 'àgbájọ ìparapọ̀ àwọn orílẹ̀-èdè', 'àkójọẹgbẹ́ àwọn orílẹ̀-èdè àṣọdọ̀kan', 'àkójọẹgbẹ́ àṣọdọ̀kan àwọn orílẹ̀-èdè', 'àkójọẹgbẹ́ ìṣọ̀kan àwọn orílẹ̀-èdè', 'àwọn orílẹ̀-èdè aṣòkan'];Egbé àwọn Ìjoba Orílẹ̀-èdè
agentive-physical-object;['ammodytidae'];Ojúewé ìṣojútùú Wikimedia
functional-matter;['consomme'];ojúewé ìṣojútùú Wikimedia
geographical-object;['kalẹdóníà tuntun', 'orílẹ́ède kaledonia titun', 'new caledonia'];ẹ̀ka Wikimedia
information-realization;['rondó'];ojúewé ìṣojútùú Wikimedia
information-realization;['kùránì', 'kùrání', "qur'an"];Al-Qur'an je iwe ti ko ni abuku kankan, lati ogorun merinla odun seyin, kosi atunse fun.
physical-object;['afárá', 'bridge'];ojúewé àtojọ Wikimedia
political-geographic-object;['tóngà', 'tonga', 'orílẹ́ède tonga'];Ojúewé àtojọ Wikimedia
political-geographic-object;['pakístàn', 'ìwọ̀orùn pakístàn', 'pakistan', 'orílẹ́ède pakisitan', 'west pakistan', 'orílẹ̀-èdè ẹlẹ́sìn-ìmàle ilẹ̀ pakístàn', 'pakísítáánì'];orílẹ̀-èdè ní Ásíà
political-geographic-object;['nàìjíríà', 'naijiriya', 'orílẹ́ède nàìjíríà', 'nigeria', 'ng', 'nàìjá', 'orílẹ̀-èdè olómìniira aláàpapọ̀ nàìjíríà', '🇳🇬', 'federal republic of nigeria', 'naijiria', 'naìjírìà', 'nigerian', 'orílẹ̀-èdè olómìnira ilẹ̀ nàìjíríà', 'orílẹ̀-èdè olómìnira àpapọ̀ ilẹ̀ nàìjíríà'];Orílẹ̀-èdè olómìnira ní Ìwọ̀òrùn Áfríkà
political-geographic-object;['ẹ̀kùàdọ̀r', 'orílẹ́ède ekuádò', 'ec', 'ecu', 'orile-ede olominira ile ekuado', 'ecuador', 'ẹ̀kùàdọ̀'];Orile-ede agedemejiaye je orile-ede ni Guusu Amerika
simple-collective;['àwọn ènìyàn'];ojúewé ìṣojútùú Wikimedia
socially-constructed-person;['dante gabriel rossetti'];Ojúewé ìṣojútùú Wikimedia
taxonomic-collective;['charales'];ẹ̀ka Wikimedia
temporal-region;['1 july', '1 oṣù keje', 'july 1', 'ọjọ́ 1 oṣù keje'];Ọjọ́ọdún
temporal-region;['1 oṣù kínní', '1 january', '1 oṣù ṣẹ́rẹ́', 'january 1', 'oṣù kínní 1', 'ọjọ́ 1 oṣù kínní'];Ọjọ́ọdún
temporal-region;['2 february', '2 oṣù kejì', 'february 2', 'ọjọ́ 2 oṣù kejì'];Ọjọ́ọdún
temporal-region;['1 november', '1 oṣù kọkànlá', 'november 1', 'ọjọ́ 1 oṣù kọkànlá'];Ọjọ́ọdún
temporal-region;['kérésìmesì', '25 december', 'christmas', 'xmas', '25 oṣù kejìlá', 'december 25', 'ọjọ́ 25 oṣù kejìlá'];Ọjọ́ọdún
temporal-region;['19 march', '19 oṣù kẹta', 'march 19', 'ọjọ́ 19 oṣù kẹta'];Ọjọ́ọdún
