information-object;['nohnahme', 'famillejenahme', 'zohnahme'];Ene Nahme för en Famillesch, kütt hückzedahchs henger der Vürnahme, domet de ville Minsche bäßer ussenein hallde kann
language;['engerlengwa', 'interlingua', 'interlingua, de engernazjunahle hellefsschprohch'];En könnslejje Schprohch, de engernazjunahle Hellefsschprohch
language;['sazdeil'];En Jropp vun Wööd enenn Saz, di süntaktesch zesamme hange
locative-role;['light'];Nohnahme
political-geographic-object;['vereineschte arrahbesche emmerahte'];Ene Schtahd em arrahbesche Deil vun Wäßaasije
political-geographic-object;['mahli', 'malí'];Ene Schtahd em Noodwäste vun Affrekah
political-geographic-object;['omahn'];Ene Schtahd em arrahbesche Deil vun Wäßaasije
political-geographic-object;['jordahnije'];Ene Schtahd em arrahbesche Deil vun Wäßaasije
political-geographic-object;['lebannon'];Ene Schtahd em arrahbesche Deil vun Wäßaasije
political-geographic-object;['bachrein'];Ene Schtahd em arrahbesche Deil vun Wäßaasije
socially-constructed-person;['dante gabriel rossetti'];„Wat-eß-dat?“-Sigg en de Wikkipeidija
socially-constructed-person;['pablo picasso'];Ene Schpahnesche Könßler
socially-constructed-person;['klavierschpeller', 'pijaniß'];Ene Mussiker, dä Klavier schpellt
socially-constructed-person;['schniider', 'schnieder'];Ene Minsch dä Kleider määt
socially-constructed-person;['korrejojrahf', 'choreojrahf', 'choreojrahfen', 'korrejojrahfen', 'korreojrahf', 'korreojrahfen'];Ene Minsch, dä sesch Krrejojrafohje ußdänk, wi jedanz weede sull
temporal-region;['1. juuli', '1. juli'];Et Dattum
temporal-region;['1. jannowaa', '01. jannowaa', '1. januar'];Et Dattum
temporal-region;['2. febrowaa', '2. februar'];Et Dattum
temporal-region;['1. novemmber', 'allerhellije', '1. november', 'allerheiligen', 'allerhillije'];Et Dattum
temporal-region;['25. dezemmber', 'weihnachte', 'weihnachten', '25. dezember'];Et Dattum
temporal-region;['19. määz', '19. märz'];Et Dattum
temporal-region;['14. apprill', '14. april'];Et Dattum
temporal-region;['24. oktoober', '24. oktober'];Et Dattum
temporal-region;['12. oktoober', '12. oktober'];Et Dattum
temporal-region;['4. juuli', '4. juli'];Et Dattum
temporal-region;['24. meij', '24. mai'];Et Dattum
temporal-region;['17. sepptämmber', '17. september'];Et Dattum
temporal-region;['1. aujußß', '1. august'];Et Dattum
temporal-region;['14. juuni', '14. juni'];Et Dattum
temporal-region;['29. juuni', '29. juni'];Et Dattum
temporal-region;['29. sepptämmber', '29. september'];Et Dattum
temporal-region;['21. juuni', 'johannisdaach', '21. juni'];Et Dattum
temporal-region;['1. meij', '1. mai'];Et Dattum
temporal-region;['2. määz', '2. märz'];Et Dattum
temporal-region;['novemmber', 'novämmber', 'nov.', 'november'];Der ällevde Mohnd em Jullejahnesche un Jrejorejahnesche Kallännder
temporal-region;['29. febrowaa'];Et Dattum
temporal-region;['23. juuni', 'johannisdaach', '23. juni'];Et Dattum
temporal-region;['6. jannowaa', 'dreikünninge', 'dreikönigsfest', '6. januar'];Et Dattum
