agentive-figure;['kasundalohan'];Ang sanga sa armadong kusog nga sagad nagabase sa mamala
agentive-physical-object;['lycium barbarum', 'boberella halimifolia', 'jasminoides flaccidum', 'lycium barbatum', 'lycium dunalianum', 'lycium floridum', 'lycium halimifolium', 'lycium lanceolatum', 'lycium thunbergii', 'lycium turbinatum', 'lycium vulgare', 'teremis elliptica'];Espesye sa tanom nga patatas ang Lycium barbarum
geographical-object;['strait of hormuz', 'tangeh-ye hormoz'];estretso sa Iran, Hormozgan, lat 26,72, long 56,48
geographical-object;['nantucket island', 'nantucket county', 'nantucket', 'comté de nantucket'];pulo sa Estados Unidos
geographical-object;['hokkaido'];pulo sa Hapon
information-realization;['basahon sa mga maghuhukom', 'mga maghuhukom'];Ikapito basahon sa Bibliya, kompuwesto sa 21 mga kapitulu
information-realization;['dyuteronomyo'];Ikalima basahon sa Bibliya, kompuwesto sa 34 mga kapitulu
locative-role;['florencia', 'florence'];Munisipyo sa Italya
locative-role;['bruges', 'brugge', 'bruhhe', 'bruza'];Lungsod sa Belhika
locative-role;['pisa'];Munisipyo sa Italya
locative-role;['provincia di padova', 'padova'];Munisipyo sa Italya
locative-role;['verona'];Munisipyo sa Italya
locative-role;['göteborg', 'goeteborg', 'goteburg', 'gottenborg'];Kapital sa lalawigan sa Suwesya
locative-role;['genoa', 'comune di genova', 'gènova'];Munisipyo sa Italya
locative-role;['bari'];Munisipyo sa Italya
locative-role;['turin'];Munisipyo sa Italya
locative-role;['milano'];Munisipyo sa Italya
locative-role;['palermo'];Munisipyo sa Italya
locative-role;["l'aquila"];Munisipyo sa Italya
locative-role;['venecia', 'venice', 'venezia'];Munisipyo sa Italya
political-geographic-object;['florencia', 'florence'];Munisipyo sa Italya
political-geographic-object;['bruges', 'brugge', 'bruhhe', 'bruza'];Lungsod sa Belhika
political-geographic-object;['pisa'];Munisipyo sa Italya
political-geographic-object;['provincia di padova', 'padova'];Munisipyo sa Italya
political-geographic-object;['verona'];Munisipyo sa Italya
political-geographic-object;['cornwall', 'county of cornwall'];kondado
political-geographic-object;['göteborg', 'goeteborg', 'goteburg', 'gottenborg'];Kapital sa lalawigan sa Suwesya
political-geographic-object;['colômbia'];Lungsod
political-geographic-object;['ukranya', 'ukraine', 'ukranyano', 'ukranyo'];Nasod sa Sidlakang Uropa
political-geographic-object;['ecuador', 'igwador', 'ec', 'ecu', 'ekwador', 'republic of ecuador', 'república del ecuador'];Republika sa Habagatang Amerika
political-geographic-object;['genoa', 'comune di genova', 'gènova'];Munisipyo sa Italya
political-geographic-object;['lincolnshire', 'county of lincolnshire', 'lincs', 'swydd lincoln'];kondado
political-geographic-object;['roma', 'rome'];Munisipyo sa Italya
political-geographic-object;['bari'];Munisipyo sa Italya
political-geographic-object;['turin'];Munisipyo sa Italya
political-geographic-object;['nairobi'];Ulohang dakbayan
political-geographic-object;['seoul'];Ulohang dakbayan
political-geographic-object;['new delhi'];Capital of INDIA
political-geographic-object;['milano'];Munisipyo sa Italya
political-geographic-object;['palermo'];Munisipyo sa Italya
political-geographic-object;["l'aquila"];Munisipyo sa Italya
political-geographic-object;['venecia', 'venice', 'venezia'];Munisipyo sa Italya
region;['units', 'pagsukod na sistema'];Gigamit alang sa pagsukod sa daghan nga mga panapton
region;['cruzeiro'];Lungsod
socially-constructed-person;['dante gabriel rossetti'];Wikimedia:Mga pulong nga may labaw pa sa usa ka kahulogan
socially-constructed-person;['laird'];Lungsod
spatial-feature;['sangay', 'volcán sangay'];Bolkan
spatial-feature;['balkan mountains', 'glavna staroplaninska veriga', 'koca balkan dağları', 'stara planina', 'стара планина'];kabukiran sa Lovech, lat 43,25, long 25,00
