event;['knell'];Мыггаг (Knell)
language;['ирон æвзаг', 'дигорӕ', 'дигорӕнттӕ', 'ир', 'ирӕттӕ', 'иронау', 'литературон ирон æвзаг'];Ирон адӕмы ӕвзаг
locative-role;['worcester'];Мыггаг (Worcester)
locative-role;['уæллаг норманди', 'haute-normandie'];Регион Францы
locative-role;['бургунди'];Регион Францы
locative-role;['бретань'];Регион Францы
locative-role;['центр', 'centre'];Регион Францы
locative-role;['лангедок-руссильон', 'languedoc-roussillon', 'лангедок — руссильон'];Регион Францы
locative-role;['хуссар-пиренейтæ', 'midi-pyrenees', 'хуссар — пиренейтæ'];Регион Францы
locative-role;['лимузен', 'limousin'];Регион Францы
locative-role;['иль-де-франс'];Регион Францы
locative-role;['аквитани'];Регион Францы
locative-role;['light'];мыггаг
political-geographic-object;['worcester'];Мыггаг (Worcester)
socially-constructed-person;['dante gabriel rossetti'];Æххуыс:Нысаниуæгтæ
socially-constructed-person;['актёр'];Рольтæ чи хъазы кино, театр кæнæ радиойы
socially-constructed-person;['wright'];Мыггаг (Wright)
socially-constructed-person;['doyen'];Мыггаг (Doyen)
temporal-region;['1 июлы'];Датæ
temporal-region;['1 январы', 'тъæнджы мæйы 1-æм бон'];Датæ
temporal-region;['2 февралы', '2-æм феврал'];Датæ
temporal-region;['25 декабры'];Датæ
temporal-region;['19 мартъийы'];Датæ
temporal-region;['14 апрелы'];Датæ
temporal-region;['24 майы'];Датæ
temporal-region;['14 июны'];Датæ
temporal-region;['29 сентябры'];Датæ
temporal-region;['21 июны'];Датæ
temporal-region;['1 майы'];Датæ
temporal-region;['2 мартъийы'];Датæ
temporal-region;['29 февралы'];Датæ
temporal-region;['6 январы'];Датæ
