activity;['κάλαντα χριστουγέννων'];Τα κάλαντα τη Χριστουγεννίων είν' ευχητικά τραγωδίας ντο ψάλκουνταν κάθαν χρόνον, σην παραμονήν τη Χριστουγεννίων.
agentive-figure;['κράτος'];Το κράτος είν' οργανωμένον πολιτικόν οντότηταν, σε συγκεκριμένον γεωγραφικόν περιοχήν απάν.
agentive-figure;['ευρωπαϊκόν σύνδεσμον'];Ο Ευρωπαϊκον συνδεσμον είνας συνδεσμος εν ντο σην Ευρωπην εν.
agentive-figure;['ορθόδοξον εγκλεσία'];Τ' Ορθόδοξον η Eγκλεσία (Ορθοδοξία, Ανατολικόν Ορθόδοξον Eγκλεσία γιά Ορθόδοξον Καθολικόν κι Αποστολικόν Eγκλεσία) λέχκουνταν τ' αυτοκέφαλα και αυτόνομα τα Χριστιανικά τ' Eγκλεσίας, π' κανονίσκουνταν ούλ εντάμαν ασα Συνόδαι και θέλνε και δέχκουνταν τ' αποφάσαι π' επαίραν τ' επτά τα πρώτα τ' Οικουμενικά τα Συνόδαι.
agentive-physical-object;['ηλεκτρονικόν υπολογιστής', 'υπολογιστής'];Ατώρα ας λέγω σας ντο εν ο υπολογιστής.
agentive-physical-object;['λαζούδ', 'zea mays', 'καλαμπόκι'];Το λαζούδ εν φυτόν, το οποίον έρθεν ασο Μεξικόν.
amount-of-matter;['άλας'];Με τ' άλας αλίζνε τα φαΐα κι εφτάνατα κιάλλο έμνοστα.
amount-of-matter;['υδρογόνον', 'h', 'υδρογόνο'];Η λέξην υδρογόνον προέρχεται ασα λέξεις «ὕδωρ» + «γείνομαι», δηλαδή σημαίν' την βασικήν χημικήν ιδιότητανατου να καίγεται αφού έχει ποίσναι νερόν.
amount-of-matter;['νάτριον', 'na'];Το χημικόν στοιχείον Νάτριον [σύμβολον Na (λατινικά: Natrium)] εν μαλακόν δραστικόν μέταλλον αση ομάδαν τη αλκαλίων σο Περιοδικόν πινάκιν με ατομικόν αριθμόν 11 κι ατομικόν βάρος 22,98977 .
amount-of-matter;['λίθιον', 'li'];Το Λίθιο [Σύμβολον : Li] εν το τρίτο χημικό στοιχείον σο Περιοδικό Πινάκιν.
amount-of-matter;['ήλιον', 'he'];Το χημικόν στοιχείον ήλιον εν τ'αρχικόν στοιχείον τη ομάδας τη ευγενίων αερίων, εςς σύμβολον το He κι ατομικόν αριθμόν 2.
biological-object;['ομάτ'];Τ'ομάτ εν τ'όργανον με το οποίον ελέπνε οι αθρώπ' και τα χαϊβάνεα.
biological-object;['μυτίν'];Το μυτίν (αρχαία ελλενικά: μύτις) εν τ'όργανον με το οποίον μυρίζνε οι αθρώπ' και τα χαϊβάνεα.
biological-object;['ωτίν'];Γιαμ' αραέβετε το ποντιακόν φαΐν. Τερέστεν αδά.
classification-system;['γρηγοριανόν ημερολόγιον'];To Γρηγοριανόν Hμερολόγιον, εν τ' ημερολόγιον τ' Δυτικού κόσμου.
functional-matter;['πίτσα', 'pizza'];Η πίτσα εν πατροπαράδοτον ιταλικόν φαΐν αση Νεάπολην.
geographical-object;['ωκεανίαν'];Η Ωκεανίαν εν ήπειρος σον Ειρηνικόν Ωκεανόν.
geographical-object;['βαλκανικόν χερσόνησος'];Τ' Βαλκανικόν η χερσόνησος εν ση ανατολήν τ' Ευρώπης κι ανήκει σα ασ' όλεα τα τρανά τα χερσονησία νατς.
geographical-object;['ιβηρικόν χερσόνησος', 'ιβηρία'];Τ' Ιβηρικόν η χερσόνησος εν ση δύσαν τ' Ευρώπης κι ανήκει σα ασ' όλεα τα τρανά τα χερσονησία νατς.
geographical-object;['μαύρον θάλασσα', 'μαύρη θάλασσα'];Το Μαύρον η Θάλασσα (σ' αρχαία τα χρόνε λέχκουτον Εύξεινος Πόντος) εν θάλασσαν απές μερέαν.
geographical-object;['ανταρκτικήν'];Η Ανταρκτικήν εν ήπειρος.
geographical-object;['αμερικήν', 'αμερική'];Η Αμερικήν εν τρανόν ήπειρον σο δυτικόν ημψόν τη γης.
geographical-object;['σκανδιναβικόν χερσόνησος'];Το Σκανδιναβικόν η Χερσόνησος ένι ευρωπαϊκόν χερσόνησος.
geographical-object;['νείλος'];Ο Νείλος εν ποτάμιν κι ευρίεται σην Αφρικήν.
information-encoding-system;['ποιητικήν'];== Ποιητικήν ==
information-object;['επίρρημαν'];Επίρρημαν λέγουμε τ' άκλιτα τα λέξεις που προσδιορίζ'νε τα ρήματα.
information-realization;['εγκυκλοπαίδεια'];Η εγκυκλοπαίδειαν εν λεξικόν κι εκειαπές τοπλαέβνε γνώσην.
information-realization;['μουσική', 'μουσικήν'];Εθνομουσικολόγοι και κοινωνιολόγοι λέγνε ντο η μουσική εν «ήχον ντο κανονίζ' ο άνθρωπον».
language;['ελλενικόν λαλίαν', 'ελλενικόν γλώσσα'];Τ' ελλενικόν η λαλίαν (ελλ.
locative-role;['θεσσαλονίκη'];Η Θεσσαλονίκην γιόξαμ Σαλονίκ΄ εν πολιτείαν ντο ευρίεται 'ς σην Ελλάδαν και εχ’ τρανόν ιστορίαν.
