agentive-figure;['union europenga', '🇪🇺', 'union oropenga'];Entità Polìtica d'caràter dzoranassional
language;['c'];Lengage ëd programassion imperativ
locative-role;['àuta normandìa', 'haute-normandie'];Region dla Fransa
locative-role;['franca contà', 'franche-comte'];Region dla Fransa
locative-role;['borgògna'];Region dla Fransa
locative-role;['brëtagna', 'bretagna'];Region dla Fransa
locative-role;['sènter', 'sènter-val ëd la lòira', 'centre', 'sènter-val de lòira'];Region dla Fransa
locative-role;['poitou-charentes'];Region dla Fransa
locative-role;['alvernia', 'auvergne'];Region dla Fransa
locative-role;['nòrd-pass ëd calais', 'nord-pas-de-calais'];Region dla Fransa
locative-role;['lengadòca-rossijon', 'languedoc-roussillon'];Region dla Fransa
locative-role;['mesdì-pirené', 'midi-pyrenees'];Region dla Fransa
locative-role;['limosin', 'limousin'];Region dla Fransa
locative-role;['ìsola ëd fransa', 'île-de-france'];Region dla Fransa
locative-role;['champagne-ardënne', 'campagna-ardënne'];Region dla Fransa
locative-role;['picardìa', 'picardië'];Region dla Fransa
locative-role;['aquitania'];Region dla Fransa
locative-role;['pais ëd la lòira', 'pays de la loire', 'paìs dla lòira', 'paìs ëd la lòira'];Region dla Fransa
locative-role;['loren-a'];Region dla Fransa
locative-role;['light'];cognòm
locative-role;['new york', 'neuva york', 'new york city'];Sità djë Stat Unì d''América
political-geographic-object;['ecuador', 'ec', 'ecu', "l' ecuador", 'equador'];Pais dl'América meridional
political-geographic-object;['new york', 'neuva york', 'new york city'];Sità djë Stat Unì d''América
region;['7'];Nùmer natural
socially-constructed-person;['boda', 'buddha', 'gautama buddha'];Persunage dë spiritualita
socially-constructed-person;['cavalier', 'sivalié'];përson-a conferìla ëd un tìtol, garantì da un rè o da un vësco
