abstract-quality;['ஆளுமை'];ஆளுமை என்பது என்ன என்பது பற்றி உறுதியான எல்லோராலும் ஏற்றுக் கொள்ளப்பட்ட வரையறை இல்லை.
abstract-region;['பல்லுறுப்புக்கோவை', 'பல்லுறுப்புக் கோவை'];கணிதத்தில் ஒரு பல்லுறுப்புக்கோவை என்பது மாறிகள், மாறிலிகள் மற்றும் எண்கெழுக்களைக் கூட்டல், கழித்தல், பெருக்கல் மற்றும் எதிரெண்ணில்லா முழு எண் அடுக்கேற்றம் ஆகிய கணிதச் செயல்களால் குறிஇணைக்கப்பட்ட முடிவுறு எண்ணிக்கையிலான உறுப்புகளைக் கொண்டதொரு கோவையாகும்.
abstract-region;['தலையொற்றை பல்லுறுப்புக்கோவை'];இயற்கணிதத்தில், தலையொற்றை பல்லுறுப்புக்கோவை என்பது தலைக்கெழு 1 ஆகவுள்ள ஒருமாறியிலமைந்ததொரு பல்லுறுப்புக்கோவையாகும்.
abstract-region;['இருபடிச் சார்பு', 'இருபடி சார்பு', 'இருபடியச் சார்பு'];கணிதத்தில், இருபடிச் சார்பு என்பது ஒரு பல்லுறுப்புக்கோவைச் சார்பு.
abstract-region;['பெருக்கற்பலன்'];கணிதத்தில் பெருக்கற்பலன் அல்லது பெருக்குத்தொகை என்பது is the result of பெருக்கலின் விளைவு அல்லது பெருக்கப்பட வேண்டிய காரணிகளை அடையாளப்படுத்தும் கோவையாகும்.
abstract-region;['செயலுட்படுத்தி', 'operand', 'செயலேற்பி'];கணிதத்தில் செயலுட்படுத்தி அல்லது செயலேற்பி என்பது ஏதேனுமொரு கணிதச் செயலுக்கு உட்படுத்தப்படும் கணிதப் பொருளாகும்.
abstract-region;['சமவாய்ப்பு மாறி', 'எழுமாற்று மாறி', 'தன்னிச்சை மாறி', 'தன்னிச்சையான மாறி'];கணிதத்தின் ஒரு பிரிவான புள்ளியியலில் சமவாய்ப்பு மாறி அல்லது தன்னிச்சை மாறி அல்லது எழுமாற்று மாறி என்பது, நிகழ்தகவு வெளியிலிருந்து மெய்யெண்களுக்கு வரையறுக்கப்படும் அளவிடக்கூடியதொரு சார்பாகும்.
abstract-region;['குறுக்குப் பெருக்கு', 'குறுக்குப் பெருக்கம்', 'குறுக்குப் பெருக்கல்'];கணிதத்தில் குறுக்குப் பெருக்கல் அல்லது குறுக்குப் பெருக்கு அல்லது திசையன் பெருக்கல் என்பது யூக்கிளீடிய இட வெளியில் உள்ள இரு திசையன்களுக்கு இடையே நிகழ்த்தும் கணிதச் செயல் ஆகும்.
abstract-region;['மடங்கு'];அறிவியலில் மடங்கு என்பது ஏதேனுமொரு கணியம் மற்றும் ஒரு முழு எண் இரண்டின் பெருக்குத்தொகை ஆகும்.
abstract-region;['மீச்சிறு பொது மடங்கு', 'பொது மடங்குகளுள் சிறியது'];கணிதத்தில் எண் கோட்பாட்டில் மீச்சிறு பொது மடங்கு என்பது பொதுவாக a, b ஆகிய இரண்டு எண்களின் பெருக்குத்தொகையாக அமைந்த மிகச்சிறிய நேர்ம முழு எண் ஆகும்.
activity;['ரக்பி கால்பந்து', 'ரக்பி'];ரக்பி கால்பந்து என்பது, ஐக்கிய இராச்சியத்தின் பல பகுதிகளில் உருவாகி வளர்ந்த கால்பந்து விளையாட்டில் இருந்து தோன்றிப் பல்வேறு கால கட்டங்களிலும் விளையாடப்பட்டு வந்த விளையாட்டுக்களில் ஒன்றைக் குறிக்கும்.
