abstract-region;['多項式'];多項式，零或單項式之和也。
activity;['弈', '囲碁', '圍棋'];弈者，戲物也，亦作「碁」、「圍碁」、「手談」。
activity;['足球'];足球，大類蹴鞠戲，古亦有社職之。
activity;['影戲'];影戲，一藝術體，據始於周，一説或始於秦始皇時。
activity;['棒球'];棒球，群競也，九人為隊，二隊相為攻守。
activity;['罷工'];罷工者，謂廠中傭工廢業，聞達僱主國群，以表愿恏而斥弗利者也。
activity;['毒丸術'];毒丸術，處置之法所以防禦惡意收購者。
activity;['魯', 'lu', '魯國', '鲁国'];魯，周諸侯也。
activity;['韓戰', '朝鮮戰爭'];韓戰，一曰朝鮮戰爭，廿世紀朝鮮半島之內戰也。
activity;['第二次世界大戰', '二戰'];第二次世界大戰，略名二戰，或曰反法西斯之役。
activity;['第一次世界大戰', '一戰', '歐戰'];第一次世界大戰，略云一戰，或名歐戰。
activity;['複式記帳', '複式簿記'];複式記賬者，又曰複式簿記、雙入（嚴復《群學肄言》譯），制式以籍帳者也，意大利數學家盧卡·帕西奧利闡之。
activity;['麻雀', '蔴雀', '馬將', '麻將'];麻雀，又作麻將、馬將、蔴雀，乃中國之娛樂遊戲也，後傳日本、韓國、越南等不計備載。
activity;['民等競爭'];民等競爭（class struggle也）者，蓋階級牴牾而相抗也。
activity;['死刑', '伏誅', '大辟', '誅'];死刑者，舊云大辟，又伏誅，殺罪者也，意在震懾人心。
activity;['講學', '座學', '講述教學法'];講學，口傳躬授也，又謂講義。
activity;['競泳'];競泳舉於池、川、湖、海，畢身之力而進，奧運觀者尤盛。
activity;['度量衡'];度量衡者，稱物之制也。
activity;['企業'];企業，所以集合數人，以事食貨也。
activity;['黑斯廷斯戰役', '黑斯廷斯战役'];黑斯廷斯戰役，一零六六年發於英格蘭薩塞克斯之森拉克，乃撒克遜人戰於诺曼人也。
activity;['刊行', '付梓'];刊行，今謂出版，印刷以發行之謂。
activity;['動畫'];曩者先人以石磨，畫於巖。
activity;['性高潮'];極快，生理事也，又稱為絕頂、入至，英言Sexual Climax或Orgasm，今稱之為性高潮，一譯性極樂。
activity;['會計', '會計學'];會計學者，乃計學一範，作財管之用。
activity;['美國總統'];美利堅合眾國元首號總統（the President of United States），理行政政務，並帥三軍，選之於民，每任四年，可連任一。
activity;['茶'];茶，一名檟，一名茗，一名荈，一名蔎，木也，出巴蜀。
activity;['美國革命'];蓋北美殖民地與大英本國之民，本屬同根，理當互利共生。
activity;['南北美之役'];南北美之役，又稱南北戰爭，美國內戰也。
agentive-figure;['德意志帝國'];德意志帝國者，又曰德意志第二帝國，舊歐羅巴洲之國也。
agentive-figure;['福爾摩斯', 'holmes', 'sherlock', 'sherlock holmes', '夏洛克‧福爾摩斯', '夏洛克福爾摩斯', '歇洛克‧福爾摩斯', '歇洛克福爾摩斯', '福爾摩斯小說', '福爾摩斯探案'];歇洛克·福爾摩斯，英國小說人物，為諮詢偵探，柯南道爾爵士所作。
agentive-figure;['中央銀行', '央行'];中央銀行，略稱央行。
agentive-figure;['郵局', '郵政局'];郵局者，助民魚雁之機構也。
agentive-figure;['國', '國家'];國，邦也，民之所聚也，今人曰國家。
agentive-figure;['中學'];中學者，中等學校之略稱也，屬中等教育機構。
